SONG_TITLE,ARTIST_NAME,SONG_ID,Concept_Love,Concept_Heartbreak,Concept_Partying,Concept_Drugs,Concept_Sex,Concept_Violence,Concept_Self-Empowerment,Concept_Success,Concept_Hope,Concept_Celebration,Concept_Coming_Of_Age,Concept_Loneliness,Concept_Struggle,Concept_Friendship,Concept_Traveling,ConceptUncertainty_Love,ConceptUncertainty_Heartbreak,ConceptUncertainty_Partying,ConceptUncertainty_Drugs,ConceptUncertainty_Sex,ConceptUncertainty_Violence,ConceptUncertainty_Self-Empowerment,ConceptUncertainty_Success,ConceptUncertainty_Hope,ConceptUncertainty_Celebration,ConceptUncertainty_Coming_Of_Age,ConceptUncertainty_Loneliness,ConceptUncertainty_Struggle,ConceptUncertainty_Friendship,ConceptUncertainty_Traveling
"Young, Wild & Free",Snoop Dogg and Wiz Khalifa,lyrics_full_02197,8.774869,1.4100564,6.2558155,1.9518104,9.046117,1.6207142,4.1254635,5.40237,5.1369863,3.2231035,0.9256879,0.8493303,0.32689628,4.6440926,0.68047893,1.0021272,1.7929521,2.070154,1.2870204,0.8413267,1.1211933,1.9001071,2.4540668,2.2148397,1.7678473,0.6936072,0.38936776,0.2397772,2.5591516,0.9615177
We Are Never Ever Getting Back Together,Taylor Swift,lyrics_full_02198,8.324991,4.370119,4.8899746,5.3262606,8.202859,8.796659,5.542469,2.2991028,4.6550207,4.715804,8.040962,1.8156931,2.7131777,0.2113741,0.9172751,1.0342904,2.1897583,1.8854096,3.002304,0.86780065,1.0938879,1.8396991,1.1427732,1.917807,2.2771723,1.7404153,0.69382834,1.9630109,0.2126967,1.2315432
As Long as You Love Me,Justin Bieber,lyrics_full_02199,1.7412646,7.5380173,0.2902956,0.12876375,0.38500446,0.8881783,1.6306756,1.7229078,3.8362408,1.7868707,4.245408,6.380023,1.5189146,5.2128553,3.670199,0.64739585,1.6734374,0.42796975,0.05613418,0.5083599,0.8185079,1.6798844,2.611998,1.3005962,2.279789,1.0141654,1.5692312,1.7797971,2.1809614,2.1159573
Turn Me On,David Guetta,lyrics_full_02200,8.993796,0.84532547,2.1719942,2.7005517,8.816366,0.31929824,0.26901412,1.1552786,1.7785599,0.16057132,0.56713074,0.40952307,0.06689763,0.42954683,4.9275723,0.81016546,0.90584785,1.4536657,2.3039284,1.1963265,0.38855103,0.096409276,0.6991733,0.5506759,0.12015663,0.3249576,0.38510317,0.04371676,0.3001197,2.7842927
Moves like Jagger,Maroon 5,lyrics_full_02201,8.919366,6.9308786,0.17189787,0.23002213,2.1601524,0.050168507,0.12668222,0.063857995,4.0952106,0.14721452,5.6362114,4.656784,1.7234521,0.733078,4.302818,1.0728915,2.339447,0.20369905,0.14491531,1.579429,0.025952972,0.04046688,0.04651598,1.2542157,0.09632565,1.3538406,2.9744575,1.64266,0.69317347,2.3412821
Blow Me,Pink,lyrics_full_02202,8.485861,3.3568163,0.26012665,3.4200459,0.8881929,1.919515,0.57136357,0.087347835,1.7517228,0.01673207,0.488253,7.67158,2.4416018,0.028168678,0.095872276,0.7938368,1.5902411,0.15702999,0.8972469,0.5001572,0.9726309,0.2901379,0.07527864,0.8867287,0.010202537,0.49881124,1.7337077,2.252548,0.031151373,0.118946865
Good Time,Owl City and Carly Rae Jepsen,lyrics_full_02203,8.528081,7.8335466,1.593131,0.022151921,3.1862714,0.032560855,0.13588998,0.042821687,2.8628268,0.06467517,1.1755884,5.029484,0.31079602,1.6313298,0.26118997,0.7104048,0.69195366,0.9898501,0.021323979,1.4589467,0.037970055,0.12513193,0.021002375,1.7617816,0.03989687,1.1195852,2.9196162,0.16176917,1.2214673,0.17461298
Give Your Heart a Break,Demi Lovato,lyrics_full_02204,4.6562214,1.2660036,0.106638074,0.2163699,4.1581316,2.585114,0.42260286,0.24921633,2.9027328,0.12804808,1.3186753,0.14489071,0.23476651,0.19252676,0.76000357,2.615309,0.9333474,0.11543177,0.2698444,2.912912,0.8244735,0.23061916,0.15902466,1.9371026,0.05840395,0.74391335,0.08270595,0.13904649,0.24506597,1.0134895
Niggas in Paris,Jay-Z and Kanye West,lyrics_full_02205,6.3872614,2.1170628,5.9744225,3.655045,9.427964,5.3911443,4.6162143,7.916667,1.6203656,8.995591,0.41957873,0.42714083,2.234567,7.3854446,1.1343542,1.4236882,2.155456,2.9128642,2.47397,0.8783143,2.092583,1.9216967,1.6845365,0.53857213,1.0202992,0.17579484,0.23200211,1.70028,1.5594877,1.2049658
The One That Got Away,Katy Perry,lyrics_full_02206,6.2302675,3.4574237,4.2772264,9.4565525,7.9802837,4.666964,4.3706083,5.050885,5.066421,2.1879332,3.5523467,2.2878804,6.1732693,1.2053044,2.2835512,1.641416,2.461178,1.6413298,0.60347855,1.1400297,2.5870948,3.433641,2.2356102,1.4809602,1.8252212,2.5631106,1.3500509,2.40306,1.0484364,2.2377255
