Song Name,Artist Name
Thrift Shop,Macklemore & Ryan Lewis featuring Wanz
Blurred Lines,Robin Thicke featuring T.I. and Pharrell Williams
Radioactive,Imagine Dragons
Harlem Shake,Baauer
Can't Hold Us,Macklemore & Ryan Lewis featuring Ray Dalton
Mirrors,Justin Timberlake
Just Give Me a Reason,Pink featuring Nate Ruess
When I Was Your Man,Bruno Mars
Cruise,Florida Georgia Line featuring Nelly
Roar,Katy Perry
Locked Out of Heaven,Bruno Mars
Ho Hey,The Lumineers
Stay,Rihanna featuring Mikky Ekko
Get Lucky,Daft Punk featuring Pharrell Williams
Royals,Lorde
I Knew You Were Trouble,Taylor Swift
We Can't Stop,Miley Cyrus
Wrecking Ball,Miley Cyrus
Wake Me Up,Avicii
Suit & Tie,Justin Timberlake featuring Jay-Z
Cups (Pitch Perfect's When I'm Gone),Anna Kendrick
Holy Grail,Jay-Z featuring Justin Timberlake
Scream & Shout,Will.i.am featuring Britney Spears
Clarity,Zedd featuring Foxes
Sail,Awolnation
Don't You Worry Child,Swedish House Mafia featuring John Martin
Diamonds,Rihanna
I Love It,Icona Pop featuring Charli XCX
Safe and Sound,Capital Cities
Treasure,Bruno Mars
The Way,Ariana Grande featuring Mac Miller
Started from the Bottom,Drake
Come & Get It,Selena Gomez
"Hold On, We're Going Home",Drake featuring Majid Jordan
Daylight,Maroon 5
Feel This Moment,Pitbull featuring Christina Aguilera
Applause,Lady Gaga
One More Night,Maroon 5
Love Me,Lil Wayne featuring Drake and Future
My Songs Know What You Did in the Dark (Light Em Up),Fall Out Boy
Fuckin' Problems,"ASAP Rocky featuring Drake, 2 Chainz and Kendrick Lamar"
Beauty and a Beat,Justin Bieber featuring Nicki Minaj
Same Love,Macklemore & Ryan Lewis featuring Mary Lambert
Sweet Nothing,Calvin Harris featuring Florence Welch
Summertime Sadness,Lana Del Rey and Cédric Gervais
Home,Phillip Phillips
It's Time,Imagine Dragons
Power Trip,J. Cole featuring Miguel
Girl on Fire,Alicia Keys featuring Nicki Minaj
Heart Attack,Demi Lovato
Love Somebody,Maroon 5
I Will Wait,Mumford & Sons
Try,Pink
Wagon Wheel,Darius Rucker
Gangnam Style,Psy
I Need Your Love,Calvin Harris featuring Ellie Goulding
Die Young,Kesha
Some Nights,Fun
Bad,Wale featuring Tiara Thomas or Rihanna
Boys 'Round Here,Blake Shelton featuring Pistol Annies and Friends
"Gone, Gone, Gone",Phillip Phillips
Demons,Imagine Dragons
Counting Stars,OneRepublic
I Cry,Flo Rida
Little Talks,Of Monsters and Men
The Other Side,Jason Derulo
Berzerk,Eminem
Catch My Breath,Kelly Clarkson
Crash My Party,Luke Bryan
Pour It Up,Rihanna
22,Taylor Swift
I Want Crazy,Hunter Hayes
The Fox (What Does the Fox Say?),Ylvis
Best Song Ever,One Direction
The A Team,Ed Sheeran
Carry On,Fun
Highway Don't Care,Tim McGraw featuring Taylor Swift and Keith Urban
That's My Kind of Night,Luke Bryan
Swimming Pools (Drank),Kendrick Lamar
Sure Be Cool If You Did,Blake Shelton
#Beautiful,Mariah Carey featuring Miguel
Troublemaker,Olly Murs featuring Flo Rida
Body Party,Ciara
Adorn,Miguel
Hall of Fame,The Script featuring will.i.am
Let Me Love You (Until You Learn to Love Yourself),Ne-Yo
U.O.E.N.O.,Rocko featuring Future and Rick Ross
Next to Me,Emeli Sandé
Mama's Broken Heart,Miranda Lambert
It Goes Like This,Thomas Rhett
Bugatti,Ace Hood featuring Future and Rick Ross
Wanted,Hunter Hayes
Downtown,Lady Antebellum
Get Your Shine On,Florida Georgia Line
#thatPower,will.i.am featuring Justin Bieber
Brave,Sara Bareilles
Let Her Go,Passenger
Runnin' Outta Moonlight,Randy Houser
I'm Different,2 Chainz
Still Into You,Paramore
