Song Name,Artist Name
Too Close,Next
The Boy Is Mine,Brandy and Monica
You're Still the One,Shania Twain
Truly Madly Deeply,Savage Garden
How Do I Live,LeAnn Rimes
Together Again,Janet
All My Life,K-Ci & JoJo
Candle in the Wind 1997 / Something About the Way You Look Tonight,Elton John
Nice & Slow,Usher
I Don't Want to Wait,Paula Cole
How's It Going to Be,Third Eye Blind
"No, No, No",Destiny's Child
My Heart Will Go On,Celine Dion
Gettin' Jiggy wit It,Will Smith
You Make Me Wanna...,Usher
My Way,Usher
My All,Mariah Carey
The First Night,Monica
Been Around the World,Puff Daddy featuring The Notorious B.I.G. and Mase
Adia,Sarah McLachlan
Crush,Jennifer Paige
Everybody (Backstreet's Back),Backstreet Boys
I Don't Want to Miss a Thing,Aerosmith
Body Bumpin' (Yippie-Yi-Yo),Public Announcement
This Kiss,Faith Hill
I Don't Ever Want to See You Again,Uncle Sam
Let's Ride,Montell Jordan featuring Master P and Silkk the Shocker
Sex and Candy,Marcy Playground
Show Me Love,Robyn
A Song for Mama,Boyz II Men
What You Want,Mase featuring Total
Frozen,Madonna
Gone till November,Wyclef Jean
My Body,LSG
Tubthumping,Chumbawamba
Deja Vu (Uptown Baby),Lord Tariq and Peter Gunz
I Want You Back,NSYNC
When the Lights Go Out,Five
They Don't Know,Jon B.
Make 'Em Say Uhh!,"Master P featuring Fiend, Silkk the Shocker, Mia X and Mystikal"
Make It Hot,Nicole featuring Missy Elliott and Mocha
Never Ever,All Saints
I Get Lonely,Janet featuring Blackstreet
Feel So Good,Mase
Say It,Voices of Theory
Kiss the Rain,Billie Myers
Come with Me,Puff Daddy featuring Jimmy Page
Romeo and Juliet,Sylk-E. Fyne featuring Chill
It's All About Me,Mýa and Sisqo
I Will Come to You,Hanson
One Week,Barenaked Ladies
Swing My Way,K. P. & Envyi
The Arms of the One Who Loves You,Xscape
My Love Is the Shhh!,Somethin' for the People featuring Trina & Tamara
Daydreamin',Tatyana Ali
We're Not Making Love No More,Dru Hill
Semi-Charmed Life,Third Eye Blind
I Do,Lisa Loeb
Lookin' at Me,Mase featuring Puff Daddy
Looking Through Your Eyes,LeAnn Rimes
Lately,Divine
Quit Playing Games (With My Heart),Backstreet Boys
I Still Love You,Next
Time After Time,INOJ
Are You Jimmy Ray?,Jimmy Ray
Cruel Summer,Ace of Base
I Got the Hook Up,Master P featuring Sons of Funk
Victory,Puff Daddy & the Family featuring The Notorious B.I.G. and Busta Rhymes
Too Much,Spice Girls
Ghetto Supastar (That Is What You Are),Pras Michel featuring Ol' Dirty Bastard and Mýa
How Deep Is Your Love,Dru Hill featuring Redman
Friend of Mine,Kelly Price
Turn It Up (Remix)/Fire It Up,Busta Rhymes
I'll Be,Edwin McCain
Ray of Light,Madonna
All for You,Sister Hazel
Touch It,Monifah
"Money, Power & Respect",The Lox featuring DMX and Lil' Kim
Bitter Sweet Symphony,The Verve
Dangerous,Busta Rhymes
Spice Up Your Life,Spice Girls
Because of You,98 Degrees
The Mummers' Dance,Loreena McKennitt
All Cried Out,Allure featuring 112
Still Not a Player,Big Punisher featuring Joe
The One I Gave My Heart To,Aaliyah
Foolish Games / You Were Meant for Me,Jewel
Love You Down,INOJ
Do for Love,2Pac featuring Eric Williams
Raise the Roof,Luke featuring No Good But So Good
Heaven,Nu Flavor
The Party Continues,JD featuring Da Brat
Sock It 2 Me,Missy Elliott featuring Da Brat
Butta Love,Next
A Rose Is Still a Rose,Aretha Franklin
4 Seasons of Loneliness,Boyz II Men
Father,LL Cool J
Thinkin' Bout It,Gerald Levert
Nobody's Supposed to Be Here,Deborah Cox
Westside,TQ
