Song,Artist,Release Year,Tone,Lyrical Themes,Era Themes,Nostalgia Score (1-5),SONG_ID,SoundNet_ID,Key,Mode,Camelot,Tempo,Duration,Popularity,Energy,Danceability,Happiness,Acousticness,Instrumentalness,Liveness,Speechiness,Loudness,Plain_Lyrics,Synced_Lyrics
Fantasy,Mariah Carey,1995,Romantic / Passionate,Love,,,6xkryXuiZU360Lngd4sx13,ZmFudGFzeS1tYXJpYWgtY2FyZXk=,G,major,9B,102,4:03,79,73,67,81,14,0,12,4,-8 dB,"Oh, when you walk by every night
Talking sweet and looking fine
I get kinda hectic inside
Mmm, baby I'm so into you
Darling, if you only knew
All the things that flow through my mind

But it's just a sweet sweet fantasy baby
When I close my eyes
You come and you take me
It's so deep in my daydreams
But it's just a sweet, sweet fantasy baby

Images of rapture
Creep into me slowly
As you're go into my head
And my heart beats faster
When you take me over
Time and time and time again

But it's just a sweet sweet fantasy baby
When I close my eyes
You come and you take me
It's so deep in my daydreams
But it's just a sweet, sweet fantasy baby

Sweet, sweet fantasy baby
When I close my eyes
You come and you take me
It's so deep in my daydreams
But it's just a sweet, sweet fantasy baby

I'm in heaven
With my boyfriend
My lovely boyfriend
There's no beginning
And there is no end
Feels like I'm dreaming
But I'm not sleeping

Sweet, sweet fantasy baby
When I close my eyes
You come and you take me
It's so deep in my daydreams
But it's just a sweet, sweet fantasy baby

Sweet, sweet fantasy baby
When I close my eyes
You come and you take me
It's so deep in my daydreams
But it's just a sweet, sweet fantasy baby
Sweet, sweet fantasy baby
Sweet, sweet fantasy baby","[00:39.96] Oh, when you walk by every night
[00:42.52] Talking sweet and looking fine
[00:44.85] I get kinda hectic inside
[00:48.63] Mmm, baby I'm so into you
[00:51.52] Darling, if you only knew
[00:53.94] All the things that flow through my mind
[00:57.90] But it's just a sweet sweet fantasy baby
[01:01.50] When I close my eyes
[01:04.11] You come and you take me
[01:08.33] It's so deep in my daydreams
[01:11.43] But it's just a sweet, sweet fantasy baby
[01:16.98] 
[01:36.79] Images of rapture
[01:38.68] Creep into me slowly
[01:40.97] As you're go into my head
[01:45.55] And my heart beats faster
[01:47.90] When you take me over
[01:50.53] Time and time and time again
[01:53.94] But it's just a sweet sweet fantasy baby
[01:58.06] When I close my eyes
[02:00.19] You come and you take me
[02:04.48] It's so deep in my daydreams
[02:07.60] But it's just a sweet, sweet fantasy baby
[02:12.93] 
[02:32.79] Sweet, sweet fantasy baby
[02:35.76] When I close my eyes
[02:37.65] You come and you take me
[02:42.29] It's so deep in my daydreams
[02:45.19] But it's just a sweet, sweet fantasy baby
[02:51.23] I'm in heaven
[02:56.30] With my boyfriend
[02:58.66] My lovely boyfriend
[03:01.19] There's no beginning
[03:02.87] And there is no end
[03:05.39] Feels like I'm dreaming
[03:07.44] But I'm not sleeping
[03:09.60] Sweet, sweet fantasy baby
[03:12.91] When I close my eyes
[03:15.19] You come and you take me
[03:19.41] It's so deep in my daydreams
[03:22.62] But it's just a sweet, sweet fantasy baby
[03:28.80] Sweet, sweet fantasy baby
[03:32.03] When I close my eyes
[03:34.05] You come and you take me
[03:38.50] It's so deep in my daydreams
[03:41.42] But it's just a sweet, sweet fantasy baby
[03:46.92] Sweet, sweet fantasy baby
[03:52.55] Sweet, sweet fantasy baby
[03:54.02] "
One More Time,Daft Punk,2000,"Upbeat Anthem, Party / Club",Escapism / Partying,,,0DiWol3AO6WpXZgp0goxAV,b25lLW1vcmUtdGltZS1kYWZ0LXB1bms=,D,major,10B,123,5:20,84,70,61,48,2,0,33,13,-9 dB,"One more time

One more time

One more time
We're gonna celebrate
Oh, yeah, all right
Don't stop the dancing
One more time
We're gonna celebrate
Oh, yeah, all right
Don't stop the dancing
One more time
We're gonna celebrate
Oh, yeah, all right
Don't stop the dancing
One more time
We're gonna celebrate
Oh, yeah
One more time

One more time
We're gonna celebrate
Oh, yeah, all right
Don't stop the dancing
One more time
We're gonna celebrate
Oh, yeah
Don't stop the dancing
One more time

Mmm, you know I'm just feeling
Celebration tonight
Celebrate
Don't wait too late
Mmm, no
We don't stop
You can't stop
We're gonna celebrate
One more time
One more time
One more time
A celebration
You know we're gonna do it right, tonight
Hey! Just feeling
Music's got me feeling the need
Need, yeah
Come on, all right
We're gonna celebrate
One more time

Celebrate and dance so free
Music's got me feeling so free
Celebrate and dance so free
One more time
Music's got me feeling so free
We're gonna celebrate
Celebrate and dance so free
One more time
Music's got me feeling so free
We're gonna celebrate
Celebrate and dance so free
One more time
Music's got me feeling so free
We're gonna celebrate
Celebrate and dance so free
One more time
Music's got me feeling so free
We're gonna celebrate
Celebrate and dance so free
One more time
Music's got me feeling so free
We're gonna celebrate
Celebrate and dance so free

One more time
Music's got me feeling so free
We're gonna celebrate
Celebrate and dance so free
One more time
Music's got me feeling so free
We're gonna celebrate
Celebrate and dance so free
One more time
Music's got me feeling so free
We're gonna celebrate
Celebrate and dance so free
One more time
Music's got me feeling so free
We're gonna celebrate

One more time
Music's got me feeling so free
We're gonna celebrate
Celebrate and dance so free
One more time
Music's got me feeling so free
We're gonna celebrate
Celebrate and dance so free
One more time
Music's got me feeling so free
We're gonna celebrate
Celebrate and dance so free
One more time
Music's got me feeling so free
We're gonna celebrate
Celebrate and dance so free","[00:00.17] One more time
[00:15.60] One more time
[00:48.93] One more time
[00:50.41] We're gonna celebrate
[00:52.11] Oh, yeah, all right
[00:54.08] Don't stop the dancing
[00:56.20] One more time
[00:58.26] We're gonna celebrate
[00:59.66] Oh, yeah, all right
[01:01.16] Don't stop the dancing
[01:04.25] One more time
[01:05.68] We're gonna celebrate
[01:07.82] Oh, yeah, all right
[01:10.03] Don't stop the dancing
[01:12.14] One more time
[01:13.28] We're gonna celebrate
[01:15.73] Oh, yeah
[01:18.01] One more time
[01:51.32] One more time
[01:52.23] We're gonna celebrate
[01:54.29] Oh, yeah, all right
[01:56.28] Don't stop the dancing
[01:58.66] One more time
[01:59.99] We're gonna celebrate
[02:02.34] Oh, yeah
[02:03.78] Don't stop the dancing
[02:05.17] One more time
[02:08.26] Mmm, you know I'm just feeling
[02:13.03] Celebration tonight
[02:17.86] Celebrate
[02:18.94] Don't wait too late
[02:21.51] Mmm, no
[02:25.37] We don't stop
[02:29.68] You can't stop
[02:32.12] We're gonna celebrate
[02:36.68] One more time
[02:40.65] One more time
[02:44.42] One more time
[02:46.73] A celebration
[02:49.22] You know we're gonna do it right, tonight
[02:54.07] Hey! Just feeling
[02:56.90] Music's got me feeling the need
[03:00.40] Need, yeah
[03:04.59] Come on, all right
[03:07.12] We're gonna celebrate
[03:09.43] One more time
[03:12.39] Celebrate and dance so free
[03:15.46] Music's got me feeling so free
[03:19.35] Celebrate and dance so free
[03:22.71] One more time
[03:24.49] Music's got me feeling so free
[03:26.63] We're gonna celebrate
[03:27.99] Celebrate and dance so free
[03:30.16] One more time
[03:32.32] Music's got me feeling so free
[03:34.01] We're gonna celebrate
[03:35.73] Celebrate and dance so free
[03:38.29] One more time
[03:39.57] Music's got me feeling so free
[03:41.46] We're gonna celebrate
[03:42.85] Celebrate and dance so free
[03:46.01] One more time
[03:47.45] Music's got me feeling so free
[03:49.21] We're gonna celebrate
[03:51.09] Celebrate and dance so free
[03:53.97] One more time
[03:55.28] Music's got me feeling so free
[03:57.34] We're gonna celebrate
[03:58.78] Celebrate and dance so free
[04:02.12] One more time
[04:04.06] Music's got me feeling so free
[04:05.37] We're gonna celebrate
[04:06.62] Celebrate and dance so free
[04:09.36] One more time
[04:10.15] Music's got me feeling so free
[04:12.44] We're gonna celebrate
[04:14.68] Celebrate and dance so free
[04:17.64] One more time
[04:18.89] Music's got me feeling so free
[04:20.53] We're gonna celebrate
[04:22.35] Celebrate and dance so free
[04:24.79] One more time
[04:26.55] Music's got me feeling so free
[04:28.33] We're gonna celebrate
[04:33.34] One more time
[05:06.29] Music's got me feeling so free
[05:08.15] We're gonna celebrate
[05:09.35] Celebrate and dance so free
[05:11.97] One more time
[05:13.13] Music's got me feeling so free
[05:15.21] We're gonna celebrate
[05:16.92] Celebrate and dance so free
[05:19.84] One more time
[05:21.56] Music's got me feeling so free
[05:22.93] We're gonna celebrate
[05:26.13] Celebrate and dance so free
[05:27.83] One more time
[05:29.02] Music's got me feeling so free
[05:31.07] We're gonna celebrate
[05:32.83] Celebrate and dance so free
[06:01.14] "
Yellow,Coldplay,2000,"Chill / Laid Back, Romantic / Passionate",Love,,,3AJwUDP919kvQ9QcozQPxg,eWVsbG93LWNvbGRwbGF5,B,major,1B,173,4:27,93,66,43,28,0,0,23,3,-7 dB,"Look at the stars
Look how they shine for you

And everything you do

Yeah, they were all yellow

I came along
I wrote a song for you
And all the things you do

And it was called Yellow

So then I took my turn
Oh, what a thing to have done
And it was all yellow

Your skin, oh yeah, your skin and bones
Turn into something beautiful
And you know, you know I love you so

You know I love you so

I swam across
I jumped across for you
Oh, what a thing to do
'Cause you were all yellow

I drew a line
I drew a line for you
Oh, what a thing to do
And it was all yellow

And your skin, oh yeah, your skin and bones
Turn into something beautiful
And you know, for you, I'd bleed myself dry
For you, I'd bleed myself dry

It's true
Look how they shine for you
Look how they shine for you
Look how they shine for
Look how they shine for you
Look how they shine for you
Look how they shine

Look at the stars
Look how they shine for you
And all the things that you do","[00:33.42] Look at the stars
[00:36.27] Look how they shine for you
[00:39.79] 
[00:41.89] And everything you do
[00:47.50] Yeah, they were all yellow
[00:50.11] I came along
[00:52.92] I wrote a song for you
[00:58.32] And all the things you do
[01:04.10] And it was called Yellow
[01:06.89] 
[01:09.40] So then I took my turn
[01:15.06] Oh, what a thing to have done
[01:20.66] And it was all yellow
[01:24.64] 
[01:29.14] Your skin, oh yeah, your skin and bones
[01:34.51] Turn into something beautiful
[01:39.97] And you know, you know I love you so
[01:48.11] You know I love you so
[01:52.48] 
[02:13.02] I swam across
[02:15.74] I jumped across for you
[02:21.24] Oh, what a thing to do
[02:26.91] 'Cause you were all yellow
[02:29.65] I drew a line
[02:32.28] I drew a line for you
[02:37.93] Oh, what a thing to do
[02:43.66] And it was all yellow
[02:47.45] 
[02:51.75] And your skin, oh yeah, your skin and bones
[02:57.69] Turn into something beautiful
[03:03.12] And you know, for you, I'd bleed myself dry
[03:11.16] For you, I'd bleed myself dry
[03:16.21] 
[03:16.60] 
[03:35.37] It's true
[03:38.75] Look how they shine for you
[03:44.26] Look how they shine for you
[03:49.70] Look how they shine for
[03:55.27] Look how they shine for you
[04:00.83] Look how they shine for you
[04:06.50] Look how they shine
[04:09.27] Look at the stars
[04:12.15] Look how they shine for you
[04:17.62] And all the things that you do
[04:21.99] "
Oops!...I Did It Again,Britney Spears,2000,Upbeat Anthem,Coming of Age,Early Digital Age,,6naxalmIoLFWR0siv8dnQQ,b29wc2ktZGlkLWl0LWFnYWluLWJyaXRuZXktc3BlYXJz,C#,minor,12A,95,3:31,83,83,75,89,30,0,36,4,-5 dB,"Mm, yeah
Yeah, yeah, yeah, yeah, yeah, yeah
Yeah, yeah, yeah, yeah, yeah, yeah

I think I did it again
I made you believe we're more than just friends
Oh, baby, it might seem like a crush
But it doesn't mean that I'm serious

'Cause to lose all my senses
That is just so typically me
Ooh, baby, baby

Oops, I did it again, I played with your heart
Got lost in the game, oh, baby, baby
Oops, you think I'm in love, that I'm sent from above
I'm not that innocent

You see, my problem is this
I'm dreaming away, wishing that heroes, they truly exist
I cry watching the days
Can't you see I'm a fool in so many ways?

But to lose all my senses
That is just so typically me
Oh, baby, oh

Oops, I did it again, I played with your heart
Got lost in the game, oh, baby, baby
Oops, you think I'm in love, that I'm sent from above
I'm not that innocent

Yeah, yeah, yeah, yeah, yeah, yeah
Yeah, yeah, yeah, yeah, yeah, yeah

""All aboard!""
""Britney! Before you go, there's something I want you to have""
""Oh, it's beautiful! But wait a minute, isn't this...?""
""Yeah, yes, it is""
""But I thought the old lady dropped it into the ocean in the end""
""Well, baby, I went down and got it for ya""
""Aw, you shouldn't have""

Oops, I did it again to your heart
Got lost in this game, oh, baby
Oops, you (oops, you) think that I'm sent from above
I'm not that innocent

Oops, I did it again, I played with your heart
Got lost in the game, oh, baby, baby
Oops, you think I'm in love, that I'm sent from above (yeah)
I'm not that innocent

Oops, I did it again, I played with your heart
Got lost in the game, oh, baby, baby
Oops, you think I'm in love, that I'm sent from above
I'm not that innocent",
In the End,Linkin Park,2001,Aggessive / Angsty,"Heartbreak, Coming of Age",Teenage Angst,,60a0Rd6pjrkxjPbaKzXjfq,aW4tdGhlLWVuZC1saW5raW4tcGFyaw==,D#,minor,2A,105,3:37,91,86,56,40,1,0,21,6,-6 dB,as letras nao estao sincronizadas com a musica,as letras nao estao sincronizadas com a musica
Get Ur Freak On,Missy Elliott,2001,Party / Club,"Escapism / Partying, Self-Empowerment",Cheap Thrills,,6zsk6uF3MxfIeHPlubKBvR,Z2V0LXVyLWZyZWFrLW9uLW1pc3N5LWVsbGlvdHQ=,C,major,8B,178,3:31,73,75,80,74,53,11,10,25,-9 dB,"これからみんなでめちゃくちゃ踊って騒ごう、騒ごう。
Headbanger, hit me, hit me, hit me, hit me
Yeah, gimme some new shit
Gimme some new shit
Gimme some new shit
Gimme some new shit

Missy be puttin' it down, I'm the hottest 'round
I told y'all motherfuckers, y'all can't stop me now
Listen to me now, I'm lastin' 20 rounds
And if you want me (nigga) then come on, get me now
Is you with me now? Then biggie, biggie bounce
I know you dig the way I sw-sw-switch my style
(Holla!)
People sing around
Now people gather 'round, now people jump around

Go, get your freak on, go, get your freak on
Go, get your freak on, go, get your freak on
Go, get your freak on, go, get your freak on
Go, getcha getcha getcha getcha getcha freak on
Go, get your freak on, go, get your freak on
Go, get your freak on, go, get your freak on
Go, get your freak on, go, get your freak on
Go, getcha getcha getcha getcha getcha freak on

Who's that bitch? People you know
Me and Timbaland been hot since 20 years ago
What tha dilly yo? Now what tha drilly yo?
If you wanna battle me then (nigga) let me know
(Holla!)
Got to feel it, son
Lemme throw you some (मौत मुझको)
People, here I come, now sweat me when I'm done
We got the radio shook like we got a gun

Go, get your freak on, go, get your freak on
Go, get your freak on, go, get your freak on
Go, get your freak on, go, get your freak on
Go, getcha getcha getcha getcha getcha freak on
Go, get your freak on, go, get your freak on
Go, get your freak on, go, get your freak on
Go, get your freak on, go, get your freak on
Go, getcha getcha getcha getcha getcha freak on

Quiet! (Shhh) Hush your mouth, silence when I spit it out
(Hah-choo!) In your face, open your mouth, give you a taste
(Holla!)
Ain't no stoppin' me, copy written so don't copy me
Y'all do it sloppily and y'all can't come close to me
I know you feel me now, I know you hear me loud
I scream it loud and proud, Missy gon' blow it down
People gon' play me now, in and outta town
'Cause I'm the best around with this crazy style

Go, get your freak on, go, get your freak on
Go, get your freak on, go, get your freak on
Go, get your freak on, go, get your freak on
Go, getcha getcha getcha getcha getcha freak on
Go, get your freak on, go, get your freak on
Go, get your freak on, go, get your freak on
Go, get your freak on, go, get your freak on
Go, getcha getcha getcha getcha getcha freak on

いち、に、さん、じ","[00:01.56] これからみんなでめちゃくちゃ踊って騒ごう、騒ごう。
[00:13.34] Headbanger, hit me, hit me, hit me, hit me
[00:19.23] Yeah, gimme some new shit
[00:29.04] Gimme some new shit
[00:31.31] Gimme some new shit
[00:33.91] Gimme some new shit
[00:35.21] Missy be puttin' it down, I'm the hottest 'round
[00:37.22] I told y'all motherfuckers, y'all can't stop me now
[00:40.04] Listen to me now, I'm lastin' 20 rounds
[00:42.70] And if you want me (nigga) then come on, get me now
[00:45.59] Is you with me now? Then biggie, biggie bounce
[00:48.17] I know you dig the way I sw-sw-switch my style
[00:50.76] (Holla!)
[00:51.91] People sing around
[00:53.74] Now people gather 'round, now people jump around
[00:55.84] Go, get your freak on, go, get your freak on
[00:58.96] Go, get your freak on, go, get your freak on
[01:01.59] Go, get your freak on, go, get your freak on
[01:03.18] Go, getcha getcha getcha getcha getcha freak on
[01:08.31] Go, get your freak on, go, get your freak on
[01:09.10] Go, get your freak on, go, get your freak on
[01:10.36] Go, get your freak on, go, get your freak on
[01:11.64] Go, getcha getcha getcha getcha getcha freak on
[01:17.39] Who's that bitch? People you know
[01:20.89] Me and Timbaland been hot since 20 years ago
[01:23.13] What tha dilly yo? Now what tha drilly yo?
[01:25.70] If you wanna battle me then (nigga) let me know
[01:28.06] (Holla!)
[01:29.39] Got to feel it, son
[01:31.97] Lemme throw you some (मौत मुझको)
[01:34.59] People, here I come, now sweat me when I'm done
[01:36.55] We got the radio shook like we got a gun
[01:39.41] Go, get your freak on, go, get your freak on
[01:42.22] Go, get your freak on, go, get your freak on
[01:44.89] Go, get your freak on, go, get your freak on
[01:47.41] Go, getcha getcha getcha getcha getcha freak on
[01:50.33] Go, get your freak on, go, get your freak on
[01:51.80] Go, get your freak on, go, get your freak on
[01:54.23] Go, get your freak on, go, get your freak on
[01:57.06] Go, getcha getcha getcha getcha getcha freak on
[02:00.91] Quiet! (Shhh) Hush your mouth, silence when I spit it out
[02:05.62] (Hah-choo!) In your face, open your mouth, give you a taste
[02:11.63] (Holla!)
[02:13.26] Ain't no stoppin' me, copy written so don't copy me
[02:17.12] Y'all do it sloppily and y'all can't come close to me
[02:22.36] I know you feel me now, I know you hear me loud
[02:25.21] I scream it loud and proud, Missy gon' blow it down
[02:28.19] People gon' play me now, in and outta town
[02:30.45] 'Cause I'm the best around with this crazy style
[02:33.38] Go, get your freak on, go, get your freak on
[02:36.79] Go, get your freak on, go, get your freak on
[02:39.05] Go, get your freak on, go, get your freak on
[02:41.64] Go, getcha getcha getcha getcha getcha freak on
[02:44.25] Go, get your freak on, go, get your freak on
[02:47.14] Go, get your freak on, go, get your freak on
[02:49.95] Go, get your freak on, go, get your freak on
[02:55.19] Go, getcha getcha getcha getcha getcha freak on
[03:16.45] いち、に、さん、じ
[04:03.62] "
Fallin',Alicia Keys,2001,Romantic / Passionate,Love,,,0KQx6HOpJueiSkztcS0r7D,ZmFsbGluLWFsaWNpYS1rZXlz,B,minor,10A,96,3:30,81,61,65,48,26,0,23,4,-8 dB,"I keep on fallin' in
And out of love with you
Sometimes I love you
Sometimes you make me blue

Sometimes I feel good
At times I feel used
Lovin' you darlin'
Makes me so confused

I keep on fallin' in and out
Of love with you
I never loved someone
The way that I love you

Oh, oh, I

Never felt this way
How do you give me so much pleasure
And cause me so much pain? (Yeah, yeah)
Just when I think
I've taken more than would a fool
I start fallin' back in love with you

I keep on fallin' in and out
Of love with you
I never loved someone
The way that I love you

Oh, baby
I, I, I, I'm fallin' (Yeah, yeah)
I, I, I, I'm fallin'
Fall, fall, fall (Sing)
Fall

I keep on fallin' in and out (Out)
Of love (Love), with you (With you)
I never loved someone
The way that I love you

I'm fallin' in and out
Of love (Of love), with you (With you)
I never loved someone
The way that I love you

I'm fallin' in and out
Of love (Of love), with you (With you)
I never (No), loved someone (No, no)
The way that I love you
What?","[00:00.03] I keep on fallin' in
[00:05.86] 
[00:09.48] And out of love with you
[00:16.45] Sometimes I love you
[00:19.85] Sometimes you make me blue
[00:23.87] Sometimes I feel good
[00:27.62] At times I feel used
[00:31.61] Lovin' you darlin'
[00:35.11] Makes me so confused
[00:38.34] I keep on fallin' in and out
[00:43.56] Of love with you
[00:46.52] I never loved someone
[00:50.62] The way that I love you
[00:54.03] Oh, oh, I
[00:57.81] Never felt this way
[01:01.37] How do you give me so much pleasure
[01:04.93] And cause me so much pain? (Yeah, yeah)
[01:09.04] Just when I think
[01:12.63] I've taken more than would a fool
[01:16.59] I start fallin' back in love with you
[01:23.35] I keep on fallin' in and out
[01:28.59] Of love with you
[01:31.64] I never loved someone
[01:35.89] The way that I love you
[01:39.27] Oh, baby
[01:40.88] I, I, I, I'm fallin' (Yeah, yeah)
[01:47.68] I, I, I, I'm fallin'
[01:55.10] Fall, fall, fall (Sing)
[02:02.63] Fall
[02:08.57] I keep on fallin' in and out (Out)
[02:13.66] Of love (Love), with you (With you)
[02:16.66] I never loved someone
[02:21.01] The way that I love you
[02:24.14] I'm fallin' in and out
[02:28.52] Of love (Of love), with you (With you)
[02:31.77] I never loved someone
[02:35.91] The way that I love you
[02:39.45] I'm fallin' in and out
[02:43.68] Of love (Of love), with you (With you)
[02:46.63] I never (No), loved someone (No, no)
[02:50.99] The way that I love you
[02:54.15] What?
[03:00.29] "
Clocks,Coldplay,2002,Melancholic / Moody,Coming of Age,,,0BCPKOYdS2jbQ8iyB56Zns,Y2xvY2tzLWNvbGRwbGF5,F,minor,4A,131,5:08,86,75,58,26,60,1,18,3,-7 dB,"The lights go out, and I can't be saved
Tides that I tried to swim against
Have brought me down upon my knees
Oh, I beg, I beg and plead, singing

Come out of things unsaid
Shoot an apple off my head, and a
Trouble that can't be named
A tiger's waiting to be tamed, singing

You are
You are

Confusion never stops
Closing walls and ticking clocks, gonna
Come back and take you home
I could not stop that you now know, singing

Come out upon my seas
Cursed missed opportunities
Am I a part of the cure?
Or am I part of the disease? Singing

You are
You are
You are
You are

You are
You are

And nothing else compares
Oh, nothing else compares
And nothing else compares

You are
You are

Home, home, where I wanted to go
Home, home, where I wanted to go
Home (you), home, where I wanted to go (are)
Home (you), home, where I wanted to go (are)","[00:36.18] The lights go out, and I can't be saved
[00:39.88] Tides that I tried to swim against
[00:43.40] Have brought me down upon my knees
[00:46.54] Oh, I beg, I beg and plead, singing
[00:50.70] Come out of things unsaid
[00:54.17] Shoot an apple off my head, and a
[00:57.66] Trouble that can't be named
[01:01.67] A tiger's waiting to be tamed, singing
[01:06.27] You are
[01:14.33] You are
[01:21.79] 
[01:33.90] Confusion never stops
[01:37.03] Closing walls and ticking clocks, gonna
[01:41.90] Come back and take you home
[01:45.22] I could not stop that you now know, singing
[01:49.23] Come out upon my seas
[01:52.64] Cursed missed opportunities
[01:56.64] Am I a part of the cure?
[01:59.91] Or am I part of the disease? Singing
[02:05.06] You are
[02:11.88] You are
[02:19.96] You are
[02:26.69] You are
[02:30.07] You are
[02:33.05] You are
[02:34.08] And nothing else compares
[02:40.64] Oh, nothing else compares
[02:47.62] And nothing else compares
[02:54.85] 
[02:58.52] You are
[03:02.68] You are
[03:09.72] 
[03:32.27] Home, home, where I wanted to go
[03:37.34] Home, home, where I wanted to go
[03:44.46] Home (you), home, where I wanted to go (are)
[03:52.25] Home (you), home, where I wanted to go (are)
[03:58.23] "
