song_title,artist,tempo,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,chroma_mean_1,chroma_mean_2,chroma_mean_3,chroma_mean_4,chroma_mean_5,chroma_mean_6,chroma_mean_7,chroma_mean_8,chroma_mean_9,chroma_mean_10,chroma_mean_11,chroma_mean_12,chroma_std_1,chroma_std_2,chroma_std_3,chroma_std_4,chroma_std_5,chroma_std_6,chroma_std_7,chroma_std_8,chroma_std_9,chroma_std_10,chroma_std_11,chroma_std_12,spectral_centroid
Gangsta's Paradise,Coolio featuring L.V.,80.74951171875,-50.3423,70.9117,19.8709,18.4299,3.1867,6.7921,6.3699,10.5687,-0.0705,0.3444,3.8174,4.8262,0.8055,0.6156,0.4157,0.421,0.4628,0.3592,0.3479,0.3895,0.4945,0.4759,0.4015,0.3793,0.4776,0.3255,0.2622,0.2746,0.2904,0.2442,0.2751,0.2582,0.2838,0.3073,0.2788,0.267,0.2901,2970.9394
Waterfalls,TLC,172.265625,-94.9603,91.7326,25.6778,25.7346,2.6299,12.5784,3.6452,3.3562,2.9952,3.3321,-5.2474,4.0978,-2.9854,0.4727,0.4392,0.4186,0.4844,0.3757,0.3831,0.3008,0.3421,0.4411,0.4433,0.5418,0.4155,0.3093,0.2998,0.2682,0.3215,0.2651,0.2887,0.2408,0.2569,0.3137,0.2652,0.3291,0.2518,2354.7587
Creep,TLC,92.28515625,-103.614,62.1598,13.0381,31.7047,5.133,11.5941,3.5982,6.3451,2.8601,8.6845,-1.5376,7.5228,2.0512,0.5555,0.4629,0.4532,0.566,0.4948,0.4697,0.4111,0.4587,0.4175,0.4225,0.4446,0.4477,0.3221,0.2732,0.285,0.3149,0.2597,0.3089,0.2634,0.2921,0.2671,0.2866,0.2718,0.2567,2886.83
Kiss from a Rose,Seal,129.19921875,-118.2608,105.5191,17.8817,19.714,0.0922,7.8089,-6.9073,4.0341,-3.8578,7.3527,-0.2055,2.1151,-3.4689,0.2914,0.3235,0.2325,0.3718,0.2184,0.2439,0.3576,0.3438,0.4472,0.267,0.3021,0.2955,0.2742,0.3326,0.2159,0.3452,0.2197,0.2621,0.3394,0.2729,0.3753,0.2375,0.2799,0.3105,1992.2068
On Bended Knee,Boyz II Men,117.45383522727273,-90.0146,88.5833,25.0461,22.7685,13.574,7.3668,-0.6744,3.0205,-0.8265,4.4937,0.0838,4.7459,-1.3178,0.3606,0.3063,0.3712,0.4899,0.3704,0.3882,0.3115,0.3893,0.3804,0.3607,0.4478,0.3583,0.3071,0.2593,0.271,0.3416,0.2677,0.3172,0.249,0.3033,0.3041,0.2666,0.3317,0.2702,2399.3441
Another Night,Real McCoy,129.19921875,-55.508,62.0189,21.4069,24.5024,6.6522,7.4928,3.8481,4.238,-5.6947,3.109,-5.3246,3.7404,-4.706,0.4756,0.4003,0.5135,0.4108,0.4333,0.3253,0.3339,0.489,0.4353,0.4979,0.4007,0.4462,0.3171,0.2396,0.3307,0.2504,0.3038,0.2501,0.2389,0.3236,0.2658,0.3377,0.276,0.2832,3128.9695
Fantasy,Mariah Carey,103.359375,-114.5026,43.7923,7.1952,21.029,7.4796,4.7112,1.7884,4.4368,6.358,9.4469,-3.9766,2.3731,-2.4216,0.3143,0.2996,0.3869,0.3836,0.3533,0.3358,0.3976,0.4543,0.4103,0.4774,0.4139,0.3903,0.2796,0.2595,0.3225,0.3326,0.3115,0.2977,0.314,0.3441,0.3058,0.3525,0.307,0.3257,3341.999
Take a Bow,Madonna,80.74951171875,-98.9276,84.8425,26.1311,32.1819,19.0643,3.4964,7.69,0.6684,1.0565,8.0439,-5.9346,1.2758,-3.9499,0.377,0.3163,0.2674,0.4125,0.3424,0.2971,0.231,0.2614,0.4163,0.3591,0.3908,0.3126,0.3376,0.2968,0.2535,0.3588,0.2884,0.299,0.229,0.2451,0.362,0.2977,0.3505,0.2677,2401.5304
Don't Take It Personal (Just One of Dem Days),Monica,89.10290948275862,-167.9136,62.473,-1.8484,34.5003,13.1928,15.6945,5.6114,10.8965,5.5714,13.8491,0.9299,8.8742,2.7695,0.43,0.4238,0.4482,0.4003,0.3695,0.4274,0.399,0.4386,0.405,0.4768,0.5493,0.4368,0.2981,0.2972,0.3262,0.3096,0.2806,0.3033,0.2996,0.3213,0.2586,0.2822,0.3396,0.2855,2511.8482
This Is How We Do It,Montell Jordan,103.359375,-72.7183,62.9977,-0.8185,22.2211,5.5901,9.4483,-1.589,9.3443,3.1909,11.6504,5.3226,8.0413,2.2,0.519,0.442,0.395,0.4991,0.5348,0.5827,0.5173,0.51,0.4716,0.4287,0.4764,0.4479,0.3157,0.2749,0.2346,0.2943,0.2929,0.3194,0.2958,0.294,0.2793,0.2608,0.2786,0.2668,2858.2936
I Know,Dionne Farris,103.359375,-69.6905,69.9999,-1.6931,28.0054,7.8957,7.3295,5.0356,9.0284,1.653,2.1025,-9.1015,0.6947,-1.6696,0.3763,0.3773,0.3276,0.3144,0.4407,0.3185,0.3108,0.3583,0.4514,0.6626,0.5209,0.5051,0.2679,0.2679,0.2695,0.2282,0.3083,0.2294,0.2533,0.2914,0.2397,0.3206,0.2691,0.3032,2865.1729
Water Runs Dry,Boyz II Men,89.10290948275862,-139.5123,85.5412,23.4224,22.4313,6.1725,6.5984,-4.3566,2.5982,-2.8505,1.1079,-1.7884,1.195,-2.9136,0.45,0.3315,0.3709,0.355,0.4487,0.3872,0.3607,0.4301,0.3208,0.3236,0.291,0.3691,0.3442,0.2526,0.3157,0.2833,0.3466,0.3039,0.279,0.3459,0.2568,0.3001,0.2642,0.287,2429.9755
Freak Like Me,Adina Howard,92.28515625,-49.007,81.1027,2.1884,31.4244,6.9865,10.2941,3.5652,4.5647,-1.8773,11.6664,-1.6918,8.0429,-4.3585,0.4087,0.4523,0.4192,0.3928,0.4867,0.5022,0.6066,0.4134,0.4239,0.5253,0.4455,0.4406,0.2712,0.273,0.287,0.2564,0.3078,0.2624,0.3153,0.2491,0.2953,0.3364,0.2777,0.3013,2403.857
Run-Around,Blues Traveler,151.99908088235293,-110.135,89.2578,-2.1332,29.3825,8.6453,12.8848,2.5738,10.1545,-1.2568,5.7922,-1.7973,2.0421,-2.0199,0.3615,0.3611,0.5226,0.3659,0.3595,0.2238,0.293,0.4845,0.3819,0.4518,0.3132,0.3594,0.3128,0.2492,0.3453,0.2477,0.3046,0.2011,0.2315,0.3416,0.2463,0.3305,0.2438,0.2941,2294.694
I Can Love You Like That,All-4-One,92.28515625,-55.8659,80.3031,15.2642,20.0829,8.3004,17.884,-5.0902,14.3461,-4.4038,5.7264,4.0068,-0.7228,-4.5073,0.2853,0.2443,0.2869,0.4436,0.3894,0.3851,0.3639,0.4146,0.4369,0.3676,0.417,0.3076,0.2828,0.2405,0.2512,0.3291,0.286,0.3051,0.2848,0.3077,0.3224,0.2725,0.3232,0.2481,2621.2685
Have You Ever Really Loved a Woman?,Bryan Adams,95.703125,-55.4748,83.5151,14.8397,31.5613,4.9086,15.8584,-2.8718,3.1995,-1.7433,2.0842,-1.958,1.8609,-3.2919,0.3408,0.281,0.4294,0.3406,0.3016,0.2491,0.3339,0.4797,0.341,0.3933,0.3468,0.3378,0.3076,0.2165,0.3426,0.2796,0.2777,0.2333,0.268,0.3496,0.2196,0.3248,0.2715,0.2764,2449.4709
Always,Bon Jovi,143.5546875,-53.6786,86.9349,-21.3346,17.3328,3.0264,12.9924,-4.9218,4.6236,-3.1783,5.2774,-3.5587,-0.1521,-3.8866,0.292,0.3423,0.2525,0.3769,0.4634,0.2865,0.3785,0.3284,0.4796,0.3708,0.2857,0.4034,0.2371,0.3052,0.2266,0.2755,0.3435,0.223,0.3229,0.2522,0.3217,0.299,0.229,0.3249,2449.9323
Boombastic / In the Summertime,Shaggy,172.265625,-203.3287,91.5255,2.9821,15.0159,1.1366,6.5626,-3.0307,0.5984,-5.766,4.5732,2.5706,4.1366,-2.8892,0.4872,0.3658,0.3714,0.3762,0.4545,0.5821,0.4123,0.3807,0.3331,0.3168,0.2913,0.3526,0.3335,0.2904,0.3005,0.2796,0.2795,0.351,0.282,0.2857,0.268,0.2529,0.2685,0.2742,2344.2034
Total Eclipse of the Heart,Nicki French,135.99917763157896,-21.6892,55.4899,3.6694,21.2746,7.9103,13.4326,2.8637,7.705,1.343,10.0256,0.3775,0.0959,-3.1802,0.3931,0.2921,0.364,0.3148,0.3818,0.3143,0.4109,0.5952,0.3979,0.4236,0.3665,0.4794,0.3005,0.2141,0.2711,0.2372,0.3011,0.2413,0.2612,0.3227,0.2378,0.321,0.2467,0.3029,3205.6295
You Gotta Be,Des'ree,123.046875,-128.215,87.0382,23.2583,28.0689,14.4526,10.6603,1.0217,6.8194,-6.8156,3.2895,-8.7874,-0.0106,-2.0865,0.5393,0.3819,0.3484,0.2689,0.3132,0.3612,0.2993,0.3985,0.3499,0.4166,0.3209,0.3415,0.3497,0.2807,0.3061,0.2453,0.2663,0.3177,0.2424,0.3065,0.2597,0.3429,0.2723,0.2552,2407.9626
You Are Not Alone,Michael Jackson,117.45383522727273,-123.1794,110.7092,30.848,20.5106,3.4935,6.4201,-1.3632,4.8716,-8.0054,6.2724,-6.5046,1.2521,-2.9292,0.3556,0.4026,0.3224,0.4042,0.325,0.2827,0.394,0.3278,0.3494,0.2712,0.4034,0.5038,0.2595,0.3272,0.2533,0.326,0.2815,0.2424,0.3185,0.2692,0.304,0.2271,0.3077,0.3413,1920.3205
Hold My Hand,Hootie & the Blowfish,86.1328125,-39.2934,91.625,-2.0485,20.1037,4.1472,3.982,-2.5136,2.4625,-2.1532,2.8388,-0.5956,0.6619,-1.8056,0.308,0.3318,0.2428,0.3345,0.3991,0.3698,0.5414,0.2965,0.3491,0.243,0.3761,0.5752,0.2133,0.3102,0.2098,0.2473,0.3268,0.2508,0.3359,0.2194,0.2956,0.2035,0.2524,0.3448,2362.6946
One More Chance/Stay with Me,The Notorious B.I.G.,92.28515625,-74.3682,66.6818,11.0906,29.5543,4.0015,3.8341,2.13,1.4724,-3.2489,-0.7766,-3.5044,4.2371,-3.8445,0.4723,0.4059,0.3757,0.3724,0.4559,0.4145,0.383,0.4442,0.3472,0.3232,0.296,0.3634,0.3503,0.293,0.3083,0.2917,0.3296,0.3225,0.302,0.3321,0.286,0.3087,0.2728,0.2903,2797.282
Here Comes the Hotstepper,Ini Kamoze,99.38401442307692,-132.2806,65.4884,-11.8638,27.5109,1.0427,15.7978,6.8034,13.9302,1.8691,19.0483,4.1727,5.5684,4.187,0.6253,0.4913,0.4263,0.3541,0.3315,0.328,0.4198,0.4225,0.4326,0.5542,0.5624,0.6877,0.308,0.2975,0.3036,0.2682,0.2572,0.2558,0.2862,0.2709,0.2672,0.3203,0.2871,0.2926,2501.7881
Candy Rain,Soul for Real,95.703125,-111.8958,48.156,9.4461,23.0392,7.4876,5.966,3.4604,0.3522,-3.6273,3.0497,-4.4274,1.6873,-5.1527,0.357,0.4045,0.4781,0.4118,0.5047,0.3953,0.4902,0.364,0.336,0.4062,0.3421,0.4863,0.2738,0.2986,0.3391,0.2862,0.3323,0.2798,0.341,0.2848,0.2593,0.3174,0.2538,0.3352,3314.5673
Let Her Cry,Hootie & the Blowfish,143.5546875,-63.9705,84.1146,-3.0275,30.8186,12.6458,9.018,-1.8293,3.3663,-4.4792,4.7286,-1.7277,1.5621,-2.4969,0.2928,0.2949,0.4651,0.2582,0.2762,0.2321,0.4439,0.6406,0.3552,0.3919,0.2839,0.3419,0.2888,0.2034,0.3166,0.189,0.2622,0.2089,0.2754,0.3513,0.2213,0.3126,0.2264,0.2956,2343.3097
I Believe,Blessid Union of Souls,143.5546875,-134.7374,78.4585,-3.4808,36.6922,3.4584,9.5535,-9.244,-2.3771,-7.099,0.8937,-6.5902,-1.9131,-7.9811,0.2861,0.2871,0.2192,0.3735,0.2494,0.2611,0.4465,0.2265,0.2319,0.1707,0.3537,0.5611,0.2147,0.3121,0.2116,0.3458,0.259,0.2242,0.3576,0.1981,0.2835,0.1818,0.2652,0.377,2375.2039
Red Light Special,TLC,63.02400914634146,-119.1189,81.9082,33.9419,26.4685,8.1581,8.7537,6.8385,1.0065,-0.0989,5.0123,-4.3464,4.387,-7.0881,0.4626,0.3164,0.3863,0.5195,0.3635,0.3457,0.3252,0.4491,0.3537,0.3198,0.4513,0.3551,0.3501,0.2303,0.2573,0.3433,0.2565,0.302,0.2467,0.3128,0.2832,0.2419,0.3445,0.232,2484.2109
Runaway,Janet Jackson,107.666015625,-81.9184,77.4607,2.2809,15.5681,4.2785,3.2538,2.7987,-2.055,-2.3021,3.8196,-9.8966,0.6546,-5.3927,0.3422,0.3193,0.2894,0.4114,0.2451,0.2621,0.2673,0.3217,0.5654,0.356,0.3986,0.3105,0.2958,0.3031,0.2612,0.3448,0.2331,0.2738,0.2719,0.248,0.3621,0.2593,0.3403,0.2796,2640.287
Strong Enough,Sheryl Crow,151.99908088235293,-202.8547,124.2638,14.4401,20.5987,11.9968,6.5504,2.333,-4.5643,-3.5423,-0.1044,-6.5621,0.193,-4.6225,0.1846,0.3004,0.5197,0.2679,0.2194,0.2216,0.4347,0.2639,0.256,0.4985,0.2933,0.2962,0.2,0.2292,0.3669,0.2171,0.27,0.218,0.3487,0.2784,0.2009,0.3532,0.2169,0.336,1605.9048
