song_title,artist,tempo,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,chroma_mean_1,chroma_mean_2,chroma_mean_3,chroma_mean_4,chroma_mean_5,chroma_mean_6,chroma_mean_7,chroma_mean_8,chroma_mean_9,chroma_mean_10,chroma_mean_11,chroma_mean_12,chroma_std_1,chroma_std_2,chroma_std_3,chroma_std_4,chroma_std_5,chroma_std_6,chroma_std_7,chroma_std_8,chroma_std_9,chroma_std_10,chroma_std_11,chroma_std_12,spectral_centroid
Yeah!,Usher featuring Lil Jon and Ludacris,103.359375,-79.2573,34.6541,-6.9363,-1.7006,-3.6444,2.1461,-10.6006,6.6387,-3.7636,9.2231,3.4192,11.0709,6.1485,0.31,0.3281,0.4987,0.4857,0.374,0.3736,0.4191,0.5238,0.4158,0.3565,0.3157,0.313,0.2843,0.2601,0.3228,0.3276,0.2885,0.3084,0.3017,0.3466,0.2953,0.275,0.2563,0.2716,3506.8218
Burn,Usher,80.74951171875,-126.5244,59.8766,5.5927,16.4986,7.174,1.5341,-7.6229,1.2603,-13.9039,1.3278,-7.9199,-4.9446,-5.591,0.3585,0.4741,0.3124,0.3813,0.3041,0.4383,0.2551,0.2572,0.3972,0.2998,0.2641,0.2442,0.3001,0.3619,0.2574,0.3348,0.247,0.3639,0.2567,0.2641,0.3545,0.2888,0.2958,0.2832,2927.2126
If I Ain't Got You,Alicia Keys,117.45383522727273,-157.6204,112.3695,2.5107,23.9426,9.5286,-1.5119,7.5484,3.1687,-2.2489,6.6022,-6.3671,-0.4284,1.0775,0.3296,0.2466,0.2938,0.2366,0.2807,0.2399,0.3449,0.4172,0.3448,0.4211,0.4009,0.4518,0.3073,0.2583,0.3129,0.2429,0.3013,0.2344,0.2935,0.3496,0.2844,0.3546,0.3111,0.3542,1695.392
This Love,Maroon 5,95.703125,-12.9257,76.6767,-0.145,16.04,0.6887,7.3944,-1.0583,8.6873,1.2143,7.5335,0.5999,4.662,-3.1773,0.4204,0.317,0.4007,0.4782,0.3405,0.3974,0.4087,0.4652,0.3655,0.3554,0.3832,0.3592,0.328,0.2547,0.2995,0.3368,0.2602,0.3208,0.2863,0.3188,0.2945,0.2854,0.3022,0.2857,2722.575
The Way You Move,OutKast featuring Sleepy Brown,123.046875,-71.8899,78.0633,10.81,20.9888,-1.2731,16.756,-2.0734,12.0183,-0.1372,6.9673,3.4638,10.8693,4.0087,0.5895,0.4434,0.462,0.4627,0.3818,0.4669,0.4231,0.5165,0.401,0.3729,0.4896,0.4859,0.3324,0.2798,0.2995,0.2776,0.241,0.3095,0.2481,0.3129,0.2747,0.2605,0.2871,0.2753,2476.6612
The Reason,Hoobastank,83.35433467741936,-56.6626,80.5423,11.5678,34.1782,9.1112,10.6168,-3.4321,10.1297,-3.049,5.1699,-5.6913,1.5525,-3.0195,0.2755,0.3327,0.2967,0.4123,0.5678,0.3084,0.285,0.2563,0.395,0.3428,0.2853,0.4314,0.2186,0.3095,0.2389,0.2533,0.3575,0.2158,0.2768,0.2332,0.3154,0.3224,0.2154,0.3296,2517.0905
I Don't Wanna Know,Mario Winans featuring Enya and P. Diddy,95.703125,-145.2072,86.5234,14.6768,34.6347,12.6533,5.9727,1.431,2.9245,-4.592,4.2581,-5.0178,0.7796,-3.9087,0.3664,0.4926,0.5804,0.2974,0.2468,0.2435,0.3105,0.2776,0.2644,0.3153,0.3342,0.4313,0.3032,0.3272,0.362,0.2368,0.2863,0.262,0.321,0.3027,0.2739,0.3023,0.2898,0.3676,2127.3762
Hey Ya!,OutKast,107.666015625,-22.2371,89.176,-6.1123,19.3124,8.7485,13.8223,1.911,12.3267,3.106,9.1204,-0.9916,7.3434,-2.3531,0.565,0.4527,0.4489,0.4399,0.4921,0.4478,0.459,0.4868,0.3762,0.3816,0.4334,0.5729,0.3174,0.2518,0.2577,0.2561,0.3027,0.2844,0.2886,0.3012,0.2347,0.2625,0.2567,0.2954,2301.1105
Goodies,Ciara featuring Petey Pablo,103.359375,-161.0175,73.138,-1.1096,14.0499,10.6156,11.4445,11.536,6.7413,4.902,7.0748,4.2819,7.8448,-2.52,0.3248,0.2789,0.3129,0.3571,0.4647,0.7677,0.4442,0.3949,0.3965,0.3229,0.3031,0.3047,0.3085,0.2692,0.2749,0.2795,0.2741,0.3221,0.2575,0.2891,0.3118,0.2627,0.2704,0.2805,2543.9612
Lean Back,Terror Squad featuring Fat Joe and Remy Ma,129.19921875,-82.5229,84.3416,-8.0317,23.0141,2.7571,10.261,-3.2393,3.048,0.4528,2.2397,-1.562,3.5024,-0.3981,0.4286,0.435,0.4318,0.4703,0.413,0.3453,0.3916,0.4458,0.4788,0.4385,0.4193,0.4202,0.3033,0.3049,0.2953,0.3165,0.3112,0.2715,0.3004,0.3172,0.3372,0.3264,0.3063,0.2947,2445.0512
Tipsy,J-Kwon,92.28515625,-89.0853,80.1102,-1.6376,26.0577,12.9749,7.2473,1.3308,6.7752,-0.6178,8.0604,0.8211,4.6045,1.91,0.5543,0.5321,0.5264,0.5181,0.5646,0.553,0.5177,0.5323,0.5796,0.5601,0.5417,0.5458,0.3272,0.2992,0.3074,0.2886,0.3149,0.3031,0.2575,0.2585,0.2967,0.2985,0.3149,0.3307,2272.8907
Confessions Part II,Usher,92.28515625,-126.5635,57.1131,6.7424,15.7539,3.1861,4.0668,-10.467,0.3421,-8.9254,2.127,1.3834,-1.1554,-0.8761,0.5811,0.3687,0.309,0.4457,0.3618,0.3304,0.3115,0.3427,0.4019,0.3765,0.4335,0.3938,0.3467,0.2669,0.2657,0.3414,0.2906,0.3066,0.2849,0.277,0.3324,0.3115,0.3359,0.2661,2893.0992
Slow Motion,Juvenile featuring Soulja Slim,172.265625,-81.0493,91.1675,16.8099,21.5301,-5.5403,7.4057,-9.996,0.3583,-0.3871,2.2553,-4.3811,3.3105,-0.4107,0.3538,0.3112,0.3809,0.4691,0.3512,0.3914,0.381,0.545,0.41,0.3558,0.3233,0.3178,0.3141,0.2787,0.2785,0.3373,0.2643,0.3328,0.2654,0.3496,0.3006,0.2919,0.2711,0.2809,2235.1223
Freek-a-Leek,Petey Pablo,103.359375,-42.5115,84.001,-1.107,18.341,8.6531,3.5567,-2.1484,12.4615,-0.0882,4.6879,1.8196,6.0806,1.7053,0.3462,0.374,0.4637,0.5013,0.6031,0.6146,0.5494,0.5609,0.5205,0.5261,0.4685,0.3665,0.2541,0.2371,0.2712,0.2735,0.3121,0.3096,0.2976,0.309,0.2705,0.2608,0.2806,0.2506,2333.634
Here Without You,3 Doors Down,143.5546875,-31.6503,94.01,-3.8487,24.9534,11.1904,9.0706,-3.2425,8.4412,-2.5295,4.5543,-2.1006,2.7502,0.2325,0.435,0.4571,0.272,0.3311,0.2427,0.3519,0.2695,0.3078,0.4468,0.3667,0.476,0.316,0.308,0.3424,0.2039,0.3059,0.1945,0.3018,0.2504,0.2305,0.3156,0.2381,0.3527,0.2301,2334.7675
Slow Jamz,Twista featuring Kanye West and Jamie Foxx,143.5546875,-73.1353,102.4132,16.0018,16.3062,6.262,3.2912,-4.0417,8.8533,0.5028,6.5673,1.4365,2.6146,-2.6365,0.4574,0.4327,0.4436,0.3299,0.3849,0.4225,0.3223,0.4072,0.3785,0.5579,0.4028,0.3525,0.3165,0.2906,0.3046,0.2537,0.2819,0.3067,0.2514,0.3064,0.2567,0.3465,0.2666,0.2648,2105.0698
Someday,Nickelback,161.4990234375,-13.0216,65.6094,-10.652,37.9743,4.0095,12.2983,2.732,15.0934,-1.3944,9.1727,0.2454,2.8913,0.0984,0.3605,0.3951,0.4728,0.3729,0.454,0.3221,0.3904,0.3288,0.4255,0.5805,0.4773,0.5757,0.2263,0.2537,0.3201,0.2221,0.305,0.2106,0.2697,0.2299,0.2515,0.3184,0.2306,0.3269,2819.8678
Naughty Girl,Beyoncé,99.38401442307692,-78.2317,65.9729,-9.2821,21.0031,0.6514,-4.0953,3.3871,1.3089,2.8397,4.1411,-7.228,3.3235,3.1704,0.4167,0.579,0.3871,0.2816,0.2492,0.286,0.2946,0.267,0.3463,0.2929,0.3154,0.4522,0.2792,0.3832,0.3271,0.287,0.2755,0.2992,0.2875,0.2523,0.3054,0.277,0.281,0.3665,2815.1679
My Immortal,Evanescence,151.99908088235293,-153.2611,107.0132,1.6913,18.7008,8.5784,-2.9563,3.8997,-3.9211,-6.6596,-6.5685,-12.0029,-0.4902,-10.2032,0.1639,0.3266,0.1333,0.1817,0.2895,0.1177,0.1496,0.1574,0.4759,0.497,0.1755,0.1896,0.183,0.3641,0.1646,0.2134,0.3202,0.1367,0.2592,0.1712,0.3492,0.3849,0.178,0.2862,1916.7673
Sunshine,Lil' Flip featuring Lea,92.28515625,-168.7683,56.7602,10.8047,21.3214,20.869,3.2007,5.0625,7.4751,4.0924,-0.601,-2.204,2.44,-3.0066,0.4617,0.4389,0.4452,0.3451,0.3152,0.2615,0.3457,0.5356,0.3714,0.3767,0.3705,0.4559,0.3705,0.3174,0.3095,0.2596,0.2583,0.2423,0.271,0.3688,0.2887,0.3188,0.3027,0.3564,2906.9438
Dirt off Your Shoulder,Jay-Z,161.4990234375,-89.8456,106.3864,-12.2614,33.406,13.4394,6.327,6.0796,9.6672,-1.2087,14.4347,-0.6649,5.8024,2.5651,0.4058,0.3514,0.3602,0.3867,0.4849,0.587,0.4869,0.549,0.5923,0.4695,0.4125,0.3963,0.2942,0.2597,0.2426,0.2485,0.2937,0.3541,0.2789,0.2952,0.3313,0.2989,0.3087,0.2873,1828.761
Move Ya Body,Nina Sky featuring Jabba,123.046875,-100.0913,79.3721,15.809,19.2238,10.2402,7.5274,-1.5177,6.0882,-5.4746,5.5972,-4.0486,-0.1095,-1.195,0.4142,0.5722,0.409,0.3362,0.3987,0.4087,0.453,0.4426,0.4893,0.4446,0.4242,0.4656,0.2573,0.3519,0.2715,0.2448,0.2812,0.2919,0.3345,0.3021,0.3218,0.319,0.2616,0.3461,2373.6034
Dip It Low,Christina Milian,112.34714673913044,-86.8787,71.5643,7.1228,15.27,6.0683,3.1513,3.4371,5.2172,3.4964,7.2562,-4.4331,3.3843,0.5857,0.4572,0.3658,0.3946,0.3843,0.4918,0.4117,0.3547,0.4485,0.4435,0.5852,0.4719,0.4771,0.3117,0.2644,0.3113,0.2933,0.3456,0.3243,0.264,0.2981,0.2845,0.3493,0.2824,0.3084,2665.8142
My Boo,Usher and Alicia Keys,86.1328125,-119.1199,81.4212,-3.9579,9.8793,0.3967,-2.8789,-5.6475,-1.3863,-6.7617,2.1894,-4.0431,-2.2453,-1.8937,0.4417,0.3125,0.2898,0.2426,0.3532,0.4017,0.3129,0.3635,0.3733,0.4684,0.3414,0.2932,0.3526,0.2749,0.2994,0.2483,0.2938,0.3372,0.2794,0.3285,0.3113,0.3576,0.297,0.2613,2452.5569
