song_title,artist,tempo,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,chroma_mean_1,chroma_mean_2,chroma_mean_3,chroma_mean_4,chroma_mean_5,chroma_mean_6,chroma_mean_7,chroma_mean_8,chroma_mean_9,chroma_mean_10,chroma_mean_11,chroma_mean_12,chroma_std_1,chroma_std_2,chroma_std_3,chroma_std_4,chroma_std_5,chroma_std_6,chroma_std_7,chroma_std_8,chroma_std_9,chroma_std_10,chroma_std_11,chroma_std_12,spectral_centroid
How You Remind Me,Nickelback,86.1328125,-26.1517,75.3167,-10.8617,26.4829,17.2582,12.2083,0.039,8.5322,-2.0316,8.336,-0.1452,1.2328,-0.5945,0.4916,0.3553,0.3889,0.3735,0.3849,0.4434,0.3607,0.4328,0.3454,0.4275,0.5379,0.4049,0.3206,0.2305,0.2867,0.3015,0.2695,0.3235,0.2498,0.3196,0.242,0.2736,0.3414,0.2153,2628.0501
Foolish,Ashanti,89.10290948275862,-102.7714,70.1275,12.544,18.3164,1.9086,1.6198,0.2159,-5.1851,-3.201,-2.243,-11.2726,-0.8976,-8.5286,0.4101,0.289,0.3158,0.3084,0.487,0.283,0.2377,0.3605,0.2507,0.2771,0.2126,0.3648,0.3618,0.2498,0.3308,0.2447,0.3759,0.288,0.2386,0.3388,0.2427,0.3115,0.2168,0.3191,2633.7415
Hot in Herre,Nelly,107.666015625,-73.1454,67.2435,-5.3926,12.7408,-8.3333,5.2665,-4.6504,-4.5352,-8.1339,1.7116,-6.8965,-0.7679,-2.8056,0.3786,0.387,0.4832,0.4106,0.4699,0.405,0.4079,0.3531,0.3241,0.3456,0.3473,0.4598,0.2962,0.301,0.3303,0.2758,0.3347,0.2937,0.2988,0.2834,0.2642,0.2916,0.2731,0.344,2789.3199
Dilemma,Nelly featuring Kelly Rowland,172.265625,-123.0119,92.4443,20.6425,28.2956,15.9286,12.3657,13.4194,7.0609,-5.3765,3.9267,-7.1145,-0.3503,-2.8263,0.587,0.4125,0.4062,0.3375,0.4368,0.4709,0.3851,0.5226,0.4716,0.5073,0.4383,0.4592,0.3402,0.2476,0.3116,0.2231,0.2663,0.3041,0.2503,0.337,0.2927,0.3179,0.2624,0.2526,2152.0202
Wherever You Will Go,The Calling,112.34714673913044,-58.0799,78.4767,10.1145,24.8257,10.6262,5.181,-0.0701,7.0351,-2.4524,8.2675,-4.9677,-0.7295,-1.8427,0.2726,0.4209,0.5859,0.3653,0.2995,0.2487,0.3797,0.3535,0.3545,0.5408,0.337,0.2962,0.2311,0.2874,0.3302,0.2407,0.2795,0.2132,0.3158,0.2956,0.2603,0.3236,0.2335,0.2796,2669.1066
A Thousand Miles,Vanessa Carlton,95.703125,-85.3743,78.7822,16.9843,18.3808,1.5768,8.0857,1.4944,1.8554,3.6277,1.0578,-4.746,-2.0392,-0.9873,0.2541,0.3281,0.2618,0.3472,0.3242,0.2822,0.4466,0.2253,0.192,0.1912,0.4155,0.4491,0.21,0.3298,0.2325,0.3332,0.2986,0.2199,0.3523,0.2161,0.24,0.1877,0.3324,0.3576,2677.1702
In the End,Linkin Park,103.359375,-43.0077,94.6927,-17.8413,26.7354,7.4093,6.2007,2.4815,8.441,6.777,7.2919,1.8849,6.1697,-1.1379,0.4006,0.4318,0.3946,0.4573,0.3986,0.5805,0.4619,0.3499,0.3981,0.3735,0.4637,0.358,0.2701,0.284,0.2547,0.3151,0.2336,0.3097,0.2812,0.2361,0.3105,0.2569,0.3173,0.2574,2197.6146
What's Luv?,Fat Joe featuring Ashanti,92.28515625,-180.0275,58.2698,4.5785,8.6925,3.0992,2.1163,-1.809,-1.1214,0.4098,1.0141,-5.1989,-0.3307,-1.3012,0.3987,0.3482,0.3928,0.4547,0.3346,0.3165,0.362,0.4993,0.4872,0.3993,0.4005,0.3689,0.3464,0.3051,0.3056,0.3495,0.2815,0.2918,0.2723,0.3433,0.3491,0.2927,0.3015,0.3147,3075.9421
U Got It Bad,Usher,123.046875,-117.5963,78.4371,2.7177,23.2068,8.984,1.6317,-4.526,11.5727,-9.4209,5.7841,0.4565,-1.5691,-3.6694,0.3609,0.4648,0.3214,0.3339,0.3306,0.4498,0.3981,0.323,0.461,0.3622,0.361,0.3307,0.3009,0.3482,0.2736,0.3146,0.2744,0.3272,0.3118,0.262,0.3355,0.2758,0.3141,0.2867,2507.9394
Blurry,Puddle of Mudd,161.4990234375,-0.4866,84.6367,4.6114,26.1165,8.5093,4.0755,-1.7688,5.4713,0.064,4.26,0.5661,2.7761,-4.3971,0.332,0.4979,0.432,0.5217,0.3242,0.3778,0.4462,0.3036,0.3142,0.2895,0.481,0.3502,0.2254,0.3191,0.237,0.3453,0.217,0.2636,0.3272,0.2449,0.2618,0.1983,0.3223,0.2604,2520.0046
