song_title,artist,tempo,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,chroma_mean_1,chroma_mean_2,chroma_mean_3,chroma_mean_4,chroma_mean_5,chroma_mean_6,chroma_mean_7,chroma_mean_8,chroma_mean_9,chroma_mean_10,chroma_mean_11,chroma_mean_12,chroma_std_1,chroma_std_2,chroma_std_3,chroma_std_4,chroma_std_5,chroma_std_6,chroma_std_7,chroma_std_8,chroma_std_9,chroma_std_10,chroma_std_11,chroma_std_12,spectral_centroid
Levitating,Dua Lipa,103.359375,-46.6345,79.5777,-4.8606,13.8934,-2.4966,4.1367,0.692,4.6944,1.8807,7.4106,-1.7347,3.1349,-2.5834,0.3571,0.3787,0.4044,0.3187,0.4002,0.345,0.4262,0.307,0.3319,0.4427,0.4024,0.5189,0.2584,0.2839,0.3208,0.252,0.3425,0.2718,0.3284,0.2556,0.2741,0.3327,0.2778,0.3566,2336.0775
Save Your Tears,The Weeknd and Ariana Grande,117.45383522727273,-108.7005,94.0688,6.5279,23.6107,8.2851,9.2227,2.0491,0.4715,-3.9373,8.8116,-1.4907,5.0651,-0.0725,0.4768,0.2906,0.3433,0.3217,0.5373,0.3523,0.3037,0.4461,0.3031,0.3094,0.2793,0.4503,0.3459,0.2036,0.2913,0.2333,0.3608,0.2893,0.2321,0.3248,0.22,0.2918,0.2157,0.2982,2292.5404
Blinding Lights,The Weeknd,86.1328125,-41.8432,89.411,4.8226,35.6371,2.1005,15.5266,4.7073,10.2893,0.7635,14.9128,5.2561,8.7319,1.1483,0.4401,0.3311,0.3876,0.5002,0.431,0.6222,0.4134,0.479,0.3623,0.3196,0.3832,0.3311,0.3261,0.2435,0.2683,0.3232,0.2245,0.3438,0.2212,0.3115,0.2689,0.2473,0.3083,0.2487,2170.3235
Mood,24kGoldn featuring Iann Dior,92.28515625,-53.6493,92.2923,-4.5049,17.1187,-2.565,2.3348,-1.5573,0.1652,-7.5683,6.0199,-6.826,2.8298,-0.4899,0.516,0.3429,0.3966,0.2894,0.2895,0.4081,0.3247,0.417,0.3249,0.4182,0.5019,0.3775,0.3741,0.2463,0.3244,0.2488,0.2325,0.3177,0.2334,0.3254,0.2701,0.3108,0.3429,0.2557,2231.1613
Good 4 U,Olivia Rodrigo,83.35433467741936,-72.9045,89.0006,-10.5011,25.8435,3.1139,6.5873,5.5812,4.3665,0.8663,6.4257,-4.7742,0.9812,-3.0866,0.3495,0.3956,0.2812,0.2828,0.405,0.3584,0.4393,0.3418,0.3738,0.3907,0.3417,0.4353,0.2745,0.3268,0.2526,0.239,0.3296,0.2746,0.3416,0.268,0.2932,0.3318,0.2886,0.3499,2238.8331
Kiss Me More,Doja Cat featuring SZA,112.34714673913044,-66.1673,95.6551,19.4157,17.2749,5.8593,3.4518,1.0087,-2.6105,3.1962,-2.7503,-4.5496,-0.0285,-5.3176,0.3707,0.3375,0.3445,0.4482,0.3339,0.403,0.293,0.4769,0.4128,0.2762,0.3606,0.2754,0.3157,0.2731,0.2747,0.3732,0.27,0.3617,0.225,0.3423,0.3083,0.2292,0.3222,0.229,2263.8241
Leave the Door Open,Silk Sonic (Bruno Mars and Anderson .Paak),151.99908088235293,-112.9651,89.8172,-5.4188,13.9712,-1.6067,5.5693,-2.2584,4.9331,0.266,5.974,-4.5347,2.3727,-5.0538,0.374,0.2793,0.3063,0.3095,0.3524,0.3609,0.3075,0.3836,0.3659,0.3416,0.3207,0.3392,0.334,0.2617,0.3048,0.2795,0.3107,0.315,0.2548,0.3185,0.3112,0.2988,0.2953,0.2947,2420.0613
Drivers License,Olivia Rodrigo,143.5546875,-149.7586,118.3992,4.0579,14.7226,5.2606,1.1936,7.9384,-2.8837,-1.5402,-0.522,-10.4577,-0.8401,-3.2277,0.2574,0.257,0.3868,0.2521,0.1955,0.3448,0.2412,0.2702,0.2129,0.3063,0.5863,0.3222,0.2987,0.2684,0.3543,0.2624,0.2065,0.3318,0.2226,0.3197,0.2353,0.2746,0.3796,0.2383,1709.5966
Montero (Call Me by Your Name),Lil Nas X,117.45383522727273,-72.6086,71.9946,16.1653,14.7916,8.4808,3.7843,2.1892,-2.7321,-3.0104,-0.9695,-6.6424,2.4724,-3.6405,0.3026,0.3731,0.399,0.5637,0.4837,0.3479,0.2883,0.3459,0.394,0.2999,0.4078,0.3916,0.248,0.3247,0.2704,0.3373,0.3217,0.2888,0.2579,0.2934,0.3345,0.2442,0.3162,0.3117,2912.7134
Peaches,Justin Bieber featuring Daniel Caesar and Giveon,89.10290948275862,-92.3861,108.7935,13.3877,17.1832,6.0398,11.4094,-4.4283,1.3377,-5.1157,1.3186,-1.6423,-0.5395,-3.5349,0.4886,0.3404,0.4724,0.3708,0.5046,0.3601,0.2989,0.4097,0.2871,0.3654,0.2594,0.3706,0.3409,0.2179,0.3579,0.2382,0.3358,0.2986,0.2403,0.3341,0.2447,0.329,0.2191,0.2692,1959.5301
