song_title,artist,tempo,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,chroma_mean_1,chroma_mean_2,chroma_mean_3,chroma_mean_4,chroma_mean_5,chroma_mean_6,chroma_mean_7,chroma_mean_8,chroma_mean_9,chroma_mean_10,chroma_mean_11,chroma_mean_12,chroma_std_1,chroma_std_2,chroma_std_3,chroma_std_4,chroma_std_5,chroma_std_6,chroma_std_7,chroma_std_8,chroma_std_9,chroma_std_10,chroma_std_11,chroma_std_12,spectral_centroid
Breathe,Faith Hill,135.99917763157896,-82.7512,90.2456,0.9608,23.8011,10.9161,4.6356,2.2187,3.9343,-0.739,2.6821,-3.6005,0.0898,-4.9534,0.3697,0.3106,0.4685,0.2579,0.288,0.1878,0.3261,0.566,0.3018,0.3558,0.2631,0.3854,0.3133,0.2245,0.3477,0.2029,0.2888,0.1893,0.2624,0.3614,0.2194,0.333,0.2266,0.3045,2389.1626
Smooth,Santana featuring Rob Thomas,117.45383522727273,-17.7428,87.4153,-0.1276,26.1353,-5.1013,7.2465,-1.1762,5.0406,2.6913,2.3378,-2.0007,3.5197,-6.5221,0.3783,0.3247,0.3928,0.382,0.5131,0.346,0.2733,0.2994,0.3693,0.4944,0.3268,0.3833,0.3016,0.2521,0.325,0.2644,0.3332,0.2583,0.2355,0.2652,0.2716,0.3582,0.2324,0.3011,2484.3978
Maria Maria,Santana featuring The Product G&B,99.38401442307692,-205.4938,104.4383,5.8995,32.897,6.0771,15.3872,4.8712,5.6402,-0.2713,8.5651,1.948,4.5094,2.9303,0.4556,0.3377,0.3701,0.3984,0.488,0.3834,0.3538,0.4159,0.4424,0.5019,0.391,0.4039,0.34,0.2375,0.3073,0.2978,0.3517,0.2955,0.2636,0.3118,0.3267,0.3651,0.2804,0.2825,1812.1534
I Wanna Know,Joe,135.99917763157896,-131.5913,95.0899,33.6993,18.4991,0.7907,10.5235,0.279,3.4347,-1.6065,4.5598,0.7591,1.8503,-1.2492,0.2959,0.4231,0.2949,0.3216,0.2942,0.413,0.5603,0.3903,0.4438,0.3755,0.4045,0.3159,0.2548,0.3349,0.2412,0.3001,0.2647,0.3045,0.36,0.278,0.3378,0.2867,0.3181,0.2814,2255.6372
Everything You Want,Vertical Horizon,95.703125,-61.2744,96.4437,-2.3196,29.5732,9.3092,5.3234,-2.0458,5.2575,2.6955,6.4699,-1.0899,2.6158,-5.3295,0.3151,0.4399,0.3392,0.4522,0.2912,0.3455,0.4478,0.3558,0.4417,0.3934,0.5319,0.3672,0.2294,0.3323,0.2161,0.315,0.2053,0.2601,0.3256,0.234,0.3397,0.2549,0.3324,0.2544,2153.0275
Say My Name,Destiny's Child,69.83741554054055,-70.3731,59.0701,13.6884,31.2105,6.7645,-7.7432,-0.2719,-4.4958,-0.1755,1.3809,-8.2278,0.7319,-6.2443,0.4515,0.3046,0.3712,0.4623,0.3276,0.328,0.3074,0.5009,0.4129,0.3027,0.3376,0.3426,0.339,0.2391,0.2915,0.3411,0.2539,0.3063,0.2378,0.332,0.2894,0.2561,0.3021,0.2635,3219.0898
I Knew I Loved You,Savage Garden,86.1328125,-124.7425,85.6832,29.2905,29.9747,9.014,10.0501,0.6532,2.2228,-3.1794,0.6152,-4.0304,-1.9452,-5.4808,0.318,0.3008,0.3448,0.3366,0.377,0.3364,0.2397,0.2118,0.2843,0.4735,0.4957,0.37,0.2847,0.2762,0.3082,0.2819,0.322,0.3044,0.2326,0.2204,0.2568,0.3347,0.3309,0.2897,2323.178
Amazed,Lonestar,69.83741554054055,-103.0843,76.2278,0.9864,19.7984,1.9927,6.5937,-8.7809,3.7649,-8.126,3.202,-7.0632,-2.6607,-4.8645,0.328,0.3446,0.2622,0.4149,0.2827,0.3313,0.3018,0.3164,0.5144,0.3037,0.3515,0.283,0.2879,0.3223,0.221,0.3321,0.2405,0.3138,0.287,0.2395,0.3505,0.2137,0.3064,0.2669,2725.7337
Bent,Matchbox Twenty,95.703125,-37.6676,99.8491,-8.8056,33.93,6.3252,12.0359,0.0906,7.5501,1.7571,6.4935,-0.3627,3.643,-4.278,0.3621,0.4815,0.3957,0.3977,0.4849,0.3582,0.4555,0.3644,0.4203,0.4075,0.3092,0.4382,0.2341,0.3002,0.2757,0.2531,0.3239,0.2194,0.3139,0.2522,0.2877,0.2944,0.2049,0.3277,2163.182
He Wasn't Man Enough,Toni Braxton,172.265625,-60.4423,54.6697,21.8601,30.6244,18.0939,6.2287,6.6409,5.5229,0.6234,5.2079,-2.2794,-0.7287,-3.9718,0.3245,0.3239,0.394,0.4139,0.4971,0.414,0.4441,0.5368,0.4087,0.4313,0.3626,0.3939,0.2924,0.2874,0.3157,0.2891,0.334,0.2901,0.2881,0.3424,0.2652,0.3358,0.2736,0.3157,3180.7633
