song_title,artist,tempo,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,chroma_mean_1,chroma_mean_2,chroma_mean_3,chroma_mean_4,chroma_mean_5,chroma_mean_6,chroma_mean_7,chroma_mean_8,chroma_mean_9,chroma_mean_10,chroma_mean_11,chroma_mean_12,chroma_std_1,chroma_std_2,chroma_std_3,chroma_std_4,chroma_std_5,chroma_std_6,chroma_std_7,chroma_std_8,chroma_std_9,chroma_std_10,chroma_std_11,chroma_std_12,spectral_centroid
I Cry,Flo Rida,123.046875,-35.8804,65.3931,5.5291,14.6966,11.2611,10.8989,2.9092,7.0433,-2.1771,6.0212,0.3559,4.6265,1.1166,0.4282,0.3932,0.5163,0.45,0.5279,0.4182,0.4767,0.5249,0.4651,0.567,0.4908,0.5526,0.2797,0.2509,0.3058,0.2477,0.3006,0.2648,0.2759,0.305,0.2823,0.3158,0.2617,0.2924,3057.1352
Little Talks,Of Monsters and Men,103.359375,-62.6627,93.7158,-13.7284,24.0606,4.8242,4.6667,-3.8354,7.7445,-3.1808,3.9131,-1.453,3.0153,-4.3658,0.4109,0.5252,0.3684,0.4339,0.3597,0.5579,0.3444,0.3094,0.4712,0.3327,0.3822,0.2889,0.2493,0.3413,0.2317,0.3053,0.2385,0.3317,0.2565,0.2231,0.3153,0.2096,0.2999,0.207,2380.7974
The Other Side,Jason Derulo,129.19921875,-24.4383,67.0408,8.0141,15.832,4.3391,7.7765,-1.6144,5.3093,-2.1325,3.8357,-1.9376,1.4691,-1.8259,0.3259,0.3658,0.3088,0.3737,0.5842,0.3594,0.3874,0.3064,0.468,0.5579,0.3649,0.3861,0.2749,0.3119,0.2413,0.2449,0.3293,0.2402,0.3134,0.2402,0.2961,0.3417,0.2469,0.3051,3036.9729
Berzerk,Eminem,95.703125,-31.601,56.8851,-10.3849,17.0635,8.2135,5.8819,-2.1073,11.8269,-3.9515,7.9525,2.0953,4.4856,-0.779,0.4639,0.429,0.4534,0.4172,0.4339,0.4359,0.4366,0.5007,0.5171,0.5428,0.4514,0.4412,0.3066,0.2763,0.3045,0.2711,0.2769,0.2778,0.2687,0.3077,0.3116,0.3289,0.2963,0.2992,2997.1726
Catch My Breath,Kelly Clarkson,123.046875,-47.2621,76.3927,8.1586,17.2335,8.0017,5.2411,3.1086,2.5916,-1.8163,3.0741,-7.3515,1.0531,-0.5911,0.2997,0.3786,0.3089,0.3536,0.5571,0.3291,0.3159,0.2882,0.4294,0.5299,0.3184,0.4209,0.2333,0.3118,0.2633,0.2503,0.3389,0.2457,0.2991,0.2541,0.299,0.3581,0.2278,0.3341,2715.699
Crash My Party,Luke Bryan,143.5546875,-27.2921,82.7632,7.253,32.8272,8.4913,6.7437,-0.2331,11.3803,-0.5322,3.326,0.5878,1.6767,-1.8052,0.3312,0.3549,0.5425,0.3625,0.3594,0.3096,0.4682,0.6218,0.3508,0.3656,0.2746,0.4241,0.2516,0.2241,0.3055,0.2293,0.2878,0.2302,0.2601,0.3342,0.208,0.2995,0.1988,0.3118,2454.3242
Pour It Up,Rihanna,135.99917763157896,-230.9053,91.0054,29.572,17.8861,7.7473,9.1225,8.1407,-0.9599,4.7084,5.7685,1.0616,2.2644,-2.8139,0.3086,0.4522,0.4132,0.3391,0.3462,0.4362,0.6136,0.4019,0.4148,0.4406,0.357,0.3933,0.2368,0.3154,0.3289,0.2911,0.2976,0.3008,0.3553,0.2914,0.3378,0.3513,0.2837,0.3404,1937.4343
22,Taylor Swift,103.359375,-133.267,55.0971,-0.6956,19.4061,2.5982,7.4518,7.7121,4.4984,6.2169,3.8918,-4.0957,4.4125,-4.5382,0.3987,0.431,0.5511,0.348,0.3209,0.2862,0.3981,0.5363,0.3526,0.4112,0.3554,0.5065,0.2846,0.2765,0.3355,0.2528,0.2833,0.2534,0.2837,0.3445,0.2511,0.3186,0.245,0.3349,3019.7947
I Want Crazy,Hunter Hayes,103.359375,-26.3903,77.4174,-0.7555,27.861,4.6672,4.9288,-2.6214,5.5325,-1.8349,8.3961,-5.3362,5.3316,-2.3312,0.3495,0.2675,0.4171,0.5586,0.3482,0.4306,0.3053,0.4296,0.3539,0.3442,0.5313,0.3394,0.2985,0.2023,0.2681,0.3264,0.217,0.325,0.2207,0.3226,0.2869,0.2332,0.3189,0.2262,2645.6306
The Fox (What Does the Fox Say?),Ylvis,129.19921875,-50.4298,47.0107,13.1019,15.6965,1.6545,5.536,0.3316,2.4839,-2.5842,6.1791,-5.6134,2.3415,0.908,0.3254,0.4479,0.274,0.2971,0.2882,0.2703,0.3827,0.33,0.4085,0.3213,0.347,0.3909,0.2605,0.3655,0.2317,0.2863,0.2858,0.2422,0.3403,0.2793,0.3523,0.2905,0.2957,0.3293,3326.0714
