Song Name,Artist Name
I Will Always Love You,Whitney Houston
Whoomp! (There It Is),Tag Team
Can't Help Falling in Love,UB40
That's the Way Love Goes,Janet Jackson
Freak Me,Silk
Weak,SWV
If I Ever Fall in Love,Shai
Dreamlover,Mariah Carey
Rump Shaker,Wreckx-n-Effect
Informer,Snow
Nuthin' but a 'G' Thang,Dr. Dre
In the Still of the Nite,Boyz II Men
Don't Walk Away,Jade
Knockin' da Boots,H-Town
Lately,Jodeci
Dazzey Duks,Duice
Show Me Love,Robin S.
A Whole New World,Peabo Bryson and Regina Belle
If,Janet Jackson
I'm So Into You,SWV
Love Is,Vanessa Williams and Brian McKnight
Runaway Train,Soul Asylum
I'll Never Get Over You (Getting Over Me),Exposé
Ditty,Paperboy
Rhythm Is a Dancer,Snap!
The River of Dreams,Billy Joel
I'm Gonna Be (500 Miles),The Proclaimers
Two Princes,Spin Doctors
Right Here (Human Nature) / Downtown,SWV
I Have Nothing,Whitney Houston
Mr. Wendal,Arrested Development
Have I Told You Lately,Rod Stewart
Saving Forever for You,Shanice
Ordinary World,Duran Duran
If I Had No Loot,Tony! Toni! Toné!
I'd Do Anything for Love (But I Won't Do That),Meat Loaf
Slam,Onyx
Looking Through Patient Eyes,P.M. Dawn
I'm Every Woman,Whitney Houston
Baby I'm Yours,Shai
Come Undone,Duran Duran
I Don't Wanna Fight,Tina Turner
I'd Die Without You,P.M. Dawn
"Whoot, There It Is",95 South
Hip Hop Hooray,Naughty by Nature
Another Sad Love Song,Toni Braxton
Will You Be There,Michael Jackson
Comforter,Shai
Good Enough,Bobby Brown
What's Up?,4 Non Blondes
All That She Wants,Ace of Base
7,Prince and The New Power Generation
Dre Day,Dr. Dre
One Last Cry,Brian McKnight
Just Kickin' It,Xscape
I Get Around,2Pac
Bed of Roses,Bon Jovi
Real Love,Mary J. Blige
Here We Go Again!,Portrait
Cryin',Aerosmith
Cat's in the Cradle,Ugly Kid Joe
What About Your Friends,TLC
I Got a Man,Positive K
Hey Mr. D.J.,Zhané
Insane in the Brain,Cypress Hill
Deeper and Deeper,Madonna
Rain,Madonna
The Right Kind of Love,Jeremy Jordan
Bad Boys,Inner Circle
That's What Love Can Do,Boy Krazy
Do You Believe in Us,Jon Secada
Angel,Jon Secada
Forever in Love,Kenny G
Again,Janet Jackson
Boom! Shake the Room,DJ Jazzy Jeff & The Fresh Prince
When She Cries,Restless Heart
Sweat (A La La La La Long),Inner Circle
It Was a Good Day,Ice Cube
More and More,Captain Hollywood Project
How Do You Talk to an Angel,The Heights
Rebirth of Slick (Cool Like Dat),Digable Planets
What Is Love,Haddaway
To Love Somebody,Michael Bolton
"Give It Up, Turn It Loose",En Vogue
Alright,Kris Kross featuring Super Cat
Check Yo Self,Ice Cube featuring Das EFX
Fields of Gold,Sting
Ooh Child,Dino
Faithful,Go West
Reason to Believe,Rod Stewart
Break It Down Again,Tears for Fears
Nothin' My Love Can't Fix,Joey Lawrence
Three Little Pigs,Green Jellÿ
Livin' on the Edge,Aerosmith
Hey Jealousy,Gin Blossoms
If I Ever Lose My Faith in You,Sting
Anniversary,Tony! Toni! Toné!
One Woman,Jade
Can't Get Enough of Your Love,Taylor Dayne
Two Steps Behind,Def Leppard
