Song Name,Artist Name
Love Yourself,Justin Bieber
Sorry,Justin Bieber
One Dance,Drake featuring Wizkid and Kyla
Work,Rihanna featuring Drake
Stressed Out,Twenty One Pilots
Panda,Desiigner
Hello,Adele
Don't Let Me Down,The Chainsmokers featuring Daya
Can't Stop the Feeling!,Justin Timberlake
Closer,The Chainsmokers featuring Halsey
Cheap Thrills,Sia featuring Sean Paul
7 Years,Lukas Graham
Needed Me,Rihanna
My House,Flo Rida
I Took a Pill in Ibiza,Mike Posner
Work from Home,Fifth Harmony featuring Ty Dolla Sign
This Is What You Came For,Calvin Harris featuring Rihanna
Cake by the Ocean,DNCE
"Me, Myself & I",G-Eazy and Bebe Rexha
Ride,Twenty One Pilots
Heathens,Twenty One Pilots
Pillowtalk,Zayn
Stitches,Shawn Mendes
Hotline Bling,Drake
Cold Water,Major Lazer featuring Justin Bieber and MØ
Send My Love (To Your New Lover),Adele
Roses,The Chainsmokers featuring Rozes
Treat You Better,Shawn Mendes
Too Good,Drake featuring Rihanna
Low Life,Future featuring The Weeknd
What Do You Mean?,Justin Bieber
The Hills,The Weeknd
Just Like Fire,P!nk
Broccoli,DRAM featuring Lil Yachty
Don't,Bryson Tiller
Dangerous Woman,Ariana Grande
Jumpman,Drake and Future
"I Hate U, I Love U",Gnash featuring Olivia O'Brien
Here,Alessia Cara
Same Old Love,Selena Gomez
Controlla,Drake
Like I'm Gonna Lose You,Meghan Trainor featuring John Legend
One Call Away,Charlie Puth
Let It Go,James Bay
No,Meghan Trainor
Never Forget You,Zara Larsson and MNEK
Let Me Love You,DJ Snake featuring Justin Bieber
Don't Mind,Kent Jones
H.O.L.Y.,Florida Georgia Line
We Don't Talk Anymore,Charlie Puth featuring Selena Gomez
Into You,Ariana Grande
Gold,Kiiara
Exchange,Bryson Tiller
679,Fetty Wap featuring Remy Boyz
Oui,Jeremih
Hands to Myself,Selena Gomez
2 Phones,Kevin Gates
Starboy,The Weeknd featuring Daft Punk
For Free,DJ Khaled featuring Drake
Never Be Like You,Flume featuring Kai
In the Night,The Weeknd
Me Too,Meghan Trainor
Ex's & Oh's,Elle King
Die a Happy Man,Thomas Rhett
White Iverson,Post Malone
Close,Nick Jonas featuring Tove Lo
Unsteady,X Ambassadors
Sucker for Pain,"Lil Wayne, Wiz Khalifa and Imagine Dragons with Logic and Ty Dolla Sign featuring X Ambassadors"
Down in the DM,Yo Gotti featuring Nicki Minaj
Luv,Tory Lanez
Sorry,Beyoncé
Can't Feel My Face,The Weeknd
Hymn for the Weekend,Coldplay
Say It,Tory Lanez
Antidote,Travis Scott
Lost Boy,Ruth B
Side to Side,Ariana Grande featuring Nicki Minaj
"Sit Still, Look Pretty",Daya
Wildest Dreams,Taylor Swift
Middle,DJ Snake featuring Bipolar Sunshine
On My Mind,Ellie Goulding
Pop Style,Drake featuring Jay-Z and Kanye West
When We Were Young,Adele
Hide Away,Daya
Lean On,Major Lazer and DJ Snake featuring MØ
I Know What You Did Last Summer,Shawn Mendes and Camila Cabello
All the Way Up,Fat Joe and Remy Ma featuring French Montana and Infared
Watch Me,Silentó
Back to Sleep,Chris Brown
No Limit,Usher featuring Young Thug
Cut It,O.T. Genasis featuring Young Dolph
Really Really,Kevin Gates
All In My Head (Flex),Fifth Harmony featuring Fetty Wap
Starving,Hailee Steinfeld and Grey featuring Zedd
Adventure of a Lifetime,Coldplay
Humble and Kind,Tim McGraw
Wicked,Future
Tiimmy Turner,Desiigner
See You Again,Wiz Khalifa featuring Charlie Puth
Perfect,One Direction
