Song Name,Artist Name
Breathe,Faith Hill
Smooth,Santana featuring Rob Thomas
Maria Maria,Santana featuring The Product G&B
I Wanna Know,Joe
Everything You Want,Vertical Horizon
Say My Name,Destiny's Child
I Knew I Loved You,Savage Garden
Amazed,Lonestar
Bent,Matchbox Twenty
He Wasn't Man Enough,Toni Braxton
Higher,Creed
Try Again,Aaliyah
"Jumpin', Jumpin'",Destiny's Child
Thong Song,Sisqó
Kryptonite,3 Doors Down
There You Go,Pink
Music,Madonna
Doesn't Really Matter,Janet Jackson
What a Girl Wants,Christina Aguilera
Back at One,Brian McKnight
Bye Bye Bye,NSYNC
You Sang to Me,Marc Anthony
I Need to Know,Marc Anthony
Get It On Tonite,Montell Jordan
Incomplete,Sisqó
I Try,Macy Gray
It's Gonna Be Me,NSYNC
That's the Way It Is,Celine Dion
Country Grammar (Hot Shit),Nelly
Bring It All to Me,Blaque
Show Me the Meaning of Being Lonely,Backstreet Boys
Hot Boyz,"Missy Elliott featuring Nas, Eve and Q-Tip"
Back Here,BBMak
It Feels So Good,Sonique
Absolutely (Story of a Girl),Nine Days
With Arms Wide Open,Creed
Be with You,Enrique Iglesias
Come On Over Baby (All I Want Is You),Christina Aguilera
No More,Ruff Endz
All the Small Things,Blink-182
The Way You Love Me,Faith Hill
I Turn to You,Christina Aguilera
Never Let You Go,Third Eye Blind
I Need You,LeAnn Rimes
Thank God I Found You,Mariah Carey featuring Joe and 98 Degrees
Let's Get Married,Jagged Edge
My Love Is Your Love,Whitney Houston
Then the Morning Comes,Smash Mouth
Blue (Da Ba Dee),Eiffel 65
Desert Rose,Sting featuring Cheb Mami
The Real Slim Shady,Eminem
Most Girls,Pink
Wifey,Next
Wonderful,Everclear
Oops!... I Did It Again,Britney Spears
I Wanna Love You Forever,Jessica Simpson
Give Me Just One Night (Una Noche),98 Degrees
Take a Picture,Filter
Otherside,Red Hot Chili Peppers
Big Pimpin',Jay-Z featuring UGK
Purest of Pain (A Puro Dolor),Son by Four
He Can't Love U,Jagged Edge
Separated,Avant
I Wish,Carl Thomas
U Know What's Up,Donell Jones
Faded,soulDecision featuring Thrust
Only God Knows Why,Kid Rock
Shake Ya Ass,Mystikal
Bag Lady,Erykah Badu
Meet Virginia,Train
Party Up (Up in Here),DMX
Case of the Ex (Whatcha Gonna Do),Mýa
Forgot About Dre,Dr. Dre featuring Eminem
That's the Way,Jo Dee Messina
Swear It Again,Westlife
The Next Episode,Dr. Dre featuring Snoop Dogg
From the Bottom of My Broken Heart,Britney Spears
Crash and Burn,Savage Garden
Yes!,Chad Brock
The Best Day,George Strait
Where I Wanna Be,Donell Jones
How Do You Like Me Now?!,Toby Keith
My Best Friend,Tim McGraw
Broadway,Goo Goo Dolls
What'chu Like,Da Brat featuring Tyrese
Don't Think I'm Not,Kandi
I Hope You Dance,Lee Ann Womack with Sons of the Desert
Better Off Alone,Alice Deejay
Dance with Me,Debelah Morgan
What About Now,Lonestar
I Like It,Sammie
24/7,Kevon Edmonds
Girl on TV,LFO
Bounce with Me,Lil' Bow Wow featuring Xscape
Cowboy Take Me Away,Dixie Chicks
I Don't Wanna,Aaliyah
Independent Women Part I,Destiny's Child
Gotta Tell You,Samantha Mumba
Waiting for Tonight,Jennifer Lopez
Shackles (Praise You),Mary Mary
