Song Name,Artist Name
Macarena (Bayside Boys Mix),Los del Río
One Sweet Day,Mariah Carey and Boyz II Men
Because You Loved Me,Celine Dion
Nobody Knows,The Tony Rich Project
Always Be My Baby,Mariah Carey
Give Me One Reason,Tracy Chapman
Tha Crossroads,Bone Thugs-n-Harmony
I Love You Always Forever,Donna Lewis
You're Makin' Me High / Let It Flow,Toni Braxton
Twisted,Keith Sweat
C'mon N' Ride It (The Train),Quad City DJ's
Missing,Everything but the Girl
Ironic,Alanis Morissette
Exhale (Shoop Shoop),Whitney Houston
Follow You Down / Til I Hear It from You,Gin Blossoms
Sittin' Up in My Room,Brandy
How Do U Want It / California Love,2Pac featuring K-Ci and JoJo / 2Pac featuring Dr. Dre and Roger Troutman
It's All Coming Back to Me Now,Celine Dion
Change the World,Eric Clapton
Hey Lover,LL Cool J featuring Boyz II Men
Loungin,LL Cool J
Insensitive,Jann Arden
Be My Lover,La Bouche
Name,Goo Goo Dolls
Who Will Save Your Soul,Jewel
Where Do You Go,No Mercy
I Can't Sleep Baby (If I),R. Kelly
Counting Blue Cars,Dishwalla
You Learn / You Oughta Know,Alanis Morissette
One of Us,Joan Osborne
Wonder,Natalie Merchant
Not Gon' Cry,Mary J. Blige
Gangsta's Paradise,Coolio featuring L.V.
Only You,112 featuring The Notorious B.I.G.
Down Low (Nobody Has to Know),R. Kelly featuring Ronald Isley
You're the One,SWV
Sweet Dreams,La Bouche
Before You Walk Out of My Life / Like This and Like That,Monica
Breakfast at Tiffany's,Deep Blue Something
"1, 2, 3, 4 (Sumpin' New)",Coolio
The World I Know,Collective Soul
No Diggity,Blackstreet featuring Dr. Dre
Anything,3T
1979,The Smashing Pumpkins
Diggin' on You,TLC
Why I Love You So Much / Ain't Nobody,Monica
Kissin' You,Total
Count on Me,Whitney Houston and CeCe Winans
Fantasy,Mariah Carey
Time,Hootie & the Blowfish
You'll See,Madonna
Last Night,Az Yet
Mouth,Merril Bainbridge
"The Earth, the Sun, the Rain",Color Me Badd
All the Things (Your Man Won't Do),Joe
Wonderwall,Oasis
Woo Hah!! Got You All in Check / Everything Remains Raw,Busta Rhymes
Tell Me,Groove Theory
Elevators (Me & You),Outkast
Hook,Blues Traveler
Doin' It,LL Cool J
Fastlove,George Michael
"Touch Me, Tease Me",Case featuring Foxy Brown
Tonite's tha Night,Kris Kross
Children,Robert Miles
Theme from Mission: Impossible,Adam Clayton and Larry Mullen
Closer to Free,BoDeans
Just a Girl,No Doubt
If Your Girl Only Knew,Aaliyah
Lady,D'Angelo
Key West Intermezzo (I Saw You First),John Mellencamp
Pony,Ginuwine
Nobody,Keith Sweat featuring Athena Cage
Old Man & Me (When I Get to Heaven),Hootie & the Blowfish
If It Makes You Happy,Sheryl Crow
As I Lay Me Down,Sophie B. Hawkins
"Keep On, Keepin' On",MC Lyte featuring Xscape
Jealousy,Natalie Merchant
I Want to Come Over,Melissa Etheridge
Who Do U Love,Deborah Cox
Un-Break My Heart,Toni Braxton
This Is Your Night,Amber
You Remind Me of Something,R. Kelly
Runaway,Janet Jackson
Set U Free,Planet Soul
Hit Me Off,New Edition
No One Else,Total
My Boo,Ghost Town DJ's
Get Money,Junior M.A.F.I.A. featuring The Notorious B.I.G.
That Girl,Maxi Priest featuring Shaggy
Po Pimp,Do or Die featuring Twista
Until It Sleeps,Metallica
Hay,Crucial Conflict
Beautiful Life,Ace of Base
Back for Good,Take That
I Got Id / Long Road,Pearl Jam
Soon as I Get Home,Faith Evans
Macarena,Los del Río
Only Wanna Be with You,Hootie & the Blowfish
Don't Cry,Seal
