Song Name,Artist Name
(Everything I Do) I Do It for You,Bryan Adams
I Wanna Sex You Up,Color Me Badd
Gonna Make You Sweat (Everybody Dance Now),C+C Music Factory
Rush Rush,Paula Abdul
One More Try,Timmy T
Unbelievable,EMF
More Than Words,Extreme
I Like the Way (The Kissing Game),Hi-Five
The First Time,Surface
Baby Baby,Amy Grant
Motownphilly,Boyz II Men
Because I Love You (The Postman Song),Stevie B
Someday,Mariah Carey
High Enough,Damn Yankees
From a Distance,Bette Midler
All the Man That I Need,Whitney Houston
"Right Here, Right Now",Jesus Jones
I Adore Mi Amor,Color Me Badd
Love Will Never Do (Without You),Janet Jackson
Good Vibrations,Marky Mark and the Funky Bunch featuring Loleatta Holloway
Justify My Love,Madonna
Emotions,Mariah Carey
Joyride,Roxette
Romantic,Karyn White
Hold You Tight,Tara Kemp
I Don't Wanna Cry,Mariah Carey
You're in Love,Wilson Phillips
Every Heartbeat,Amy Grant
Sensitivity,Ralph Tresvant
Touch Me (All Night Long),Cathy Dennis
I've Been Thinking About You,Londonbeat
Do Anything,Natural Selection
Losing My Religion,R.E.M.
Coming Out of the Dark,Gloria Estefan
It Ain't Over 'til It's Over,Lenny Kravitz
Here We Go,C+C Music Factory
Where Does My Heart Beat Now,Celine Dion
Summertime,DJ Jazzy Jeff & The Fresh Prince
Wind of Change,Scorpions
P.A.S.S.I.O.N.,Rythm Syndicate
The Promise of a New Day,Paula Abdul
I'm Your Baby Tonight,Whitney Houston
Love of a Lifetime,FireHouse
Fading Like a Flower (Every Time You Leave),Roxette
This House,Tracie Spencer
Hole Hearted,Extreme
Power of Love/Love Power,Luther Vandross
Impulsive,Wilson Phillips
Love Is a Wonderful Thing,Michael Bolton
Rhythm of My Heart,Rod Stewart
Things That Make You Go Hmmm...,C+C Music Factory
I Touch Myself,Divinyls
Tom's Diner,DNA featuring Suzanne Vega
Iesha,Another Bad Creation
Something to Talk About,Bonnie Raitt
After the Rain,Nelson
Play That Funky Music,Vanilla Ice
Temptation,Corina
Can't Stop This Thing We Started,Bryan Adams
I Can't Wait Another Minute,Hi-Five
3 a.m. Eternal,The KLF
"Time, Love and Tenderness",Michael Bolton
Sadeness (Part I),Enigma
Around the Way Girl,LL Cool J
I'll Be There,The Escape Club
Cream,Prince and The New Power Generation
Now That We Found Love,Heavy D & the Boyz
Show Me the Way,Styx
Love Takes Time,Mariah Carey
Cry for Help,Rick Astley
The Way You Do the Things You Do,UB40
Here I Am (Come and Take Me),UB40
Signs,Tesla
Too Many Walls,Cathy Dennis
Crazy,Seal
I'll Give All My Love to You,Keith Sweat
Place in this World,Michael W. Smith
Something to Believe In,Poison
Wicked Game,Chris Isaak
Get Here,Oleta Adams
Round and Round,Tevin Campbell
Silent Lucidity,Queensrÿche
I'm Not in Love,Will to Power
Piece of My Heart,Tara Kemp
Real Real Real,Jesus Jones
Everybody Plays the Fool,Aaron Neville
Just Another Dream,Cathy Dennis
Strike It Up,Black Box
Rico Suave,Gerardo
Disappear,INXS
Groove Is in the Heart,Deee-Lite
All This Time,Sting
The One and Only,Chesney Hawkes
O.P.P.,Naughty by Nature
Freedom! '90,George Michael
I Saw Red,Warrant
Miles Away,Winger
Do You Want Me,Salt-n-Pepa
The Motown Song,Rod Stewart
Shiny Happy People,R.E.M.
