Song Name,Artist Name
Rolling in the Deep,Adele
Party Rock Anthem,LMFAO featuring Lauren Bennett and GoonRock
Firework,Katy Perry
E.T.,Katy Perry featuring Kanye West
Give Me Everything,"Pitbull featuring Ne-Yo, Afrojack and Nayer"
Grenade,Bruno Mars
Fuck You (Forget You),CeeLo Green
Super Bass,Nicki Minaj
Moves like Jagger,Maroon 5 featuring Christina Aguilera
Just Can't Get Enough,The Black Eyed Peas
On the Floor,Jennifer Lopez featuring Pitbull
S&M,Rihanna
Pumped Up Kicks,Foster the People
Last Friday Night (T.G.I.F.),Katy Perry
Just the Way You Are,Bruno Mars
Tonight (I'm Lovin' You),Enrique Iglesias featuring Ludacris and DJ Frank E
Raise Your Glass,Pink
Born This Way,Lady Gaga
Fuckin' Perfect,Pink
What's My Name?,Rihanna featuring Drake
Look at Me Now,Chris Brown featuring Lil Wayne and Busta Rhymes
Down on Me,Jeremih featuring 50 Cent
How to Love,Lil Wayne
Someone Like You,Adele
Good Life,OneRepublic
The Lazy Song,Bruno Mars
Till the World Ends,Britney Spears
The Show Goes On,Lupe Fiasco
The Edge of Glory,Lady Gaga
We R Who We R,Kesha
Black and Yellow,Wiz Khalifa
Tonight Tonight,Hot Chelle Rae
Blow,Kesha
Lighters,Bad Meets Evil featuring Bruno Mars
If I Die Young,The Band Perry
Stereo Hearts,Gym Class Heroes featuring Adam Levine
The Time (Dirty Bit),The Black Eyed Peas
Coming Home,Diddy – Dirty Money featuring Skylar Grey
Hey Baby (Drop It to the Floor),Pitbull featuring T-Pain
Only Girl (In the World),Rihanna
6 Foot 7 Foot,Lil Wayne featuring Cory Gunz
Just a Kiss,Lady Antebellum
Dirt Road Anthem,Jason Aldean
Dynamite,Taio Cruz
No Hands,Waka Flocka Flame featuring Wale and Roscoe Dash
I Wanna Go,Britney Spears
I'm on One,"DJ Khaled featuring Drake, Rick Ross and Lil Wayne"
You Make Me Feel...,Cobra Starship featuring Sabi
Yeah 3x,Chris Brown
Moment 4 Life,Nicki Minaj featuring Drake
I Need a Doctor,Dr. Dre featuring Eminem and Skylar Grey
Just a Dream,Nelly
Motivation,Kelly Rowland featuring Lil Wayne
Stereo Love,Edward Maya featuring Vika Jigulina
Jar of Hearts,Christina Perri
Roll Up,Wiz Khalifa
Sexy and I Know It,LMFAO
Rocketeer,Far East Movement featuring Ryan Tedder
All of the Lights,Kanye West
Hold It Against Me,Britney Spears
More,Usher
What the Hell,Avril Lavigne
Written in the Stars,Tinie Tempah featuring Eric Turner
Bottoms Up,Trey Songz featuring Nicki Minaj
DJ Got Us Fallin' in Love,Usher featuring Pitbull
For the First Time,The Script
Honey Bee,Blake Shelton
Don't You Wanna Stay,Jason Aldean featuring Kelly Clarkson
We Found Love,Rihanna featuring Calvin Harris
Pretty Girl Rock,Keri Hilson
Yoü and I,Lady Gaga
Like a G6,Far East Movement featuring The Cataracs and Dev
Without You,David Guetta featuring Usher
Back to December,Taylor Swift
Teenage Dream,Katy Perry
Crazy Girl,Eli Young Band
Cheers (Drink to That),Rihanna
Who Says,Selena Gomez & the Scene
Barefoot Blue Jean Night,Jake Owen
Knee Deep,Zac Brown Band featuring Jimmy Buffett
Country Girl (Shake It for Me),Luke Bryan
Remind Me,Brad Paisley and Carrie Underwood
In the Dark,Dev
Backseat,New Boyz featuring The Cataracs and Dev
Headlines,Drake
Best Thing I Never Had,Beyoncé
Don't Wanna Go Home,Jason Derulo
Where Them Girls At,David Guetta featuring Flo Rida and Nicki Minaj
She Ain't You,Chris Brown
Take a Back Road,Rodney Atkins
Please Don't Go,Mike Posner
Sure Thing,Miguel
Price Tag,Jessie J featuring B.o.B
God Gave Me You,Blake Shelton
She Will,Lil Wayne featuring Drake
Are You Gonna Kiss Me or Not,Thompson Square
Animal,Neon Trees
You and Tequila,Kenny Chesney featuring Grace Potter
Colder Weather,Zac Brown Band
My Last,Big Sean featuring Chris Brown
