Song Name,Artist Name
Blinding Lights,The Weeknd
Circles,Post Malone
The Box,Roddy Ricch
Don't Start Now,Dua Lipa
Rockstar,DaBaby featuring Roddy Ricch
Adore You,Harry Styles
Life Is Good,Future featuring Drake
Memories,Maroon 5
The Bones,Maren Morris
Someone You Loved,Lewis Capaldi
Say So,Doja Cat
I Hope,Gabby Barrett featuring Charlie Puth
Whats Poppin,"Jack Harlow featuring DaBaby, Tory Lanez and Lil Wayne"
Dance Monkey,Tones and I
Savage,Megan Thee Stallion featuring Beyoncé
Roxanne,Arizona Zervas
Intentions,Justin Bieber featuring Quavo
Everything I Wanted,Billie Eilish
Roses (Imanbek remix),Saint Jhn
Watermelon Sugar,Harry Styles
Before You Go,Lewis Capaldi
Falling,Trevor Daniel
"10,000 Hours",Dan + Shay and Justin Bieber
WAP,Cardi B featuring Megan Thee Stallion
Ballin',Mustard and Roddy Ricch
Hot Girl Bummer,Blackbear
Blueberry Faygo,Lil Mosey
Heartless,The Weeknd
Bop,DaBaby
Lose You to Love Me,Selena Gomez
Good as Hell,Lizzo
Toosie Slide,Drake
Break My Heart,Dua Lipa
Chasin' You,Morgan Wallen
Savage Love (Laxed – Siren Beat),Jawsh 685 and Jason Derulo
No Guidance,Chris Brown featuring Drake
My Oh My,Camila Cabello featuring DaBaby
Dynamite,BTS
Go Crazy,Chris Brown and Young Thug
High Fashion,Roddy Ricch featuring Mustard
Laugh Now Cry Later,Drake featuring Lil Durk
Woah,Lil Baby
Death Bed,Powfu featuring Beabadoobee
Señorita,Shawn Mendes and Camila Cabello
Highest in the Room,Travis Scott
Bad Guy,Billie Eilish
Mood,24kGoldn featuring Iann Dior
Rain on Me,Lady Gaga and Ariana Grande
For the Night,Pop Smoke featuring Lil Baby and DaBaby
Ritmo (Bad Boys for Life),Black Eyed Peas and J Balvin
Heart on Ice,Rod Wave
Nobody but You,Blake Shelton and Gwen Stefani
Trampoline,Shaed
Come & Go,Juice Wrld and Marshmello
Truth Hurts,Lizzo
If the World Was Ending,JP Saxe featuring Julia Michaels
We Paid,Lil Baby and 42 Dugg
Yummy,Justin Bieber
One Man Band,Old Dominion
Got What I Got,Jason Aldean
Sunday Best,Surfaces
Godzilla,Eminem featuring Juice Wrld
Bandit,Juice Wrld and YoungBoy Never Broke Again
Party Girl,StaySolidRocky
Die from a Broken Heart,Maddie & Tae
Popstar,DJ Khaled featuring Drake
All I Want for Christmas Is You,Mariah Carey
One of Them Girls,Lee Brice
Hard to Forget,Sam Hunt
One Margarita,Luke Bryan
Panini,Lil Nas X
Hot,Young Thug featuring Gunna
I Hope You're Happy Now,Carly Pearce and Lee Brice
Emotionally Scarred,Lil Baby
Suicidal,YNW Melly featuring Juice Wrld
The Bigger Picture,Lil Baby
Only Human,Jonas Brothers
The Woo,Pop Smoke featuring 50 Cent and Roddy Ricch
Sum 2 Prove,Lil Baby
Stuck with U,Ariana Grande and Justin Bieber
Mood Swings,Pop Smoke featuring Lil Tjay
You Should Be Sad,Halsey
Dior,Pop Smoke
Supalonely,Benee featuring Gus Dapperton
Even Though I'm Leaving,Luke Combs
The Scotts,The Scotts (Travis Scott and Kid Cudi)
Juicy,Doja Cat and Tyga
Be Like That,"Kane Brown, Swae Lee and Khalid"
Homesick,Kane Brown
Rags2Riches,Rod Wave featuring ATR Son Son
Bluebird,Miranda Lambert
Wishing Well,Juice Wrld
Does to Me,Luke Combs featuring Eric Church
Pussy Fairy (OTW),Jhené Aiko
ILY (I Love You Baby),Surf Mesa featuring Emilee
More Than My Hometown,Morgan Wallen
Lovin' on You,Luke Combs
Said Sum,Moneybagg Yo
Slide,H.E.R. featuring YG
Walk Em Down,NLE Choppa featuring Roddy Ricch
