song_title,artist,tempo,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,chroma_mean_1,chroma_mean_2,chroma_mean_3,chroma_mean_4,chroma_mean_5,chroma_mean_6,chroma_mean_7,chroma_mean_8,chroma_mean_9,chroma_mean_10,chroma_mean_11,chroma_mean_12,chroma_std_1,chroma_std_2,chroma_std_3,chroma_std_4,chroma_std_5,chroma_std_6,chroma_std_7,chroma_std_8,chroma_std_9,chroma_std_10,chroma_std_11,chroma_std_12,spectral_centroid
Die with a Smile,Lady Gaga and Bruno Mars,161.4990234375,-102.4158,95.8374,-14.0638,6.9454,-4.3467,-0.1996,-4.6634,0.9702,-4.0965,5.5907,0.3977,3.1218,-4.4862,0.2398,0.4646,0.3019,0.3035,0.342,0.2327,0.3681,0.2354,0.4278,0.3795,0.2321,0.2905,0.2035,0.3689,0.276,0.2876,0.3071,0.2181,0.3506,0.2031,0.3343,0.3311,0.2212,0.2971,2202.7598
Luther,Kendrick Lamar and SZA,135.99917763157896,-112.4269,98.2239,27.1808,17.0024,14.1756,10.8386,3.5463,3.9606,-1.3066,7.4879,0.7791,3.6598,-2.6601,0.3077,0.3882,0.4529,0.3338,0.3761,0.3491,0.4543,0.3891,0.4234,0.5165,0.414,0.4073,0.2555,0.297,0.3456,0.2428,0.312,0.263,0.3238,0.3008,0.2984,0.3453,0.2873,0.3245,2049.9736
A Bar Song (Tipsy),Shaboozey,80.74951171875,-47.8221,84.0892,-5.3297,22.1959,9.7453,8.0962,1.8407,9.7573,-4.3131,7.194,-2.0885,2.6371,2.0473,0.3181,0.4353,0.3056,0.3209,0.4388,0.3648,0.4397,0.3898,0.535,0.6354,0.4246,0.3683,0.2382,0.3169,0.2419,0.234,0.3134,0.2528,0.3253,0.246,0.2849,0.3266,0.2409,0.2764,2438.9565
Lose Control,Teddy Swims,161.4990234375,-64.9456,88.3336,15.059,23.7193,-3.1396,16.3892,4.4325,5.2111,2.83,1.4266,0.3669,4.1122,-2.875,0.3236,0.4585,0.319,0.2619,0.2934,0.3058,0.3533,0.2763,0.3674,0.4562,0.321,0.3214,0.2704,0.359,0.288,0.268,0.2834,0.2907,0.3469,0.2657,0.3088,0.3639,0.2698,0.3177,2272.0115
Birds of a Feather,Billie Eilish,103.359375,-114.278,103.7055,24.337,30.3557,7.281,14.41,2.7251,0.8443,2.1508,4.196,4.8726,3.8828,-8.0007,0.3571,0.4627,0.4897,0.3333,0.4138,0.3315,0.3713,0.35,0.3414,0.4418,0.4161,0.3892,0.2666,0.3066,0.3367,0.244,0.3513,0.2809,0.3313,0.3155,0.2988,0.3374,0.3242,0.3254,1790.4486
Beautiful Things,Benson Boone,107.666015625,-100.7788,89.1375,12.8892,26.6581,11.4382,11.2377,-4.8404,4.3724,-0.2846,-0.2649,1.5351,3.4563,-3.1603,0.3882,0.3191,0.4037,0.2981,0.2982,0.4172,0.3027,0.3087,0.2388,0.2949,0.3345,0.2793,0.3646,0.2665,0.3515,0.2858,0.2571,0.3594,0.2621,0.3253,0.2505,0.2818,0.3414,0.2456,2227.9803
Ordinary,Alex Warren,112.34714673913044,-77.4409,111.9045,6.1938,18.9669,8.4212,6.1448,-7.177,-1.4633,-5.7732,-0.5968,0.4128,3.5949,-0.8358,0.2509,0.339,0.4485,0.3349,0.4552,0.3495,0.4124,0.3587,0.3125,0.4129,0.3017,0.3934,0.2186,0.2798,0.3522,0.2391,0.3568,0.2628,0.3255,0.3081,0.2353,0.3468,0.2216,0.3375,1787.7047
I Had Some Help,Post Malone featuring Morgan Wallen,129.19921875,-53.1648,87.4966,4.0611,22.255,5.703,11.2263,-0.962,10.9493,1.7801,9.5294,1.9777,6.9375,2.949,0.4779,0.3245,0.4367,0.326,0.39,0.3201,0.3995,0.5494,0.363,0.3928,0.2929,0.4299,0.3286,0.2143,0.3245,0.2365,0.3034,0.2512,0.2578,0.325,0.227,0.3058,0.2046,0.2891,2382.8774
APT.,Rosé and Bruno Mars,151.99908088235293,-29.3456,73.4761,-3.7368,23.1995,1.4543,11.7719,6.8505,8.5373,6.4916,9.9931,-0.0702,5.2466,-1.2502,0.4288,0.3455,0.424,0.4242,0.3555,0.3969,0.4131,0.5344,0.4506,0.4587,0.5389,0.4421,0.304,0.2395,0.2853,0.3048,0.2506,0.2864,0.267,0.3357,0.2961,0.2961,0.3348,0.2824,2653.2817
Pink Pony Club,Chappell Roan,107.666015625,-94.2315,99.092,-2.7946,20.1553,3.653,4.2707,-3.8677,1.5184,-8.4657,6.8062,-7.934,2.4966,-2.6942,0.2744,0.4018,0.2649,0.3278,0.2194,0.2951,0.3849,0.2546,0.3563,0.2565,0.3732,0.3073,0.2411,0.3577,0.2374,0.3444,0.218,0.2871,0.3444,0.2222,0.3468,0.238,0.3513,0.3111,2137.9974
