song_title,artist,tempo,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,chroma_mean_1,chroma_mean_2,chroma_mean_3,chroma_mean_4,chroma_mean_5,chroma_mean_6,chroma_mean_7,chroma_mean_8,chroma_mean_9,chroma_mean_10,chroma_mean_11,chroma_mean_12,chroma_std_1,chroma_std_2,chroma_std_3,chroma_std_4,chroma_std_5,chroma_std_6,chroma_std_7,chroma_std_8,chroma_std_9,chroma_std_10,chroma_std_11,chroma_std_12,spectral_centroid
(Everything I Do) I Do It for You,Bryan Adams,129.19921875,-80.8481,99.9933,1.7446,17.7613,-0.107,7.8682,-3.9856,1.3717,-3.831,0.1488,-3.996,-3.9515,-5.664,0.2935,0.4672,0.2674,0.3621,0.2287,0.2921,0.2755,0.2575,0.4584,0.2757,0.2915,0.1806,0.2469,0.3754,0.1951,0.3428,0.2148,0.3,0.3078,0.2188,0.3691,0.2279,0.3159,0.1801,2201.5136
I Wanna Sex You Up,Color Me Badd,99.38401442307692,-100.161,63.5876,22.6898,19.4762,4.0049,9.7407,-0.3735,9.7045,3.6643,7.9599,0.7965,5.0014,-0.677,0.4652,0.4675,0.4416,0.4235,0.4893,0.4582,0.5467,0.4553,0.5094,0.6058,0.5003,0.5048,0.2893,0.2949,0.3009,0.263,0.2919,0.2552,0.2898,0.2477,0.2761,0.3136,0.2641,0.298,3107.7478
Gonna Make You Sweat (Everybody Dance Now),C+C Music Factory,112.34714673913044,-111.6821,47.8341,3.4261,22.0966,3.4935,18.5006,3.8762,11.7113,-0.7732,6.3632,0.0254,7.9112,4.0898,0.4111,0.3785,0.4204,0.403,0.4735,0.4672,0.3795,0.4386,0.5353,0.5666,0.5804,0.4552,0.2817,0.2791,0.298,0.2798,0.2848,0.3033,0.2568,0.2805,0.3213,0.2956,0.3351,0.2863,3260.9031
Rush Rush,Paula Abdul,172.265625,-109.0323,70.0642,26.7501,23.9119,0.0579,8.8326,8.3751,-4.0667,1.0009,5.0452,-8.2654,3.7849,-1.2263,0.311,0.3374,0.2923,0.4238,0.4689,0.3311,0.3995,0.2762,0.3326,0.2447,0.3031,0.4556,0.2501,0.3153,0.2467,0.3114,0.3514,0.2588,0.3417,0.2466,0.3124,0.2439,0.2414,0.3413,3026.0141
One More Try,Timmy T,99.38401442307692,-98.0033,72.6667,8.3461,18.4815,-0.0114,7.7833,-6.6816,12.6528,-7.9071,6.9498,-1.2499,2.5276,-2.7142,0.3131,0.4491,0.2925,0.2944,0.3669,0.2679,0.3619,0.3136,0.4977,0.5367,0.3573,0.3809,0.2391,0.3484,0.277,0.2547,0.309,0.2019,0.3068,0.2512,0.3271,0.3447,0.2492,0.335,2817.6328
Unbelievable,EMF,103.359375,12.1329,38.7874,1.7425,26.5531,5.0643,20.7873,2.1034,15.5497,2.4638,9.9107,5.2779,7.9838,0.5071,0.5476,0.5292,0.4786,0.521,0.4409,0.4464,0.5173,0.5472,0.5969,0.5545,0.5279,0.5467,0.2596,0.2793,0.2345,0.2559,0.232,0.2615,0.2677,0.269,0.2862,0.2743,0.271,0.278,3601.5405
More Than Words,Extreme,92.28515625,-225.2936,90.8591,21.8536,24.166,-1.1062,8.7825,-7.1188,7.5597,-7.4663,-1.2339,0.9871,-2.4102,-5.2143,0.2395,0.3249,0.1892,0.2114,0.1555,0.2755,0.4437,0.2803,0.34,0.2834,0.3431,0.3172,0.2461,0.3506,0.2116,0.3004,0.2001,0.2653,0.3768,0.2483,0.3572,0.2706,0.3207,0.3144,2090.092
I Like the Way (The Kissing Game),Hi-Five,103.359375,-176.7457,133.9379,-18.7376,21.0059,-3.6324,7.8662,-4.0349,3.8164,-4.6831,4.1793,-5.4123,1.303,-3.2225,0.3355,0.3906,0.3535,0.516,0.4178,0.4123,0.354,0.3393,0.5439,0.374,0.3898,0.3186,0.2568,0.2945,0.2697,0.3254,0.2878,0.3073,0.2828,0.2411,0.3522,0.2488,0.2955,0.2427,1611.2659
The First Time,Surface,63.02400914634146,-151.2863,106.3596,5.9995,29.8364,8.613,8.3996,-1.2316,3.5814,-6.2877,3.8333,-2.332,1.3299,-2.8629,0.4557,0.3465,0.3014,0.2667,0.3284,0.5147,0.3007,0.299,0.3295,0.3935,0.3701,0.3135,0.3278,0.2859,0.2843,0.2544,0.243,0.3553,0.2353,0.267,0.2803,0.3148,0.3137,0.25,1936.662
Baby Baby,Amy Grant,99.38401442307692,-31.5025,67.2017,4.7352,17.2724,-7.3443,-1.0143,-2.4475,2.7372,0.2437,3.7892,-7.2133,1.4955,-4.1718,0.3668,0.4329,0.3298,0.4348,0.2728,0.3505,0.4188,0.3481,0.4615,0.3324,0.434,0.3291,0.2725,0.3256,0.2324,0.3404,0.2136,0.2873,0.3348,0.2465,0.3259,0.2373,0.3176,0.258,3011.6752
Motownphilly,Boyz II Men,112.34714673913044,-45.93,41.5581,13.0403,29.8241,8.9698,8.8975,1.4053,7.7648,0.1589,5.9228,0.5521,4.7523,-0.8988,0.5031,0.5041,0.54,0.435,0.4593,0.476,0.4354,0.4472,0.4951,0.5651,0.4659,0.4647,0.3063,0.2861,0.3129,0.2495,0.2772,0.2871,0.2514,0.2877,0.283,0.3001,0.2932,0.2828,3502.2413
Because I Love You (The Postman Song),Stevie B,64.599609375,-136.001,80.9993,40.132,21.4092,1.5346,8.1094,0.2773,3.4749,-4.4122,3.6445,-3.7269,1.2938,-3.4251,0.4419,0.4905,0.2507,0.2564,0.2125,0.3387,0.303,0.2378,0.3124,0.2861,0.3607,0.2599,0.323,0.3476,0.2181,0.3044,0.1941,0.3175,0.3037,0.225,0.2794,0.2529,0.3463,0.1998,2707.8027
Someday,Mariah Carey,107.666015625,-76.6787,66.3542,5.6638,6.5913,2.0523,-1.8624,2.2544,1.4013,-3.7207,3.693,-7.7747,0.7635,-3.6406,0.4138,0.4678,0.3082,0.3681,0.3864,0.2837,0.3627,0.3118,0.4085,0.3446,0.3371,0.4741,0.2971,0.3409,0.2502,0.3027,0.315,0.2408,0.3169,0.258,0.3212,0.2966,0.2668,0.3397,3211.3616
High Enough,Damn Yankees,80.74951171875,-58.8464,80.4759,-18.2861,29.7347,-2.4114,6.2923,-4.0539,8.8893,2.2086,1.7789,-2.7625,0.0947,-6.8213,0.2739,0.3657,0.3912,0.3092,0.4178,0.3119,0.4085,0.2907,0.325,0.4297,0.2956,0.4078,0.2189,0.2896,0.3289,0.2256,0.3431,0.2394,0.3298,0.2606,0.2673,0.3344,0.2156,0.3375,2535.1444
From a Distance,Bette Midler,135.99917763157896,-284.9534,106.4915,-1.693,16.7185,-1.0828,1.1364,1.3718,-1.8239,-5.7868,3.0444,-9.6175,-1.387,-6.2167,0.2862,0.2542,0.4442,0.2243,0.2249,0.1812,0.3365,0.4884,0.2659,0.3299,0.2356,0.3407,0.3055,0.2206,0.3557,0.2012,0.274,0.2158,0.2911,0.3677,0.2234,0.3347,0.2297,0.3257,2004.5883
All the Man That I Need,Whitney Houston,151.99908088235293,-94.9578,78.4456,-0.3568,23.2032,5.801,2.0452,4.4685,4.1219,-2.5309,7.5954,-7.5834,1.0171,-3.8889,0.3473,0.318,0.2411,0.2833,0.2636,0.3353,0.2705,0.3138,0.3946,0.2976,0.3187,0.286,0.3185,0.3159,0.2432,0.289,0.2582,0.3234,0.2669,0.2907,0.3417,0.2866,0.3198,0.277,2568.3323
"Right Here, Right Now",Jesus Jones,107.666015625,-93.5015,78.3006,6.6355,22.9445,10.5908,6.7168,-3.1201,5.6305,-4.7513,3.0583,-0.6041,-1.7627,-6.5974,0.2737,0.3788,0.6272,0.4171,0.3308,0.219,0.2942,0.3997,0.353,0.4203,0.2916,0.3041,0.2382,0.2541,0.3524,0.2638,0.3063,0.2016,0.2512,0.3342,0.2602,0.3219,0.2392,0.2803,2681.1699
I Adore Mi Amor,Color Me Badd,92.28515625,-201.7174,84.1177,25.7715,20.1903,3.3108,6.1002,-4.5461,11.6625,-6.9961,1.8279,0.4738,-3.3125,-3.6585,0.2893,0.3096,0.3926,0.5133,0.3902,0.4453,0.4157,0.4171,0.5056,0.4603,0.5654,0.3668,0.2431,0.256,0.2852,0.3338,0.2527,0.3074,0.2908,0.2657,0.3388,0.2805,0.3211,0.2509,2564.4811
