song_title,artist,tempo,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,chroma_mean_1,chroma_mean_2,chroma_mean_3,chroma_mean_4,chroma_mean_5,chroma_mean_6,chroma_mean_7,chroma_mean_8,chroma_mean_9,chroma_mean_10,chroma_mean_11,chroma_mean_12,chroma_std_1,chroma_std_2,chroma_std_3,chroma_std_4,chroma_std_5,chroma_std_6,chroma_std_7,chroma_std_8,chroma_std_9,chroma_std_10,chroma_std_11,chroma_std_12,spectral_centroid
Rolling in the Deep,Adele,103.359375,-86.2808,108.8452,-12.5224,34.8242,0.8273,17.8678,-0.2772,8.6678,1.8936,3.4427,-1.4587,1.4966,-0.0898,0.462,0.3276,0.2911,0.3112,0.2446,0.2865,0.3093,0.4279,0.3592,0.3065,0.3994,0.376,0.3627,0.2661,0.2591,0.3031,0.2566,0.2935,0.2716,0.3454,0.2935,0.2677,0.3469,0.2937,1991.0769
Party Rock Anthem,LMFAO featuring Lauren Bennett and GoonRock,129.19921875,-106.766,67.3282,10.5118,16.2494,5.6393,7.7342,-0.1807,5.2728,0.3374,7.7472,2.8736,5.6762,-0.3635,0.4008,0.3559,0.392,0.5508,0.5604,0.6772,0.5008,0.4581,0.5,0.4037,0.3921,0.337,0.2762,0.2522,0.2517,0.3027,0.2855,0.3384,0.3001,0.2895,0.3091,0.2681,0.2893,0.2428,2911.599
Firework,Katy Perry,123.046875,-46.0426,63.5583,-8.4684,17.3747,1.7546,4.9222,-0.2651,7.2919,-1.1927,7.5299,-2.5241,-2.0349,-3.2518,0.3901,0.2872,0.2979,0.4348,0.2832,0.3368,0.2498,0.3344,0.4017,0.3086,0.4616,0.3008,0.3403,0.2753,0.2585,0.3529,0.2293,0.3163,0.2264,0.2708,0.3472,0.2332,0.359,0.238,2987.0932
E.T.,Katy Perry featuring Kanye West,151.99908088235293,-36.2404,62.535,-6.1996,15.9902,5.4658,6.4253,2.1192,7.9095,-1.803,5.5144,-4.0916,2.8047,-2.0756,0.4557,0.3528,0.3127,0.3718,0.3885,0.6064,0.4393,0.4406,0.5349,0.4188,0.4034,0.3689,0.2962,0.2557,0.2324,0.2713,0.2416,0.3447,0.2582,0.2915,0.3329,0.276,0.2947,0.2607,2963.2457
Give Me Everything,"Pitbull featuring Ne-Yo, Afrojack and Nayer",129.19921875,-121.8891,71.185,-2.7201,23.3735,6.2696,5.7236,-3.4965,0.6464,-7.9768,1.1579,-5.8064,-1.5217,-2.9081,0.4277,0.3341,0.4237,0.5215,0.2857,0.2669,0.3018,0.5022,0.3788,0.3428,0.4148,0.3532,0.3412,0.257,0.2767,0.3477,0.2185,0.2624,0.2311,0.3375,0.2941,0.2771,0.3142,0.2678,2712.8476
Grenade,Bruno Mars,112.34714673913044,-133.7717,96.567,14.7265,26.9855,6.8096,11.6245,3.3805,5.795,2.1466,3.1881,-0.3426,1.2981,-1.0498,0.3741,0.348,0.4298,0.347,0.4193,0.5021,0.3531,0.3924,0.3655,0.4799,0.3925,0.319,0.312,0.2615,0.3203,0.2456,0.3079,0.3443,0.2606,0.3368,0.2711,0.335,0.2956,0.2608,1809.4941
Super Bass,Nicki Minaj,129.19921875,-69.3278,87.954,-4.761,19.3601,-3.922,6.7474,10.4665,2.5451,4.5921,6.8119,-1.4938,8.1911,1.7971,0.3499,0.4263,0.3624,0.4239,0.3768,0.4177,0.5891,0.3896,0.4183,0.3573,0.3929,0.4816,0.2532,0.3119,0.2662,0.308,0.2891,0.2826,0.3451,0.2474,0.3135,0.2767,0.2649,0.3403,2301.5058
Moves like Jagger,Maroon 5 featuring Christina Aguilera,129.19921875,-55.9529,74.1223,-6.2201,26.6644,1.998,7.3499,4.8202,8.3872,-2.1626,5.4685,1.484,3.4724,0.7715,0.4168,0.41,0.4719,0.3413,0.3885,0.3456,0.4293,0.3382,0.3809,0.4455,0.4323,0.5557,0.2989,0.287,0.3444,0.2628,0.3274,0.2684,0.3138,0.2573,0.303,0.3386,0.2924,0.3493,2528.0815
Just Can't Get Enough,The Black Eyed Peas,129.19921875,-102.0426,80.9461,-8.3571,18.0543,2.3362,3.3713,-3.0096,1.4557,-3.9248,-0.5776,-5.5059,-0.9618,-3.9357,0.4355,0.2844,0.3695,0.3941,0.2907,0.3236,0.3147,0.5245,0.379,0.3311,0.4053,0.3504,0.3545,0.2339,0.2932,0.3244,0.2451,0.3156,0.2389,0.3505,0.3013,0.283,0.3335,0.2664,2417.2513
On the Floor,Jennifer Lopez featuring Pitbull,129.19921875,-59.5998,98.1408,0.4359,21.7544,1.8081,6.2948,3.9607,2.6524,0.0418,7.2551,-3.3612,4.9272,-1.0858,0.3068,0.3855,0.3964,0.5612,0.3737,0.416,0.4007,0.3346,0.3779,0.392,0.6035,0.3484,0.2504,0.292,0.2584,0.3672,0.2436,0.2865,0.277,0.2361,0.3073,0.2581,0.3263,0.2348,2183.6397
S&M,Rihanna,129.19921875,-29.1145,66.5817,-3.7811,19.1503,7.1638,14.8596,10.286,4.6933,6.2865,7.569,-0.5868,1.6934,-3.3117,0.41,0.427,0.3682,0.4722,0.3119,0.3532,0.4097,0.3494,0.4697,0.4173,0.5023,0.3919,0.3034,0.3378,0.2598,0.3282,0.2335,0.2747,0.3125,0.2326,0.3431,0.278,0.3416,0.2995,2806.8572
Pumped Up Kicks,Foster the People,129.19921875,-67.2812,117.0214,-12.0415,14.5,5.8686,9.7148,-0.789,2.8,-0.0615,2.9684,-0.1436,0.4245,-1.4081,0.3277,0.2444,0.3518,0.4936,0.4054,0.4912,0.4292,0.4879,0.3796,0.3368,0.446,0.3181,0.2809,0.2041,0.2531,0.3323,0.2555,0.3494,0.2841,0.3212,0.2859,0.2387,0.3162,0.2446,1824.0222
Last Friday Night (T.G.I.F.),Katy Perry,123.046875,-16.4456,85.6475,-10.1948,19.7011,4.107,7.8305,3.621,6.9406,2.2434,11.1671,-2.229,7.0417,3.0324,0.4483,0.6182,0.4233,0.4836,0.3201,0.3622,0.442,0.3247,0.4202,0.3531,0.5042,0.4423,0.2696,0.3212,0.2643,0.3239,0.2493,0.2585,0.2848,0.2346,0.3146,0.2363,0.3022,0.3022,2491.7861
Just the Way You Are,Bruno Mars,107.666015625,-92.4099,88.5698,7.7192,17.3852,-6.2728,11.5558,-8.243,10.7237,-5.0332,6.4405,-1.5396,2.6683,-3.5725,0.4507,0.2886,0.2478,0.2393,0.374,0.5584,0.3213,0.3206,0.3306,0.5694,0.3647,0.2904,0.3365,0.2455,0.2657,0.2378,0.2635,0.3558,0.2456,0.3093,0.2501,0.351,0.2868,0.2407,2358.4356
Tonight (I'm Lovin' You),Enrique Iglesias featuring Ludacris and DJ Frank E,63.02400914634146,-82.5043,64.2656,14.6718,22.6419,8.5074,12.4566,4.1093,8.6158,-3.8897,2.6628,-2.5369,4.8847,1.7956,0.5023,0.3769,0.4616,0.4591,0.3884,0.4338,0.3699,0.4202,0.3574,0.3625,0.4377,0.3878,0.3587,0.2545,0.3175,0.3201,0.2724,0.3242,0.2615,0.3117,0.281,0.2829,0.3289,0.2612,2662.8328
Raise Your Glass,Pink,123.046875,-178.5649,56.2437,-8.7305,15.2572,9.1602,2.8201,4.996,1.7209,0.3757,6.1919,-3.5754,1.3929,-2.0369,0.379,0.3472,0.4172,0.3085,0.3719,0.3131,0.4341,0.5043,0.3823,0.4342,0.4091,0.4921,0.2955,0.264,0.3202,0.2458,0.3149,0.2543,0.309,0.3341,0.2975,0.3467,0.2932,0.3391,2875.1831
Born This Way,Lady Gaga,123.046875,-21.1367,66.2534,-7.8401,10.204,3.7372,9.0515,5.0219,9.0537,0.4753,6.5573,-1.5425,4.4147,-0.7243,0.4108,0.498,0.3657,0.4066,0.4601,0.4421,0.5354,0.4115,0.4391,0.4172,0.4636,0.4748,0.2608,0.3148,0.243,0.2716,0.2981,0.2605,0.313,0.2537,0.296,0.2936,0.2853,0.3151,2967.9149
Fuckin' Perfect,Pink,92.28515625,-202.9044,66.2886,0.1051,19.9011,12.1667,2.9894,4.1629,0.546,2.177,7.398,-3.6578,1.8677,-0.874,0.3062,0.2909,0.4227,0.3102,0.331,0.2951,0.4214,0.5853,0.3585,0.3716,0.3501,0.458,0.2639,0.2403,0.3132,0.2462,0.3054,0.2567,0.2921,0.3493,0.2541,0.3094,0.2761,0.3295,2932.5951
What's My Name?,Rihanna featuring Drake,135.99917763157896,-17.3559,81.5933,-3.0769,20.5323,-2.8327,4.1915,1.5636,-2.2871,2.953,3.1173,-3.9215,5.3989,-4.3228,0.3295,0.5135,0.3632,0.3236,0.4887,0.3592,0.4557,0.3616,0.4233,0.438,0.318,0.3758,0.2286,0.3433,0.2644,0.249,0.3477,0.2397,0.3229,0.2688,0.3045,0.3114,0.2431,0.3045,2520.8483
Look at Me Now,Chris Brown featuring Lil Wayne and Busta Rhymes,143.5546875,-237.6869,84.7842,3.5469,25.4324,4.1114,5.0821,1.7144,8.6694,1.9746,9.2683,0.2057,4.4299,0.2334,0.3411,0.3368,0.3718,0.4583,0.5545,0.5538,0.539,0.5195,0.4841,0.4639,0.4156,0.3866,0.2706,0.2686,0.2716,0.3031,0.3417,0.3361,0.3072,0.3009,0.2983,0.2968,0.2747,0.2788,2089.455
Down on Me,Jeremih featuring 50 Cent,161.4990234375,-166.9414,72.5168,17.3198,18.1499,4.433,0.8454,4.116,7.0633,-4.0411,12.6688,1.6012,8.6998,3.9184,0.3814,0.3714,0.5489,0.3941,0.4431,0.4313,0.3374,0.2805,0.3231,0.462,0.3318,0.3556,0.3074,0.257,0.3636,0.2717,0.3285,0.3229,0.2552,0.2458,0.2571,0.3337,0.2587,0.288,2612.9445
How to Love,Lil Wayne,103.359375,-75.7507,53.7024,18.9923,18.0117,17.4411,3.628,5.114,8.3519,5.5896,11.5987,2.3881,4.0724,2.0877,0.4741,0.4997,0.4508,0.5382,0.4917,0.5054,0.6032,0.4769,0.4595,0.4039,0.4856,0.5791,0.2754,0.2901,0.235,0.2894,0.3118,0.3102,0.313,0.2555,0.2752,0.2339,0.2527,0.3024,3287.9596
Someone Like You,Adele,135.99917763157896,-216.8044,116.0777,-4.9479,3.571,5.9658,-4.3014,-9.0185,-1.3773,-8.8061,0.1575,-13.3662,-1.3416,-11.6315,0.2027,0.3553,0.2064,0.1731,0.2846,0.1797,0.2654,0.1671,0.3007,0.341,0.1907,0.2028,0.2505,0.3738,0.2762,0.2177,0.3515,0.207,0.3589,0.2043,0.319,0.3685,0.2454,0.2962,1824.2376
Good Life,OneRepublic,95.703125,-98.467,92.065,18.379,23.6324,5.9022,10.5636,1.3708,4.6768,1.767,7.0707,2.4867,2.463,-2.2957,0.2992,0.3321,0.2739,0.3136,0.3211,0.4885,0.6302,0.396,0.4043,0.3707,0.4779,0.3334,0.2479,0.264,0.2133,0.2633,0.247,0.2923,0.3385,0.236,0.3082,0.2554,0.3371,0.2595,2302.0305
The Lazy Song,Bruno Mars,172.265625,-97.7085,83.3928,12.5844,18.5208,0.2565,9.4206,-3.9856,5.2488,-1.2057,-2.0203,-3.8061,-2.4101,-6.1786,0.2956,0.3308,0.3102,0.3955,0.3122,0.2925,0.3653,0.3091,0.4022,0.3207,0.3883,0.4357,0.2555,0.3241,0.2709,0.3366,0.2988,0.2687,0.3352,0.2618,0.3449,0.2861,0.3086,0.3547,2374.6715
Till the World Ends,Britney Spears,89.10290948275862,-154.4617,81.0671,-0.5724,13.0349,4.0432,11.5827,6.1379,6.1228,4.0659,8.778,1.9417,7.7457,1.622,0.4614,0.3187,0.3926,0.5665,0.3604,0.3389,0.3163,0.4683,0.4465,0.3828,0.4543,0.3673,0.3503,0.2484,0.2619,0.3413,0.2462,0.2979,0.2289,0.3133,0.3372,0.2732,0.31,0.2608,2593.4825
The Show Goes On,Lupe Fiasco,143.5546875,-37.944,86.9626,-11.8918,17.6494,1.8297,3.0811,-5.2634,2.6761,-0.2882,1.3023,-2.3683,8.5892,1.4597,0.3667,0.3653,0.4681,0.4229,0.4181,0.3347,0.3341,0.3301,0.3379,0.4967,0.4964,0.5607,0.276,0.267,0.3251,0.2831,0.3154,0.2814,0.2708,0.2845,0.2662,0.3234,0.2919,0.3296,2343.4936
The Edge of Glory,Lady Gaga,129.19921875,-60.2631,69.4617,2.3947,25.3014,10.4091,11.5803,11.3221,8.1154,2.5754,10.5395,0.3882,4.6164,1.4176,0.4155,0.4567,0.3737,0.396,0.5345,0.3582,0.3994,0.371,0.5339,0.6385,0.4563,0.4725,0.2644,0.2869,0.2639,0.2476,0.3176,0.2295,0.2805,0.2267,0.2677,0.3131,0.2654,0.306,2696.3491
We R Who We R,Kesha,117.45383522727273,-38.9798,61.901,-5.5774,29.9388,4.7572,8.8542,9.0751,5.4151,3.4607,6.991,-3.8948,7.5761,0.0447,0.5217,0.3561,0.3958,0.5198,0.3792,0.3628,0.3527,0.5125,0.5033,0.4588,0.5368,0.417,0.3125,0.235,0.2708,0.3234,0.2466,0.292,0.2322,0.2802,0.325,0.2957,0.3312,0.2535,2926.3348
Black and Yellow,Wiz Khalifa,161.4990234375,-35.7794,84.5528,0.1738,15.3689,1.6964,11.9868,-2.265,5.1322,-1.5343,5.826,2.1399,8.9255,-0.6369,0.2862,0.2787,0.3509,0.3407,0.4534,0.4787,0.4426,0.5067,0.5505,0.5935,0.4429,0.3077,0.2554,0.218,0.2908,0.242,0.2872,0.3043,0.2954,0.3346,0.3194,0.3329,0.2899,0.2347,2389.8094
Tonight Tonight,Hot Chelle Rae,99.38401442307692,-108.7125,64.8084,0.5461,15.5725,-0.4114,9.6484,-2.9066,5.4651,-4.247,7.9654,-2.2093,0.6103,-5.8306,0.2669,0.234,0.2296,0.373,0.4926,0.339,0.4064,0.3775,0.4525,0.2905,0.3039,0.4121,0.2264,0.2409,0.2129,0.2874,0.3593,0.2498,0.3459,0.2867,0.3483,0.2644,0.2602,0.3325,3046.9891
Blow,Kesha,117.45383522727273,-34.4828,60.1259,-6.4203,13.2808,4.7861,6.1359,7.9903,9.0346,4.9306,8.274,-4.1795,3.5582,-1.2718,0.3932,0.3766,0.3437,0.3351,0.3503,0.3556,0.5084,0.4051,0.4092,0.4952,0.4503,0.6526,0.2549,0.2799,0.2658,0.2535,0.2954,0.2792,0.3225,0.2919,0.2904,0.3259,0.243,0.3398,2974.2274
Lighters,Bad Meets Evil featuring Bruno Mars,89.10290948275862,-176.8063,102.7754,4.2298,23.2977,5.3231,4.8394,-4.0273,6.8539,-4.9069,0.9694,-4.0726,-0.3173,-1.0301,0.4757,0.3174,0.3301,0.3326,0.5013,0.3875,0.2974,0.4186,0.3248,0.4117,0.2871,0.3897,0.3391,0.2698,0.3069,0.2732,0.3368,0.3032,0.226,0.338,0.2495,0.3476,0.2402,0.2811,2009.0431
If I Die Young,The Band Perry,129.19921875,-218.6274,81.5973,5.3278,17.6602,3.0206,4.2214,4.436,-0.0758,-5.6776,1.3689,-8.1607,4.1264,-3.4446,0.2357,0.3003,0.1899,0.3162,0.4108,0.2316,0.3369,0.2085,0.2853,0.2114,0.2309,0.3927,0.2211,0.3302,0.2129,0.2989,0.3901,0.2203,0.3568,0.2204,0.3247,0.2662,0.2298,0.3558,2329.6746
Stereo Hearts,Gym Class Heroes featuring Adam Levine,89.10290948275862,-33.5136,68.7787,-4.4619,16.5255,1.2217,2.7545,-4.8586,5.8829,0.4246,5.2261,-4.5928,3.476,-1.4957,0.3218,0.4292,0.3425,0.3087,0.4106,0.3224,0.3897,0.3371,0.435,0.4792,0.3418,0.3773,0.2693,0.3299,0.2974,0.25,0.3229,0.2586,0.3345,0.2872,0.3031,0.3372,0.2746,0.3289,2845.3627
The Time (Dirty Bit),The Black Eyed Peas,129.19921875,-172.3295,67.7579,3.1215,15.7733,4.8231,7.5286,-0.1452,4.5899,-0.7549,2.8189,-2.0419,2.2104,-2.1523,0.3043,0.328,0.3972,0.4091,0.4801,0.3557,0.3939,0.3513,0.3941,0.3922,0.4023,0.4652,0.2495,0.2749,0.3109,0.2669,0.3386,0.2651,0.3193,0.2945,0.321,0.3257,0.3138,0.3491,2617.0427
Coming Home,Diddy – Dirty Money featuring Skylar Grey,172.265625,10.3293,90.4785,-6.5426,19.9837,4.4482,3.5799,0.4012,2.5922,-1.4347,4.6581,-0.7838,0.5498,1.1606,0.3646,0.4549,0.4935,0.333,0.3224,0.313,0.4468,0.336,0.3603,0.4725,0.3875,0.4572,0.265,0.3112,0.3307,0.255,0.283,0.2423,0.3023,0.2713,0.2653,0.3197,0.2558,0.3384,2460.7484
Hey Baby (Drop It to the Floor),Pitbull featuring T-Pain,129.19921875,-115.5342,56.3133,-5.3652,21.1947,2.7767,4.6029,-2.0451,1.3142,0.3497,2.4522,-3.0166,3.7264,0.1946,0.4933,0.4281,0.3466,0.3821,0.3352,0.4681,0.3532,0.3516,0.3741,0.4219,0.6009,0.424,0.3345,0.3008,0.2489,0.2996,0.2232,0.3129,0.2541,0.2625,0.2907,0.2731,0.3432,0.283,3164.3752
Only Girl (In the World),Rihanna,123.046875,-26.3948,68.8856,-3.5119,16.2754,5.5528,9.9536,8.5543,1.526,6.3827,5.5585,-1.7158,2.4106,-3.1708,0.305,0.3411,0.2999,0.2519,0.2714,0.2943,0.5062,0.3777,0.3651,0.4561,0.3619,0.4965,0.2401,0.3089,0.2878,0.2383,0.2644,0.2251,0.3543,0.3067,0.3039,0.3628,0.2567,0.3703,2785.732
6 Foot 7 Foot,Lil Wayne featuring Cory Gunz,172.265625,-52.2651,47.2217,-0.8793,11.5493,13.4873,12.5732,0.9209,9.6127,-0.463,9.474,0.9064,10.4203,6.916,0.4823,0.4395,0.5519,0.4216,0.3783,0.41,0.4601,0.4896,0.5406,0.5979,0.4778,0.4023,0.2994,0.2656,0.331,0.2561,0.2476,0.251,0.2663,0.2959,0.3124,0.2996,0.2633,0.2484,3172.4617
Just a Kiss,Lady Antebellum,143.5546875,-87.7997,97.6623,-0.8098,18.0428,-7.1935,6.4775,1.5002,2.43,-3.8268,-0.0407,-0.1136,-0.8777,-5.4765,0.4034,0.5375,0.2483,0.3146,0.2391,0.4395,0.2893,0.2718,0.4814,0.2538,0.2808,0.2046,0.2874,0.3471,0.1761,0.3201,0.1864,0.3504,0.2637,0.2187,0.3514,0.1963,0.2918,0.1794,2205.7801
Dirt Road Anthem,Jason Aldean,129.19921875,-40.6378,104.0392,8.3499,27.1235,10.8632,7.7731,2.4024,5.8117,-4.6464,4.4649,-4.0895,1.4893,-2.8955,0.2656,0.3919,0.6106,0.4134,0.3317,0.276,0.3843,0.2907,0.3023,0.5266,0.3753,0.3139,0.24,0.2578,0.3282,0.2524,0.2946,0.2362,0.3147,0.259,0.2396,0.3286,0.2511,0.3003,2006.6042
Dynamite,Taio Cruz,117.45383522727273,-105.5365,72.3,2.8241,14.3391,11.3649,14.5273,2.3691,8.4899,2.74,7.8578,2.9078,8.3637,-0.0126,0.3606,0.3723,0.3091,0.4135,0.6262,0.3879,0.3546,0.3394,0.4186,0.3515,0.3731,0.4868,0.2714,0.3186,0.2614,0.2756,0.3529,0.261,0.3147,0.2926,0.3353,0.3034,0.2841,0.3349,2659.9344
No Hands,Waka Flocka Flame featuring Wale and Roscoe Dash,129.19921875,-177.601,69.4406,10.5803,8.826,8.4313,13.1885,-1.6546,9.6696,1.0146,10.8828,5.0674,11.6589,2.6293,0.4437,0.4689,0.4765,0.575,0.6,0.5619,0.5593,0.5004,0.573,0.4727,0.4888,0.5026,0.2629,0.2675,0.2471,0.259,0.2933,0.2863,0.2856,0.2526,0.2961,0.2669,0.2811,0.2889,2646.5582
I Wanna Go,Britney Spears,129.19921875,-53.7341,76.069,0.7529,15.238,4.9746,13.2878,2.9604,6.3994,2.7395,11.0493,-1.1136,4.268,-1.3348,0.4027,0.3356,0.419,0.2944,0.3354,0.4522,0.3384,0.4183,0.4018,0.5897,0.3986,0.3614,0.2963,0.2447,0.3453,0.2488,0.25,0.3484,0.2243,0.3342,0.2772,0.3572,0.3045,0.2975,2580.8121
I'm on One,"DJ Khaled featuring Drake, Rick Ross and Lil Wayne",99.38401442307692,-137.3099,96.9372,-0.885,-0.4839,4.5141,17.9122,1.6906,2.1807,-4.2598,11.2753,4.6322,2.8717,-1.072,0.3694,0.3604,0.3786,0.315,0.3775,0.3792,0.5779,0.417,0.3417,0.3739,0.3987,0.4711,0.2894,0.296,0.3029,0.2574,0.3089,0.2644,0.3466,0.2807,0.271,0.2956,0.3067,0.3331,2334.5816
You Make Me Feel...,Cobra Starship featuring Sabi,129.19921875,-44.3981,68.218,-12.0784,11.6666,1.3104,6.8098,-0.9463,1.3356,-0.1981,2.8611,-2.9362,0.6565,-4.3184,0.3331,0.291,0.4817,0.3073,0.2863,0.4373,0.3232,0.4661,0.3342,0.4322,0.5463,0.3313,0.3109,0.2297,0.3425,0.262,0.2378,0.3285,0.2333,0.3544,0.2631,0.2997,0.3474,0.235,2812.9079
Yeah 3x,Chris Brown,129.19921875,-22.0842,52.6409,2.3728,19.1129,9.0546,9.9775,3.0668,11.6697,2.0432,9.1459,-0.5844,3.4557,-1.2026,0.4141,0.4436,0.5114,0.4086,0.4413,0.3852,0.5068,0.429,0.4347,0.5199,0.4651,0.521,0.278,0.2682,0.3314,0.2642,0.3027,0.2452,0.3067,0.2908,0.2903,0.3231,0.2778,0.3262,3192.7484
Moment 4 Life,Nicki Minaj featuring Drake,99.38401442307692,-44.717,85.3083,-7.8994,13.8959,-5.4449,0.4255,4.1306,-4.3397,4.2826,1.8742,-4.0886,3.3895,-0.3012,0.3565,0.4175,0.307,0.4019,0.3441,0.3199,0.4112,0.3018,0.3846,0.3059,0.4087,0.5428,0.2723,0.341,0.2562,0.3262,0.2918,0.256,0.3256,0.2366,0.3083,0.2599,0.2971,0.3446,2424.7599
I Need a Doctor,Dr. Dre featuring Eminem and Skylar Grey,103.359375,-214.4924,102.2859,1.5886,15.74,3.6847,2.4894,-0.7468,3.43,2.1163,0.2317,-1.5655,-0.8739,-4.6955,0.3456,0.3651,0.4729,0.4026,0.3455,0.3736,0.3876,0.4835,0.4074,0.4483,0.4797,0.3672,0.2924,0.285,0.3337,0.3077,0.2776,0.2976,0.2702,0.3216,0.2933,0.3017,0.3159,0.2694,1928.0873
Just a Dream,Nelly,89.10290948275862,-59.4919,67.3525,13.7166,30.1576,5.4311,0.1133,-3.0615,2.0447,-3.8489,3.6564,-1.1897,2.3035,-3.6582,0.367,0.5481,0.3295,0.3477,0.3127,0.4681,0.6109,0.3711,0.4455,0.3412,0.4166,0.3781,0.2305,0.3338,0.2206,0.274,0.2416,0.2853,0.3353,0.229,0.3208,0.2614,0.3098,0.3149,2923.0361
Motivation,Kelly Rowland featuring Lil Wayne,143.5546875,-189.3998,81.0492,13.7093,14.8213,4.1859,0.5279,8.1005,8.574,-4.0344,8.511,-4.4737,1.6055,0.8934,0.3555,0.2994,0.3693,0.3122,0.4298,0.339,0.2759,0.3506,0.3612,0.5352,0.3076,0.291,0.324,0.2802,0.3629,0.275,0.3297,0.3129,0.2462,0.3213,0.2738,0.3766,0.252,0.2642,2371.4117
Stereo Love,Edward Maya featuring Vika Jigulina,129.19921875,-40.7834,80.45,13.1469,23.809,9.2129,10.9213,6.2742,-0.7882,3.9382,8.1593,-8.7384,4.7097,-5.1334,0.2915,0.3756,0.2947,0.386,0.481,0.2916,0.3371,0.345,0.5722,0.4066,0.301,0.3518,0.2586,0.3483,0.2508,0.2712,0.3583,0.2383,0.3397,0.2476,0.3492,0.3173,0.2422,0.2794,2584.655
Jar of Hearts,Christina Perri,151.99908088235293,-85.3652,113.266,-12.6466,17.2956,-3.348,-6.8191,2.6279,-13.6849,-1.039,-8.0497,-10.3451,-3.6595,-14.3581,0.2615,0.1542,0.3858,0.4818,0.2307,0.25,0.1712,0.3471,0.2772,0.2282,0.3378,0.2014,0.3193,0.157,0.3012,0.3804,0.184,0.3241,0.1687,0.3293,0.2948,0.2314,0.3426,0.1904,1984.7637
Roll Up,Wiz Khalifa,95.703125,-58.3641,76.4063,1.6581,17.0541,3.8139,8.3516,3.466,10.5415,-0.2657,7.7411,-0.9018,6.476,-2.2612,0.3094,0.2901,0.3812,0.4878,0.4097,0.4996,0.4204,0.4583,0.4737,0.5839,0.724,0.4061,0.2517,0.2344,0.2646,0.3196,0.2602,0.3114,0.2822,0.3158,0.3439,0.3154,0.2761,0.2429,2479.4013
Sexy and I Know It,LMFAO,129.19921875,-103.8809,67.922,14.5309,3.4487,0.2676,-0.5203,-9.5406,1.3851,-7.0987,4.8189,-4.2714,3.2526,-0.3605,0.3638,0.3289,0.3818,0.3198,0.3106,0.3425,0.4077,0.6826,0.5396,0.4711,0.4519,0.4608,0.2806,0.2607,0.2719,0.2602,0.2351,0.2589,0.2452,0.3078,0.2923,0.3335,0.3088,0.2859,3103.1954
Rocketeer,Far East Movement featuring Ryan Tedder,95.703125,-51.0381,89.1431,-7.1812,12.7563,-4.7804,7.7163,-6.6408,7.6249,-4.3638,5.5629,-0.3618,5.2807,-1.4601,0.3293,0.2642,0.3307,0.2736,0.3808,0.2723,0.3878,0.4331,0.3295,0.4645,0.3757,0.526,0.2642,0.2265,0.3009,0.2239,0.3126,0.2321,0.3057,0.3248,0.2482,0.3648,0.2646,0.3528,2306.6306
All of the Lights,Kanye West,143.5546875,-18.2548,95.4424,-4.8917,24.1511,4.74,5.8726,2.5481,1.264,1.2186,5.1778,-1.6712,3.5606,-3.7234,0.3065,0.332,0.2844,0.4,0.3916,0.5074,0.398,0.3868,0.5045,0.4525,0.4749,0.2835,0.2452,0.2825,0.219,0.3116,0.2654,0.3487,0.3012,0.2779,0.3321,0.2955,0.3547,0.2188,2184.8132
Hold It Against Me,Britney Spears,135.99917763157896,-185.8153,82.784,1.9231,18.778,3.8666,6.3299,4.6789,6.0581,5.056,6.0915,0.2332,6.4071,1.5652,0.5044,0.353,0.4349,0.4717,0.3711,0.4446,0.39,0.5463,0.4463,0.4389,0.5045,0.4133,0.3272,0.2323,0.2618,0.3087,0.249,0.3286,0.2484,0.3232,0.3001,0.2902,0.2963,0.254,2489.2953
More,Usher,117.45383522727273,-24.7408,79.8937,-5.2308,23.2582,3.5153,9.3668,-1.4952,9.6794,-4.3357,11.6604,5.3818,2.5696,-0.578,0.298,0.247,0.2895,0.3136,0.4604,0.3226,0.5112,0.4846,0.2985,0.2887,0.3143,0.4419,0.2662,0.2328,0.2776,0.2315,0.3462,0.2204,0.3385,0.3363,0.2355,0.2702,0.2575,0.3465,2591.1174
What the Hell,Avril Lavigne,151.99908088235293,-7.9179,65.9442,-25.4993,19.4897,2.0953,7.8702,2.4787,6.615,2.557,4.0682,-4.9109,2.3989,-6.6832,0.3099,0.5103,0.3716,0.2992,0.4194,0.3172,0.376,0.2975,0.4369,0.6454,0.3319,0.3223,0.2348,0.3257,0.2933,0.241,0.3157,0.2492,0.3018,0.237,0.2758,0.3305,0.2302,0.2924,2861.6927
