song_title,artist,tempo,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,chroma_mean_1,chroma_mean_2,chroma_mean_3,chroma_mean_4,chroma_mean_5,chroma_mean_6,chroma_mean_7,chroma_mean_8,chroma_mean_9,chroma_mean_10,chroma_mean_11,chroma_mean_12,chroma_std_1,chroma_std_2,chroma_std_3,chroma_std_4,chroma_std_5,chroma_std_6,chroma_std_7,chroma_std_8,chroma_std_9,chroma_std_10,chroma_std_11,chroma_std_12,spectral_centroid
Hanging by a Moment,Lifehouse,123.046875,-153.3584,93.8063,-1.6655,27.9951,14.2685,5.6278,2.1579,4.8694,1.5659,3.2867,-3.3976,4.6864,-0.3059,0.4411,0.5997,0.4319,0.46,0.3561,0.4222,0.3217,0.3603,0.5607,0.4407,0.4147,0.3542,0.2542,0.3187,0.2325,0.3,0.2273,0.2989,0.2507,0.2313,0.3096,0.2421,0.3097,0.235,2374.7396
Fallin',Alicia Keys,95.703125,-115.2287,96.4364,-3.4487,20.0711,-4.4687,4.3331,3.125,-1.2412,-7.455,9.6403,-6.7145,1.3821,0.0415,0.2311,0.2444,0.3849,0.3307,0.4748,0.3468,0.4574,0.4182,0.3013,0.3525,0.3563,0.4248,0.2191,0.2255,0.313,0.249,0.362,0.257,0.3315,0.3233,0.2734,0.3297,0.3019,0.3234,2105.3984
All for You,Janet Jackson,112.34714673913044,-87.6011,38.9298,4.3962,21.0282,10.0707,7.6164,2.8324,4.4594,-1.6963,4.7321,-6.4349,3.343,-1.7067,0.3881,0.396,0.5383,0.4747,0.4963,0.4103,0.4255,0.508,0.4045,0.4518,0.4341,0.4749,0.2605,0.2646,0.3279,0.2955,0.3376,0.3079,0.2708,0.3291,0.2758,0.3162,0.2869,0.2966,3482.7068
Drops of Jupiter (Tell Me),Train,161.4990234375,-51.9517,103.0331,-9.7899,20.8868,3.4069,10.4872,-5.1705,4.4113,-5.7665,2.318,-0.7099,-0.2035,-3.7557,0.4368,0.3294,0.4759,0.3477,0.3666,0.3983,0.3289,0.469,0.2842,0.3204,0.2213,0.2699,0.3491,0.236,0.3454,0.2599,0.2864,0.3274,0.223,0.3382,0.212,0.2877,0.2033,0.2263,2150.445
I'm Real (Murder Remix),Jennifer Lopez featuring Ja Rule,83.35433467741936,-113.3121,67.5747,19.9441,20.583,5.988,5.2392,-4.4686,-4.3166,0.7039,4.7595,-3.9722,3.0559,-2.6353,0.3466,0.3371,0.4882,0.3721,0.3548,0.2652,0.3559,0.2665,0.2312,0.2991,0.3357,0.4167,0.317,0.2856,0.3805,0.2821,0.3425,0.2511,0.3351,0.2598,0.2491,0.2918,0.2887,0.3567,2770.9961
If You're Gone,Matchbox Twenty,112.34714673913044,-88.9492,119.5713,9.2762,25.7153,8.0729,9.3425,-3.1483,4.0149,-4.5309,3.3121,-5.0141,-2.0821,-7.1484,0.2457,0.304,0.2902,0.2926,0.5048,0.2513,0.2362,0.2022,0.3874,0.6125,0.3293,0.381,0.2193,0.3028,0.2856,0.1953,0.3261,0.1867,0.2699,0.1967,0.2584,0.3468,0.2004,0.3461,1765.9469
Let Me Blow Ya Mind,Eve featuring Gwen Stefani,89.10290948275862,-137.2946,77.334,3.5615,14.1086,-1.8566,-15.0916,3.1971,-0.0723,2.2746,8.5073,0.5278,4.0218,-3.9772,0.3277,0.3394,0.3406,0.4957,0.3281,0.2671,0.3281,0.3052,0.4701,0.3586,0.3838,0.4163,0.2856,0.3132,0.2928,0.3766,0.2844,0.2563,0.2994,0.2468,0.3563,0.3027,0.3201,0.3253,2538.507
Thank You,Dido,161.4990234375,-126.5711,91.6604,20.9303,22.0198,4.2837,2.6082,2.7873,5.6705,-2.95,12.8183,-3.8892,1.3126,-3.2613,0.2665,0.3425,0.3239,0.4599,0.4238,0.3358,0.3625,0.2798,0.3541,0.2804,0.2969,0.3536,0.2405,0.3366,0.2642,0.3475,0.3512,0.2847,0.3298,0.2682,0.3302,0.2724,0.2651,0.335,2241.0631
Again,Lenny Kravitz,78.30255681818181,-52.9078,83.2692,8.6921,31.4597,12.6887,12.9074,-0.533,1.4749,0.0452,6.3902,0.3987,0.8062,-2.7626,0.3324,0.3909,0.4101,0.4492,0.5417,0.4245,0.4096,0.3419,0.4334,0.5637,0.4472,0.4712,0.2347,0.2856,0.2901,0.2525,0.3113,0.2458,0.3038,0.2474,0.2575,0.3344,0.2489,0.312,2488.1024
Independent Women Part I,Destiny's Child,99.38401442307692,-78.5231,66.5247,-15.6041,16.656,-4.0058,-1.5578,0.1098,-2.9074,0.5654,3.2229,-7.0154,-1.7375,-7.316,0.3661,0.4857,0.364,0.2665,0.2777,0.2605,0.4195,0.3362,0.3807,0.3928,0.3004,0.3407,0.3159,0.3585,0.3213,0.2737,0.2823,0.2427,0.3549,0.2821,0.3158,0.3355,0.2698,0.3238,2683.0757
