song_title,artist,tempo,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,chroma_mean_1,chroma_mean_2,chroma_mean_3,chroma_mean_4,chroma_mean_5,chroma_mean_6,chroma_mean_7,chroma_mean_8,chroma_mean_9,chroma_mean_10,chroma_mean_11,chroma_mean_12,chroma_std_1,chroma_std_2,chroma_std_3,chroma_std_4,chroma_std_5,chroma_std_6,chroma_std_7,chroma_std_8,chroma_std_9,chroma_std_10,chroma_std_11,chroma_std_12,spectral_centroid
God's Plan,Drake,151.99908088235293,-143.8799,87.5472,-13.1476,1.7249,7.4349,-2.7122,-13.3788,1.5351,-4.8271,-2.7466,-6.8132,-1.2848,-4.6533,0.4548,0.3452,0.3515,0.3109,0.3583,0.2667,0.4054,0.5406,0.4559,0.6139,0.4638,0.6194,0.3054,0.2684,0.2814,0.2583,0.2951,0.2285,0.2575,0.325,0.2765,0.3262,0.2685,0.3305,2383.008
Perfect,Ed Sheeran,63.02400914634146,-87.1877,93.5911,16.3127,36.3797,6.2899,7.3621,0.7245,3.8222,-4.6363,7.4948,-6.9441,1.3848,-7.803,0.4141,0.3199,0.296,0.4749,0.3146,0.3442,0.2456,0.3605,0.476,0.2959,0.3078,0.2643,0.328,0.2984,0.2166,0.3374,0.2204,0.3355,0.2141,0.2777,0.3575,0.2373,0.3108,0.2141,2192.6071
Meant to Be,Bebe Rexha featuring Florida Georgia Line,151.99908088235293,-94.626,72.1383,0.6033,26.5366,5.3756,6.4024,-5.9072,0.2406,1.1422,-5.5673,-7.949,3.0571,-5.2415,0.4502,0.3586,0.4711,0.3553,0.317,0.4634,0.3575,0.4578,0.3672,0.3977,0.5548,0.4035,0.3339,0.2533,0.309,0.2641,0.2432,0.3345,0.2583,0.351,0.2839,0.2802,0.3301,0.2562,2560.9273
Havana,Camila Cabello featuring Young Thug,103.359375,-86.2018,107.7992,3.8617,11.5974,-2.4199,7.8754,4.3127,-3.7965,4.7399,1.7523,-3.5117,2.5107,-0.6644,0.4012,0.3682,0.5152,0.3109,0.2963,0.3271,0.3326,0.388,0.3261,0.486,0.5167,0.3404,0.3486,0.24,0.3361,0.2443,0.2447,0.2759,0.2379,0.3114,0.242,0.3097,0.3433,0.2199,2016.201
Rockstar,Post Malone featuring 21 Savage,161.4990234375,-210.5728,118.8455,11.9618,19.9487,16.2099,8.8129,9.2042,7.4021,0.5083,4.4479,5.6376,4.5703,6.3308,0.3841,0.3923,0.5859,0.4678,0.5001,0.5173,0.461,0.5522,0.4795,0.5532,0.5735,0.3948,0.2864,0.2175,0.3038,0.2524,0.2948,0.3075,0.2569,0.3115,0.29,0.3123,0.309,0.2322,1593.7642
Psycho,Post Malone featuring Ty Dolla Sign,135.99917763157896,-119.1256,114.724,26.239,19.4751,3.8909,7.5409,5.0291,2.3428,-6.6658,-1.6446,-2.151,-1.9762,5.7216,0.3447,0.2571,0.3301,0.4188,0.3649,0.452,0.3387,0.4804,0.4007,0.4111,0.5812,0.3742,0.3057,0.2426,0.2752,0.3131,0.2639,0.3477,0.2439,0.3223,0.2858,0.2722,0.3418,0.2372,1769.5113
I Like It,"Cardi B, Bad Bunny and J Balvin",135.99917763157896,-65.702,75.8888,-13.5213,14.7695,-3.8094,5.3926,-0.0441,7.5271,-1.1156,6.0486,0.0645,3.2435,-2.7031,0.4956,0.3821,0.3063,0.2896,0.3308,0.3988,0.3359,0.4263,0.4411,0.4136,0.4396,0.3935,0.3503,0.2917,0.2681,0.2752,0.2753,0.3128,0.2564,0.3204,0.3245,0.3276,0.3391,0.2757,2528.9495
The Middle,"Zedd, Maren Morris and Grey",107.666015625,-98.6074,71.2921,1.3508,14.2345,-2.5009,2.7995,3.9078,-2.1758,6.14,1.8124,-3.8746,0.3286,-4.2627,0.2805,0.2906,0.3676,0.243,0.2683,0.2068,0.3161,0.4305,0.2881,0.386,0.2965,0.4066,0.2728,0.2825,0.3346,0.2251,0.2952,0.2273,0.2912,0.3776,0.2449,0.3599,0.2585,0.3655,2707.8014
In My Feelings,Drake,184.5703125,-174.8088,80.1614,21.0902,25.9885,11.0667,8.2549,1.3043,10.5416,-2.4785,7.5293,-0.2196,4.9711,-0.6114,0.5901,0.5359,0.5191,0.5739,0.5592,0.5632,0.49,0.5384,0.5349,0.5469,0.5744,0.5364,0.3255,0.3145,0.3046,0.3232,0.3213,0.3308,0.2778,0.2806,0.2899,0.2995,0.3122,0.2992,2040.7591
Girls Like You,Maroon 5 featuring Cardi B,123.046875,-126.4907,91.8097,17.0365,26.6306,8.3217,7.963,-0.1581,2.6128,-1.5519,0.504,-5.0231,-0.986,-0.9903,0.482,0.3027,0.2917,0.2448,0.3612,0.3344,0.2699,0.3774,0.2854,0.321,0.242,0.3084,0.3734,0.243,0.3117,0.2237,0.3194,0.324,0.2415,0.3453,0.2347,0.3341,0.229,0.2758,1955.3898
Nice for What,Drake,123.046875,-84.3835,30.8512,-19.9755,-8.3139,-18.3176,-3.1598,-10.427,2.3107,-7.1309,0.6313,-5.9785,2.2278,-4.59,0.4487,0.346,0.3576,0.4261,0.4208,0.4705,0.3477,0.419,0.5628,0.5038,0.5535,0.4381,0.3139,0.2702,0.2636,0.3036,0.2884,0.3119,0.2614,0.2737,0.3317,0.2987,0.3207,0.276,3458.8661
Lucid Dreams,Juice Wrld,112.34714673913044,-139.945,85.9144,16.7874,31.5705,19.5217,6.169,3.6991,6.0759,-8.3901,5.6489,-3.7505,1.4788,-2.0188,0.3371,0.4628,0.3749,0.3368,0.4045,0.4149,0.4622,0.3367,0.4531,0.5495,0.4002,0.399,0.2375,0.3216,0.2826,0.2449,0.3181,0.2978,0.3356,0.2487,0.3035,0.363,0.2848,0.3151,1994.7498
Better Now,Post Malone,95.703125,-94.4431,113.2797,17.9182,7.1648,-2.503,4.0174,2.4705,4.2925,-2.1778,2.4626,2.8518,-1.2766,5.8362,0.4207,0.3365,0.5087,0.3863,0.3443,0.4751,0.3557,0.3787,0.2901,0.3565,0.4197,0.3144,0.3445,0.2449,0.3438,0.2991,0.2573,0.3502,0.2593,0.3077,0.2392,0.2645,0.3308,0.2291,1967.6907
Finesse,Bruno Mars featuring Cardi B,103.359375,-46.9025,65.7115,5.1394,20.9798,1.5403,10.9563,-3.02,4.0536,-1.1261,3.8215,-1.2938,3.2088,-2.2606,0.5173,0.3943,0.3807,0.4459,0.4294,0.4761,0.3771,0.443,0.4515,0.3675,0.4296,0.4584,0.3362,0.2903,0.2726,0.3096,0.2844,0.335,0.2633,0.3024,0.3132,0.2611,0.3069,0.3164,2827.1765
Boo'd Up,Ella Mai,161.4990234375,-96.1077,84.1824,13.309,23.5653,9.5707,6.0883,3.4836,2.0115,2.4351,4.9742,-4.1809,4.3655,-3.8137,0.4238,0.444,0.3113,0.3829,0.3252,0.5005,0.3749,0.3517,0.5223,0.411,0.4747,0.3584,0.2855,0.3206,0.2468,0.32,0.2497,0.3537,0.3074,0.2468,0.3349,0.2568,0.3299,0.2554,2467.2524
