song_title,artist,tempo,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,chroma_mean_1,chroma_mean_2,chroma_mean_3,chroma_mean_4,chroma_mean_5,chroma_mean_6,chroma_mean_7,chroma_mean_8,chroma_mean_9,chroma_mean_10,chroma_mean_11,chroma_mean_12,chroma_std_1,chroma_std_2,chroma_std_3,chroma_std_4,chroma_std_5,chroma_std_6,chroma_std_7,chroma_std_8,chroma_std_9,chroma_std_10,chroma_std_11,chroma_std_12,spectral_centroid
Lose Control,Teddy Swims,161.4990234375,-64.9456,88.3336,15.059,23.7193,-3.1396,16.3892,4.4325,5.2111,2.83,1.4266,0.3669,4.1122,-2.875,0.3236,0.4585,0.319,0.2619,0.2934,0.3058,0.3533,0.2763,0.3674,0.4562,0.321,0.3214,0.2704,0.359,0.288,0.268,0.2834,0.2907,0.3469,0.2657,0.3088,0.3639,0.2698,0.3177,2272.0115
A Bar Song (Tipsy),Shaboozey,80.74951171875,-53.2847,83.5143,-5.3613,22.0095,9.6175,7.9996,1.7993,9.6848,-4.2745,7.1313,-2.052,2.6315,2.0591,0.3144,0.4291,0.301,0.3185,0.4336,0.3607,0.4347,0.3851,0.5307,0.6257,0.4174,0.3628,0.2387,0.3177,0.2422,0.2354,0.3151,0.2545,0.3269,0.2484,0.2899,0.332,0.244,0.2776,2397.2759
Beautiful Things,Benson Boone,107.666015625,-100.7788,89.1375,12.8892,26.6581,11.4382,11.2377,-4.8404,4.3724,-0.2846,-0.2649,1.5351,3.4563,-3.1603,0.3882,0.3191,0.4037,0.2981,0.2982,0.4172,0.3027,0.3087,0.2388,0.2949,0.3345,0.2793,0.3646,0.2665,0.3515,0.2858,0.2571,0.3594,0.2621,0.3253,0.2505,0.2818,0.3414,0.2456,2227.9803
I Had Some Help,Post Malone featuring Morgan Wallen,129.19921875,-53.1648,87.4966,4.0611,22.255,5.703,11.2263,-0.962,10.9493,1.7801,9.5294,1.9777,6.9375,2.949,0.4779,0.3245,0.4367,0.326,0.39,0.3201,0.3995,0.5494,0.363,0.3928,0.2929,0.4299,0.3286,0.2143,0.3245,0.2365,0.3034,0.2512,0.2578,0.325,0.227,0.3058,0.2046,0.2891,2382.8774
Lovin on Me,Jack Harlow,103.359375,-63.4047,61.57,6.8373,28.4928,16.4306,7.0083,6.8593,6.1363,-5.3521,6.2512,-0.9788,7.3226,1.8693,0.676,0.6299,0.6415,0.5587,0.3748,0.3007,0.305,0.3351,0.3682,0.4233,0.5259,0.6581,0.2927,0.2777,0.2933,0.2758,0.2646,0.2793,0.2697,0.2706,0.2874,0.2679,0.2521,0.2906,2754.5342
Not Like Us,Kendrick Lamar,99.38401442307692,-107.4129,89.4611,23.6158,21.5435,18.5829,9.0227,2.5975,12.073,1.5592,10.7697,5.4509,8.1125,2.6138,0.5958,0.5476,0.5394,0.5233,0.5737,0.5257,0.5428,0.5095,0.4867,0.5167,0.5669,0.6421,0.3373,0.327,0.3011,0.2818,0.2862,0.2568,0.272,0.2643,0.2857,0.2876,0.2808,0.3044,2091.2013
Espresso,Sabrina Carpenter,103.359375,-39.4239,69.8745,16.6935,20.7752,7.732,0.0833,3.1951,-3.583,3.1007,-1.5705,-2.6513,-0.4722,-1.6813,0.4238,0.3889,0.4587,0.3809,0.4264,0.2707,0.2585,0.3562,0.3106,0.3783,0.323,0.4265,0.322,0.2921,0.3493,0.2695,0.3463,0.2545,0.2305,0.3187,0.2473,0.334,0.2548,0.3222,2909.8755
Million Dollar Baby,Tommy Richman,135.99917763157896,-91.2895,99.5629,24.6116,20.5138,5.4685,-0.1916,-3.9635,7.9876,-6.8738,9.0096,-3.2699,4.538,-1.1181,0.3869,0.4638,0.4066,0.3891,0.4705,0.4862,0.5878,0.4892,0.4716,0.5232,0.443,0.3898,0.2941,0.3159,0.2911,0.2951,0.3204,0.3193,0.3376,0.288,0.2959,0.3143,0.2857,0.287,2216.1652
I Remember Everything,Zach Bryan featuring Kacey Musgraves,151.99908088235293,-135.6092,112.742,16.6006,29.466,17.4754,10.5183,9.4355,5.136,0.2716,4.2537,-2.8177,2.0106,-0.7196,0.4633,0.347,0.3591,0.3193,0.3645,0.2618,0.2454,0.4547,0.391,0.4342,0.34,0.3564,0.3467,0.2579,0.3125,0.2636,0.3039,0.2479,0.2136,0.3475,0.254,0.3746,0.2698,0.2582,1674.9743
Too Sweet,Hozier,117.45383522727273,-56.4366,90.118,-3.2908,20.9189,1.4412,8.4332,3.9818,9.534,-0.6812,12.884,-3.0654,1.2697,-1.7525,0.3698,0.3193,0.4415,0.3712,0.3016,0.4089,0.3664,0.4218,0.3623,0.4512,0.5136,0.3885,0.3228,0.2651,0.3313,0.301,0.2487,0.3161,0.2701,0.3427,0.2696,0.2988,0.3282,0.2745,2287.4093
