song_title,artist,tempo,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,chroma_mean_1,chroma_mean_2,chroma_mean_3,chroma_mean_4,chroma_mean_5,chroma_mean_6,chroma_mean_7,chroma_mean_8,chroma_mean_9,chroma_mean_10,chroma_mean_11,chroma_mean_12,chroma_std_1,chroma_std_2,chroma_std_3,chroma_std_4,chroma_std_5,chroma_std_6,chroma_std_7,chroma_std_8,chroma_std_9,chroma_std_10,chroma_std_11,chroma_std_12,spectral_centroid
Low,Flo Rida featuring T-Pain,129.19921875,-76.9182,74.413,-8.0389,9.7153,-1.8502,6.2887,2.2927,9.2731,-0.6387,7.5884,3.7737,6.7551,4.2397,0.3529,0.3773,0.4289,0.591,0.5451,0.5409,0.5411,0.4146,0.3623,0.3877,0.584,0.4648,0.2454,0.2542,0.2598,0.3282,0.3155,0.3408,0.3253,0.2618,0.2698,0.2537,0.3151,0.2692,2392.1953
Bleeding Love,Leona Lewis,103.359375,-83.1901,90.697,-1.9181,25.928,16.2829,7.279,3.5706,0.1904,-0.3569,11.1913,-4.5516,1.367,-0.1939,0.472,0.3211,0.298,0.2276,0.295,0.5022,0.3129,0.3416,0.3091,0.3918,0.2986,0.3238,0.3531,0.2612,0.3122,0.2374,0.2478,0.3823,0.2448,0.3171,0.2817,0.345,0.2822,0.2713,2208.8045
No One,Alicia Keys,89.10290948275862,-100.8967,92.9774,4.9538,22.1236,3.2589,8.0923,10.5844,7.1083,-0.2311,15.6774,-1.4584,5.0655,2.1837,0.3063,0.3412,0.2321,0.3205,0.3793,0.2845,0.3941,0.3931,0.5757,0.4513,0.3518,0.4046,0.2461,0.3078,0.1988,0.2721,0.3223,0.2363,0.3217,0.2713,0.3579,0.3392,0.2772,0.3259,2014.7139
Lollipop,Lil Wayne featuring Static Major,99.38401442307692,-136.7639,78.1968,18.6597,21.4748,-1.5319,1.1199,-5.6256,7.8361,-2.3623,10.2428,4.8509,4.0563,3.4402,0.4168,0.3854,0.5219,0.4497,0.5304,0.5129,0.4288,0.4521,0.4063,0.4985,0.4126,0.3926,0.309,0.2408,0.3239,0.2653,0.3266,0.3351,0.2793,0.3093,0.2884,0.3378,0.2895,0.2777,2426.1458
Apologize,OneRepublic,117.45383522727273,-93.0685,122.6171,-11.7743,25.871,4.4727,1.4486,-3.4088,2.8642,-2.3916,6.2385,-3.7032,4.7749,-0.8032,0.3413,0.2169,0.3426,0.4679,0.2463,0.289,0.2721,0.4918,0.3606,0.3432,0.5075,0.2693,0.3148,0.1957,0.2706,0.3344,0.2049,0.2992,0.2052,0.3365,0.2945,0.2713,0.3635,0.1982,1719.0831
No Air,Jordin Sparks and Chris Brown,80.74951171875,-60.3514,65.5397,5.1474,15.9675,4.6626,-3.2425,2.9153,2.9556,0.7094,7.3747,-5.443,4.6048,-4.0654,0.336,0.479,0.3164,0.359,0.2737,0.3032,0.4713,0.291,0.383,0.2714,0.3946,0.433,0.2585,0.3677,0.2717,0.3289,0.2763,0.2571,0.3484,0.2211,0.3307,0.2418,0.3148,0.3395,2977.1024
Love Song,Sara Bareilles,123.046875,-9.2044,77.7908,-6.9232,24.5164,6.2,0.2383,-1.667,3.4715,-3.2344,-0.1581,-5.4867,1.803,-5.3983,0.4951,0.3508,0.4045,0.2794,0.3018,0.4141,0.2987,0.3495,0.2992,0.4425,0.3799,0.3236,0.3499,0.24,0.3384,0.2359,0.2509,0.3252,0.243,0.3156,0.2373,0.3272,0.2866,0.2472,2716.5455
Love in This Club,Usher featuring Young Jeezy,135.99917763157896,-116.0163,86.9863,8.695,22.0895,14.4471,9.2143,1.0606,8.5757,-1.1289,5.9364,1.3445,0.3692,0.3327,0.4894,0.3774,0.4268,0.4272,0.569,0.451,0.4047,0.4887,0.4229,0.4376,0.3808,0.4534,0.3287,0.2662,0.3199,0.2838,0.3385,0.3327,0.3041,0.3321,0.2941,0.3191,0.284,0.2906,2337.9684
With You,Chris Brown,112.34714673913044,-43.2766,65.7846,18.5901,20.9161,11.213,2.6781,-4.3867,13.094,-7.2459,5.4207,-0.2833,-2.6858,-2.6842,0.3301,0.2913,0.382,0.3935,0.2845,0.381,0.3263,0.3985,0.3527,0.3611,0.4979,0.3382,0.3234,0.2718,0.3258,0.3278,0.2278,0.3267,0.2387,0.3291,0.2993,0.2811,0.3401,0.2444,2996.1892
Forever,Chris Brown,60.09265988372093,-84.405,101.933,-9.3995,16.8539,7.8956,2.8551,-0.603,7.5446,-6.0017,8.1683,1.3888,4.7041,0.209,0.3147,0.458,0.3392,0.4617,0.3943,0.3863,0.5269,0.357,0.4429,0.3017,0.4374,0.5398,0.2027,0.3228,0.2412,0.3173,0.2783,0.2623,0.3306,0.2401,0.3153,0.2301,0.2812,0.3271,2090.2987
Sexy Can I,Ray J featuring Yung Berg,172.265625,-202.3821,66.8371,8.6659,17.7963,3.7359,3.1705,-8.1486,1.807,-4.1391,0.851,-2.8217,-1.5007,-3.2446,0.3364,0.3301,0.3221,0.4022,0.375,0.3698,0.3012,0.3595,0.497,0.3879,0.3497,0.3129,0.3062,0.308,0.2896,0.3362,0.3264,0.335,0.2747,0.2864,0.3647,0.3027,0.317,0.2797,2546.7471
Take a Bow,Rihanna,161.4990234375,-97.5058,90.329,4.0533,11.2867,1.8101,4.6335,3.3256,-5.9176,2.9211,6.4885,-5.4893,0.3444,-4.3148,0.2976,0.3194,0.2459,0.3444,0.4616,0.3207,0.3847,0.2997,0.3737,0.3856,0.3601,0.4378,0.2474,0.2988,0.2441,0.2859,0.3524,0.26,0.3476,0.2634,0.3132,0.3238,0.2715,0.33,2344.2095
Viva la Vida,Coldplay,135.99917763157896,-183.7923,109.9848,-14.4772,30.4056,-0.052,9.8589,-7.5673,4.212,-6.1884,2.4479,0.1796,-1.5429,-1.9735,0.4316,0.4101,0.2629,0.3688,0.2786,0.3239,0.2184,0.3684,0.5087,0.2688,0.3022,0.241,0.3291,0.316,0.2149,0.3209,0.2276,0.3275,0.1959,0.2933,0.3364,0.202,0.3137,0.1976,1906.0757
I Kissed a Girl,Katy Perry,129.19921875,-15.4233,74.9045,-2.2985,24.0522,13.8658,10.2857,4.5519,11.0936,0.0291,8.6846,-0.9642,3.7042,0.0846,0.435,0.3647,0.4451,0.4315,0.5615,0.4882,0.3815,0.3798,0.3741,0.4478,0.3641,0.4114,0.3094,0.2498,0.3309,0.2728,0.3147,0.3132,0.262,0.2791,0.2745,0.3333,0.2792,0.2954,2713.0978
Whatever You Like,T.I.,151.99908088235293,-50.4877,69.5285,6.6426,16.4338,6.1225,1.2931,-10.2343,6.3843,2.1122,6.0563,0.9995,8.3374,1.6275,0.595,0.4722,0.4464,0.3921,0.4802,0.5441,0.3682,0.3553,0.3574,0.4584,0.4155,0.4886,0.3269,0.2838,0.304,0.2664,0.2809,0.3404,0.2538,0.2757,0.2442,0.2907,0.2584,0.291,2788.7469
Disturbia,Rihanna,123.046875,-39.4285,83.8265,-15.4933,16.0737,-2.0348,6.6001,3.7624,-0.0763,4.9213,6.9686,-3.6543,2.6754,-4.6366,0.3224,0.3876,0.3905,0.2751,0.3004,0.2734,0.4288,0.366,0.3592,0.4729,0.3743,0.4549,0.2569,0.3087,0.3232,0.2429,0.2935,0.2351,0.3338,0.3089,0.2642,0.3531,0.2851,0.3562,2413.9707
Don't Stop the Music,Rihanna,123.046875,-164.5688,72.5267,-5.0405,10.0134,5.4877,0.8689,12.4118,0.4851,8.4902,5.9795,-0.07,3.6298,-2.641,0.3591,0.4932,0.4425,0.3962,0.4299,0.4083,0.5036,0.4159,0.4862,0.4869,0.3433,0.3387,0.275,0.3212,0.3189,0.2973,0.329,0.3067,0.3535,0.2979,0.323,0.3318,0.2737,0.2986,2893.5586
Pocketful of Sunshine,Natasha Bedingfield,112.34714673913044,-54.5947,81.8079,0.4812,13.8382,1.8505,-0.5952,4.915,6.2478,3.6855,5.6824,-5.3198,-2.6429,-2.7987,0.4137,0.2421,0.3087,0.2408,0.3713,0.2931,0.2894,0.404,0.2908,0.4956,0.3089,0.436,0.3293,0.2055,0.3095,0.2107,0.315,0.2853,0.255,0.3327,0.2153,0.3604,0.2313,0.3278,2585.1374
Kiss Kiss,Chris Brown featuring T-Pain,135.99917763157896,-110.4341,68.3938,-1.6667,19.1057,8.701,6.3318,1.5859,4.1892,3.6026,5.9618,2.5522,3.553,1.6716,0.3512,0.384,0.4065,0.5354,0.4262,0.464,0.5281,0.4173,0.4026,0.4037,0.5429,0.382,0.2629,0.2665,0.2753,0.3459,0.286,0.2978,0.3302,0.2715,0.3076,0.2777,0.3105,0.2599,2623.2129
Closer,Ne-Yo,129.19921875,-79.3418,74.9039,7.8476,14.8582,7.2911,16.2318,4.8438,8.354,-6.9989,6.6114,-2.4018,-0.959,-4.6837,0.3667,0.3373,0.4295,0.3523,0.4895,0.3952,0.5211,0.5598,0.371,0.3628,0.3209,0.3739,0.3045,0.2489,0.3039,0.2522,0.3567,0.2792,0.3122,0.3304,0.2675,0.312,0.2572,0.2868,2668.3077
Bubbly,Colbie Caillat,129.19921875,-156.0131,113.5868,12.8391,27.311,14.9527,4.4169,3.1914,-0.8815,-5.181,0.4817,-7.025,-5.7837,-6.6654,0.2403,0.3701,0.2837,0.2774,0.4023,0.1807,0.1763,0.1902,0.4033,0.5323,0.3028,0.3002,0.232,0.353,0.3214,0.2565,0.3399,0.1793,0.2347,0.2049,0.3118,0.3768,0.2297,0.3261,1653.2274
Touch My Body,Mariah Carey,78.30255681818181,-92.6553,83.27,5.4065,3.2747,5.742,-4.331,6.1514,-1.3558,-0.2169,10.128,-12.8587,1.2992,-8.8654,0.3052,0.3989,0.4482,0.2973,0.3837,0.3001,0.4263,0.3068,0.3607,0.5868,0.3526,0.3754,0.2755,0.2789,0.3319,0.2143,0.3356,0.234,0.342,0.2614,0.2644,0.3561,0.2799,0.3315,2645.3586
4 Minutes,Madonna featuring Justin Timberlake and Timbaland,112.34714673913044,-146.2973,89.8346,-13.9015,17.6229,4.3498,5.9297,2.2653,5.1905,-0.7808,4.5113,-2.3031,4.7532,-1.1085,0.4171,0.3671,0.5074,0.3861,0.3621,0.4308,0.4418,0.6464,0.5279,0.5702,0.5185,0.4279,0.2752,0.2307,0.3112,0.2242,0.2336,0.2563,0.2249,0.3029,0.2896,0.3068,0.2778,0.2402,2404.6619
So What,Pink,123.046875,-43.6907,61.4628,-14.8458,22.6703,8.4155,11.3532,2.8213,7.5492,-0.2508,9.5727,-2.2963,4.8447,-0.5612,0.3489,0.4862,0.3163,0.3005,0.4532,0.3415,0.4127,0.3614,0.4593,0.5708,0.3899,0.3856,0.2488,0.3279,0.2396,0.2211,0.3069,0.2371,0.3237,0.2639,0.2917,0.3391,0.261,0.2977,2809.2219
Paralyzer,Finger Eleven,107.666015625,-14.249,77.6781,-6.0842,27.0808,-2.8416,5.8405,-1.112,1.2275,-3.8266,1.8445,-1.599,3.2867,-4.4501,0.3469,0.3688,0.392,0.3926,0.4931,0.3953,0.4482,0.4878,0.4066,0.3975,0.3881,0.444,0.2532,0.2777,0.2831,0.2866,0.3225,0.263,0.3102,0.3172,0.2764,0.3117,0.2715,0.3174,2656.1506
Clumsy,Fergie,92.28515625,-70.6077,89.4077,-12.2864,17.9629,1.2074,5.422,2.0653,5.0552,-0.7041,4.7276,-2.4668,1.5055,-0.8129,0.5637,0.4309,0.4133,0.3843,0.4979,0.309,0.3005,0.4391,0.3302,0.3202,0.3451,0.4833,0.3498,0.2999,0.3122,0.2648,0.3464,0.2465,0.2688,0.3277,0.2609,0.2946,0.2676,0.306,2282.6963
I'm Yours,Jason Mraz,151.99908088235293,-129.1752,97.2839,15.4403,22.8506,3.1142,2.0924,-0.4973,2.9238,-5.099,3.2001,-3.0132,2.0194,-6.8345,0.2542,0.277,0.266,0.3897,0.3357,0.3157,0.4227,0.2911,0.2894,0.232,0.3436,0.4247,0.2395,0.3186,0.2498,0.3458,0.318,0.2767,0.3555,0.2761,0.3142,0.2521,0.292,0.3633,2045.6167
Leavin',Jesse McCartney,78.30255681818181,-88.9274,72.9675,14.0126,31.0313,7.5563,5.2769,0.0364,6.6109,-0.5803,8.5438,0.095,4.6078,3.9541,0.3254,0.4524,0.3528,0.3779,0.5486,0.3947,0.3723,0.3153,0.4349,0.6173,0.3894,0.3679,0.2581,0.3285,0.2879,0.2775,0.3492,0.2753,0.3008,0.2429,0.2653,0.3457,0.2481,0.3006,2453.7129
Dangerous,Kardinal Offishall featuring Akon,117.45383522727273,-204.9837,61.5851,18.2927,21.8228,12.8298,7.7737,2.1112,8.9902,3.5758,9.6731,0.7108,6.3157,3.1789,0.3251,0.338,0.478,0.4164,0.4255,0.5043,0.4596,0.5172,0.4585,0.4805,0.4565,0.3178,0.2764,0.2384,0.3193,0.291,0.2923,0.343,0.2921,0.3245,0.308,0.3245,0.3216,0.2242,2955.2903
Tattoo,Jordin Sparks,112.34714673913044,-24.113,70.0631,12.3671,16.1985,1.9873,5.9763,2.0071,2.4523,0.1251,5.6427,-10.6718,-0.9436,-4.3751,0.2762,0.3202,0.4131,0.2721,0.2891,0.2475,0.4146,0.3474,0.3437,0.5428,0.3786,0.4235,0.232,0.2624,0.3433,0.2355,0.2842,0.2121,0.3346,0.3054,0.2469,0.3646,0.2525,0.3374,2976.9879
See You Again,Miley Cyrus,135.99917763157896,-44.7246,88.7673,-2.3206,31.0576,10.627,10.9965,13.2801,6.9331,8.7951,5.9861,-1.306,6.4584,0.2283,0.4545,0.3723,0.4015,0.3776,0.5119,0.4581,0.3561,0.4107,0.4475,0.5973,0.4615,0.448,0.3145,0.2594,0.3109,0.2645,0.3007,0.2943,0.2546,0.2926,0.252,0.3292,0.2514,0.2896,2343.8025
Shake It,Metro Station,151.99908088235293,-24.1314,59.601,0.1508,25.0427,-0.9962,8.1653,-0.8741,8.375,2.1673,10.1231,1.5097,3.8024,-0.9773,0.443,0.4759,0.4208,0.4905,0.6131,0.4679,0.5166,0.4078,0.517,0.4884,0.4536,0.5386,0.2606,0.2683,0.2771,0.2774,0.3025,0.2491,0.2991,0.2256,0.2832,0.2913,0.2495,0.2977,3068.8915
Stop and Stare,OneRepublic,92.28515625,-28.0386,82.8172,-8.8046,19.8305,3.1812,3.0088,-2.9477,3.0992,-1.7349,7.249,-1.2832,3.3044,-5.7085,0.2554,0.301,0.2386,0.3717,0.5044,0.2962,0.3802,0.2633,0.3947,0.2771,0.2714,0.3545,0.2306,0.3084,0.2285,0.2878,0.3659,0.2276,0.3497,0.2278,0.3373,0.2584,0.2461,0.3118,2505.0623
Take You There,Sean Kingston,112.34714673913044,-27.8208,57.0705,1.9666,21.133,2.4407,5.4019,-1.9043,6.4271,-3.0667,7.8068,0.0016,5.4865,-3.6115,0.5152,0.3778,0.3579,0.4222,0.3774,0.4568,0.3538,0.4968,0.5749,0.4275,0.4316,0.3937,0.3127,0.2546,0.2489,0.2918,0.2476,0.3146,0.2364,0.3022,0.3332,0.2812,0.313,0.2559,3159.8574
Paper Planes,M.I.A.,172.265625,-62.304,85.0148,-19.1388,31.074,8.7549,-3.258,5.1543,7.32,1.6673,5.9275,-5.3155,6.055,-1.6013,0.3236,0.4161,0.6758,0.4289,0.2552,0.2367,0.3352,0.4786,0.3836,0.385,0.2831,0.3025,0.2591,0.274,0.3392,0.2704,0.2254,0.2331,0.2545,0.368,0.3063,0.3061,0.2426,0.2623,2484.1942
