song_title,artist,tempo,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,chroma_mean_1,chroma_mean_2,chroma_mean_3,chroma_mean_4,chroma_mean_5,chroma_mean_6,chroma_mean_7,chroma_mean_8,chroma_mean_9,chroma_mean_10,chroma_mean_11,chroma_mean_12,chroma_std_1,chroma_std_2,chroma_std_3,chroma_std_4,chroma_std_5,chroma_std_6,chroma_std_7,chroma_std_8,chroma_std_9,chroma_std_10,chroma_std_11,chroma_std_12,spectral_centroid
Too Close,Next,99.38401442307692,-153.5467,64.3458,22.8682,22.1724,6.4399,6.7344,-4.8733,2.134,-6.7653,4.4844,-3.2256,2.2705,1.9247,0.2555,0.3101,0.3201,0.2826,0.3798,0.3476,0.4204,0.3618,0.4414,0.5948,0.3703,0.3153,0.2638,0.2981,0.3128,0.2627,0.3277,0.2962,0.3518,0.29,0.288,0.3688,0.259,0.2908,2899.2773
The Boy Is Mine,Brandy and Monica,92.28515625,-84.3452,70.0901,24.025,18.8335,8.2625,-1.3091,4.3144,-4.4955,-3.4465,3.6579,-13.3036,-4.1399,-8.7541,0.3221,0.4165,0.3019,0.3638,0.3852,0.2577,0.317,0.3171,0.4799,0.412,0.3174,0.3394,0.2704,0.35,0.26,0.3,0.3167,0.2241,0.3087,0.252,0.3289,0.3147,0.2642,0.3211,3040.1175
You're Still the One,Shania Twain,135.99917763157896,-67.1691,80.0123,-1.5695,20.7392,2.4108,7.092,-1.9662,0.5014,-4.4323,6.403,-6.627,-0.7743,-4.3372,0.2,0.1852,0.3621,0.4518,0.2523,0.3626,0.2528,0.3155,0.2901,0.3071,0.4071,0.1991,0.2603,0.2021,0.3235,0.3714,0.2154,0.3552,0.236,0.3247,0.3082,0.2852,0.3443,0.2106,2529.0059
Truly Madly Deeply,Savage Garden,83.35433467741936,-94.3005,88.0339,10.1038,29.4956,9.3094,7.8296,-1.974,7.3745,-1.5244,6.0584,-2.1277,0.9623,-2.2617,0.5472,0.3687,0.3694,0.2715,0.2816,0.2681,0.274,0.485,0.3374,0.2917,0.2486,0.359,0.3613,0.2659,0.3378,0.2578,0.2884,0.2726,0.2234,0.3396,0.247,0.2748,0.2339,0.2759,2284.4874
How Do I Live,LeAnn Rimes,129.19921875,-126.884,80.709,11.1985,30.5492,12.0592,5.3583,10.8752,4.0882,2.8953,10.2929,-6.3813,2.8236,-2.7482,0.2131,0.3065,0.3419,0.2769,0.3533,0.2602,0.3556,0.2922,0.3908,0.4818,0.2861,0.2896,0.2081,0.2743,0.3325,0.2594,0.3271,0.2499,0.3407,0.2683,0.3011,0.371,0.2282,0.2914,2412.3883
Together Again,Janet,123.046875,-109.9201,54.0993,31.7896,35.0113,10.3283,17.7019,11.4167,8.715,3.7577,11.1668,-3.7741,3.7288,-1.3137,0.4921,0.3973,0.4318,0.4671,0.5021,0.4838,0.4812,0.5682,0.514,0.523,0.525,0.5068,0.3083,0.254,0.2851,0.2953,0.3236,0.3229,0.288,0.3027,0.2773,0.285,0.2737,0.2762,2957.3289
All My Life,K-Ci & JoJo,129.19921875,-133.51,72.1686,16.3515,22.3566,3.6327,4.2737,-1.5457,3.3123,-2.2966,4.1576,-1.2849,-0.7533,-2.2882,0.4543,0.4936,0.3149,0.3501,0.2994,0.4242,0.337,0.3462,0.4879,0.362,0.3969,0.3345,0.307,0.3308,0.2366,0.3043,0.2364,0.3336,0.2847,0.2609,0.3493,0.2785,0.3237,0.2677,2685.6766
Candle in the Wind 1997 / Something About the Way You Look Tonight,Elton John,129.19921875,-140.9708,134.6586,-28.5695,16.3498,-2.1874,-10.7164,-9.4421,-7.2046,-23.2744,-11.156,-14.2406,-9.8665,-7.471,0.2053,0.2386,0.157,0.2556,0.3905,0.1866,0.2237,0.171,0.3921,0.377,0.2266,0.498,0.1624,0.3008,0.1806,0.2349,0.3389,0.1776,0.2994,0.1791,0.3381,0.3517,0.1628,0.3819,1601.1963
Nice & Slow,Usher,123.046875,-179.1133,86.4989,19.3716,14.8824,11.1653,1.5514,-4.9321,1.8699,-8.5598,5.3814,-2.1323,-0.1965,-1.9439,0.4819,0.3124,0.2994,0.4098,0.3068,0.379,0.2348,0.2688,0.3764,0.3211,0.4182,0.3657,0.3641,0.2774,0.2752,0.3486,0.2576,0.3409,0.222,0.249,0.344,0.2746,0.3514,0.2858,2461.6297
I Don't Want to Wait,Paula Cole,172.265625,-104.0523,97.7487,2.7531,15.2135,7.0972,7.9482,0.4466,6.0628,-7.4234,9.6391,-4.6884,3.3194,-0.064,0.3151,0.4927,0.269,0.2612,0.2826,0.3385,0.517,0.3519,0.3855,0.289,0.3494,0.3418,0.2731,0.3639,0.2347,0.2611,0.3039,0.2708,0.3538,0.2655,0.3197,0.2542,0.3158,0.3294,2159.8284
