song_title,artist,tempo,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,chroma_mean_1,chroma_mean_2,chroma_mean_3,chroma_mean_4,chroma_mean_5,chroma_mean_6,chroma_mean_7,chroma_mean_8,chroma_mean_9,chroma_mean_10,chroma_mean_11,chroma_mean_12,chroma_std_1,chroma_std_2,chroma_std_3,chroma_std_4,chroma_std_5,chroma_std_6,chroma_std_7,chroma_std_8,chroma_std_9,chroma_std_10,chroma_std_11,chroma_std_12,spectral_centroid
The Sign,Ace of Base,95.703125,-82.1524,61.9595,29.9143,9.742,6.3234,10.4528,8.9063,8.1439,5.5177,10.8416,0.9831,1.2778,-5.8443,0.343,0.3184,0.3984,0.363,0.3797,0.3902,0.4913,0.6336,0.45,0.4411,0.4112,0.386,0.2879,0.2474,0.2999,0.277,0.3074,0.2744,0.2799,0.3383,0.2781,0.3062,0.3025,0.2792,3194.4451
I Swear,All-4-One,83.35433467741936,-129.7465,100.1288,14.7219,14.4392,8.5595,8.4816,-1.4715,6.7783,-2.5216,8.8475,-2.0094,3.3878,-3.715,0.2447,0.3305,0.4158,0.314,0.4213,0.3117,0.4304,0.297,0.3506,0.4613,0.3001,0.3503,0.2099,0.2659,0.342,0.2328,0.3521,0.2389,0.3331,0.2567,0.2697,0.3411,0.2207,0.3095,2267.6774
I'll Make Love to You,Boyz II Men,143.5546875,-78.0569,85.7841,3.8478,23.023,6.4542,12.7142,-2.2888,1.4177,-0.5508,2.8307,-0.618,2.031,-1.037,0.2764,0.3563,0.4328,0.3281,0.4154,0.3442,0.432,0.3535,0.3288,0.4738,0.3359,0.3403,0.26,0.2724,0.3346,0.2375,0.3185,0.2598,0.3228,0.2881,0.2536,0.3433,0.2671,0.3111,2395.344
The Power of Love,Celine Dion,69.83741554054055,-89.6696,80.4254,-11.7836,19.5497,-2.6933,2.9834,-1.0483,-1.2345,-3.8861,1.2298,-8.9624,-0.1565,-6.0529,0.3224,0.2572,0.2513,0.3866,0.2371,0.3052,0.1686,0.2655,0.4248,0.2526,0.3398,0.2182,0.3386,0.2983,0.2645,0.3681,0.2257,0.3552,0.1876,0.2658,0.3848,0.2335,0.3588,0.2187,2464.427
Hero,Mariah Carey,117.45383522727273,-190.0136,97.0625,26.3761,10.4238,7.0944,0.5723,-1.8892,-0.0483,-8.4513,4.0483,-11.625,2.0604,-7.9074,0.2286,0.2304,0.1924,0.3118,0.5378,0.2474,0.2954,0.2377,0.2753,0.2291,0.2186,0.3861,0.2345,0.2811,0.237,0.266,0.3867,0.2109,0.3241,0.2699,0.2985,0.2788,0.2198,0.3568,2330.3265
Stay (I Missed You),Lisa Loeb and Nine Stories,80.74951171875,-136.4534,100.5239,17.4601,34.0376,14.6592,10.2235,2.5334,3.0137,-0.0363,0.4978,-1.9112,0.8288,-2.4763,0.3298,0.5655,0.3687,0.3846,0.3364,0.3919,0.3484,0.3001,0.4922,0.3147,0.2682,0.2176,0.2477,0.3378,0.245,0.3248,0.2636,0.3207,0.3201,0.2599,0.3406,0.2282,0.2894,0.2134,1986.3282
Breathe Again,Toni Braxton,151.99908088235293,-86.3614,84.3452,23.4372,31.0919,11.5911,9.5604,-3.1473,7.0905,-4.6866,11.0017,-2.2513,-0.0091,0.3293,0.5584,0.4189,0.3783,0.3452,0.4203,0.4302,0.3506,0.4856,0.4006,0.3837,0.3259,0.4004,0.3308,0.2824,0.3033,0.2688,0.2904,0.3127,0.2503,0.3258,0.2703,0.3181,0.2576,0.2753,2435.4089
All for Love,"Bryan Adams, Rod Stewart and Sting",151.99908088235293,-80.5511,99.0061,-2.0702,19.7227,3.1458,8.8389,-2.0192,0.1103,-2.3965,3.0602,-2.4808,-0.3125,-5.712,0.2159,0.3189,0.4968,0.3159,0.338,0.3016,0.4364,0.3689,0.3156,0.4663,0.31,0.3068,0.217,0.2609,0.36,0.2425,0.2956,0.2478,0.3234,0.3047,0.2392,0.3454,0.2464,0.2961,2187.5863
All That She Wants,Ace of Base,184.5703125,-133.8972,63.1903,31.8475,19.1827,5.2921,8.7562,2.7239,3.6437,5.5876,9.54,6.9363,7.9512,4.2756,0.4553,0.6047,0.4103,0.3633,0.3931,0.3619,0.4091,0.4188,0.4541,0.373,0.3519,0.3992,0.2973,0.3424,0.2576,0.2796,0.3243,0.2997,0.3314,0.3043,0.3372,0.305,0.2819,0.3084,2804.9249
Don't Turn Around,Ace of Base,95.703125,-123.8355,67.8585,9.4936,17.804,9.6807,19.085,9.0043,10.8391,3.8554,9.722,0.5263,5.9121,-2.4935,0.4145,0.4221,0.4482,0.3873,0.4681,0.4552,0.5793,0.493,0.3924,0.431,0.4096,0.5048,0.2674,0.277,0.3131,0.2656,0.3191,0.2911,0.3181,0.2903,0.2656,0.3079,0.2628,0.312,2664.0793
