song_title,artist,tempo,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,chroma_mean_1,chroma_mean_2,chroma_mean_3,chroma_mean_4,chroma_mean_5,chroma_mean_6,chroma_mean_7,chroma_mean_8,chroma_mean_9,chroma_mean_10,chroma_mean_11,chroma_mean_12,chroma_std_1,chroma_std_2,chroma_std_3,chroma_std_4,chroma_std_5,chroma_std_6,chroma_std_7,chroma_std_8,chroma_std_9,chroma_std_10,chroma_std_11,chroma_std_12,spectral_centroid
Old Town Road,Lil Nas X featuring Billy Ray Cyrus,135.99917763157896,-112.4247,78.778,6.9168,9.6884,9.5304,-2.3244,-3.2965,-1.4783,-14.7579,5.5781,-9.182,1.7289,-2.7872,0.3858,0.4433,0.3573,0.4147,0.3199,0.3192,0.4049,0.4166,0.6264,0.4692,0.4338,0.4373,0.2995,0.3359,0.2691,0.321,0.264,0.2833,0.31,0.2695,0.3514,0.3177,0.3313,0.3247,2452.9034
Sunflower,Post Malone and Swae Lee,89.10290948275862,-97.7616,109.339,11.0221,17.7056,-5.6255,2.5908,-0.3432,-1.5974,-1.7885,1.6447,-4.0282,2.7085,-3.6171,0.2275,0.2988,0.5079,0.3034,0.3838,0.2487,0.3995,0.3085,0.2466,0.3384,0.2525,0.3833,0.2369,0.2521,0.3775,0.226,0.3548,0.2125,0.3416,0.2871,0.2208,0.322,0.2141,0.3465,1964.7183
Without Me,Halsey,135.99917763157896,-124.2399,97.7172,14.5582,12.4503,6.4925,-1.4151,2.5673,-2.4024,2.7253,-2.8976,-5.0981,0.4077,-8.2016,0.3082,0.3301,0.2503,0.3309,0.2456,0.3423,0.4614,0.3315,0.4715,0.3164,0.3914,0.3929,0.2822,0.3163,0.2393,0.3231,0.251,0.303,0.3542,0.2524,0.3786,0.2486,0.335,0.358,2068.2185
Bad Guy,Billie Eilish,135.99917763157896,-194.7363,102.7424,30.0819,34.0816,21.8114,13.4257,5.9994,5.232,4.8654,4.621,2.3569,2.5751,1.1352,0.4631,0.4522,0.4883,0.4381,0.3844,0.389,0.4292,0.5006,0.4931,0.5032,0.5017,0.4448,0.3395,0.2967,0.3232,0.2993,0.2815,0.3021,0.2919,0.3427,0.3408,0.3386,0.3169,0.2796,1639.3625
Wow,Post Malone,99.38401442307692,-216.4949,115.8424,9.0137,14.9735,7.9781,7.1717,3.1124,4.2195,-3.5255,-0.1064,1.2729,2.6843,3.5894,0.3986,0.5803,0.4766,0.3881,0.4376,0.4332,0.4084,0.3902,0.4695,0.4827,0.4086,0.426,0.2701,0.34,0.3116,0.2847,0.3353,0.3406,0.3448,0.3355,0.3579,0.3556,0.2826,0.3199,1565.9328
Happier,Marshmello and Bastille,99.38401442307692,-20.8097,77.9124,-5.8538,13.4445,2.1162,-3.4727,2.3322,-0.7512,-7.4915,0.1685,-2.5886,-1.7322,-1.2322,0.4125,0.2999,0.3569,0.2865,0.4033,0.5211,0.3168,0.376,0.3153,0.4263,0.3193,0.2984,0.3372,0.2437,0.3146,0.24,0.2882,0.3662,0.2291,0.334,0.2483,0.3306,0.2903,0.2578,2594.8959
7 Rings,Ariana Grande,69.83741554054055,-167.5406,86.5627,19.3604,15.5452,4.9219,-2.3068,5.7476,-9.9819,4.5833,-1.7351,-9.5378,2.875,-4.4476,0.327,0.4391,0.2614,0.2948,0.3247,0.2624,0.3439,0.3622,0.5198,0.4176,0.3033,0.2741,0.2849,0.3669,0.2387,0.2929,0.324,0.2724,0.3612,0.303,0.381,0.3593,0.2989,0.2895,2161.3505
Talk,Khalid,135.99917763157896,-156.1832,69.9175,3.3931,6.7914,10.0245,2.8376,-1.204,4.8665,-4.2134,3.7271,2.3123,3.7173,1.699,0.4418,0.3554,0.4498,0.4075,0.553,0.4188,0.3671,0.4142,0.3385,0.4375,0.2972,0.3721,0.3418,0.2634,0.3447,0.2926,0.3616,0.3298,0.2882,0.3216,0.2494,0.3392,0.2314,0.2847,2551.7452
Sicko Mode,Travis Scott,151.99908088235293,-87.661,72.8445,12.1405,15.1895,10.9465,12.1645,-3.4137,7.1576,0.2223,7.5806,0.5285,2.1613,-2.6923,0.4181,0.407,0.4597,0.4698,0.4409,0.4707,0.4817,0.4358,0.4798,0.5661,0.5316,0.4393,0.3044,0.2741,0.3022,0.291,0.3026,0.326,0.3146,0.2867,0.3109,0.305,0.3126,0.3114,2782.8089
Sucker,Jonas Brothers,135.99917763157896,-44.5803,77.53,-6.9366,19.1049,4.2555,13.5544,2.1459,10.3145,-1.1256,5.8339,-3.4004,3.6993,-1.7607,0.4561,0.5434,0.4063,0.4009,0.4114,0.3556,0.404,0.3807,0.4163,0.3522,0.3675,0.4296,0.2902,0.3451,0.2802,0.2941,0.3269,0.2631,0.3305,0.289,0.3168,0.28,0.2785,0.321,2468.2798
