Song Name,Artist Name
Happy,Pharrell Williams
Dark Horse,Katy Perry featuring Juicy J
All of Me,John Legend
Fancy,Iggy Azalea featuring Charli XCX
Counting Stars,OneRepublic
Talk Dirty,Jason Derulo featuring 2 Chainz
Rude,Magic!
All About That Bass,Meghan Trainor
Problem,Ariana Grande featuring Iggy Azalea
Stay with Me,Sam Smith
Timber,Pitbull featuring Kesha
Pompeii,Bastille
Shake It Off,Taylor Swift
Am I Wrong,Nico & Vinz
Turn Down for What,DJ Snake and Lil Jon
The Monster,Eminem featuring Rihanna
Say Something,A Great Big World and Christina Aguilera
Team,Lorde
Let Her Go,Passenger
Royals,Lorde
Let It Go,Idina Menzel
Wake Me Up,Avicii
Demons,Imagine Dragons
Story of My Life,One Direction
Chandelier,Sia
Black Widow,Iggy Azalea featuring Rita Ora
Bang Bang,"Jessie J, Ariana Grande and Nicki Minaj"
Latch,Disclosure featuring Sam Smith
Maps,Maroon 5
Loyal,Chris Brown featuring Lil Wayne and French Montana or Too Short or Tyga
Best Day of My Life,American Authors
Habits (Stay High),Tove Lo
Summer,Calvin Harris
Boom Clap,Charli XCX
Drunk in Love,Beyoncé featuring Jay-Z
Anaconda,Nicki Minaj
Break Free,Ariana Grande featuring Zedd
Bailando,Enrique Iglesias featuring Descemer Bueno and Gente de Zona
Burn,Ellie Goulding
Wiggle,Jason Derulo featuring Snoop Dogg
Rather Be,Clean Bandit featuring Jess Glynne
Don't Tell 'Em,Jeremih featuring YG
Show Me,Kid Ink featuring Chris Brown
Wrecking Ball,Miley Cyrus
Not a Bad Thing,Justin Timberlake
Roar,Katy Perry
Ain't It Fun,Paramore
The Man,Aloe Blacc
This Is How We Roll,Florida Georgia Line featuring Luke Bryan
Classic,MKTO
A Sky Full of Stars,Coldplay
Don't,Ed Sheeran
Na Na,Trey Songz
Hot Boy,Bobby Shmurda
"Hold On, We're Going Home",Drake featuring Majid Jordan
Sing,Ed Sheeran
Radioactive,Imagine Dragons
My Hitta,YG featuring Jeezy and Rich Homie Quan
Cool Kids,Echosmith
Hey Brother,Avicii
Trumpets,Jason Derulo
Animals,Maroon 5
Burnin' It Down,Jason Aldean
Play It Again,Luke Bryan
2 On,Tinashe featuring ScHoolboy Q
Dirt,Florida Georgia Line
Love Runs Out,OneRepublic
Bottoms Up,Brantley Gilbert
Shower,Becky G
Me and My Broken Heart,Rixton
Animals,Martin Garrix
Lifestyle,Rich Gang featuring Young Thug and Rich Homie Quan
American Kids,Kenny Chesney
Brave,Sara Bareilles
Sweater Weather,The Neighbourhood
Leave the Night On,Sam Hunt
New Flame,Chris Brown featuring Usher and Rick Ross
Love Never Felt So Good,Michael Jackson and Justin Timberlake
Drunk on a Plane,Dierks Bentley
Birthday,Katy Perry
Bartender,Lady Antebellum
La La La,Naughty Boy featuring Sam Smith
Blurred Lines,Robin Thicke featuring T.I. and Pharrell Williams
Do What U Want,Lady Gaga featuring R. Kelly
Can't Remember to Forget You,Shakira featuring Rihanna
Amnesia,5 Seconds of Summer
No Mediocre,T.I. featuring Iggy Azalea
Come with Me Now,KONGOS
Believe Me,Lil Wayne featuring Drake
23,"Mike WiLL Made-It featuring Miley Cyrus, Wiz Khalifa, and Juicy J"
Beachin',Jake Owen
White Walls,Macklemore & Ryan Lewis featuring ScHoolboy Q and Hollis
She Looks So Perfect,5 Seconds of Summer
Stay the Night,Zedd featuring Hayley Williams
Partition,Beyoncé
Studio,ScHoolboy Q featuring BJ the Chicago Kid
0 to 100 / The Catch Up,Drake
I Don't Dance,Lee Brice
Somethin' Bad,Miranda Lambert and Carrie Underwood
Adore You,Miley Cyrus
