Song Name,Artist Name
Last Night,Morgan Wallen
Flowers,Miley Cyrus
Kill Bill,SZA
Anti-Hero,Taylor Swift
Creepin',"Metro Boomin, the Weeknd and 21 Savage"
Calm Down,Rema and Selena Gomez
Die for You,The Weeknd and Ariana Grande
Fast Car,Luke Combs
Snooze,SZA
I'm Good (Blue),David Guetta and Bebe Rexha
Unholy,Sam Smith and Kim Petras
You Proof,Morgan Wallen
Something in the Orange,Zach Bryan
Rich Flex,Drake and 21 Savage
As It Was,Harry Styles
Rock and a Hard Place,Bailey Zimmerman
Under the Influence,Chris Brown
Cruel Summer,Taylor Swift
Thinkin' Bout Me,Morgan Wallen
Boy's a Liar Pt. 2,PinkPantheress and Ice Spice
Favorite Song,Toosii
Thought You Should Know,Morgan Wallen
Thank God,Kane Brown and Katelyn Brown
Sure Thing,Miguel
All My Life,Lil Durk featuring J. Cole
Ella Baila Sola,Eslabon Armado and Peso Pluma
Karma,Taylor Swift featuring Ice Spice
Just Wanna Rock,Lil Uzi Vert
Cuff It,Beyoncé
Vampire,Olivia Rodrigo
FukUMean,Gunna
Lavender Haze,Taylor Swift
Players,Coi Leray
Need a Favor,Jelly Roll
Dance the Night,Dua Lipa
Love You Anyway,Luke Combs
One Thing at a Time,Morgan Wallen
Superhero (Heroes & Villains),"Metro Boomin, Future and Chris Brown"
Bad Habit,Steve Lacy
La Bebé,Yng Lvcas and Peso Pluma
Golden Hour,Jvke
Religiously,Bailey Zimmerman
Spin Bout U,Drake and 21 Savage
Cupid,Fifty Fifty
Search & Rescue,Drake
Barbie World,Nicki Minaj and Ice Spice with Aqua
Next Thing You Know,Jordan Davis
Escapism,Raye featuring 070 Shake
Un x100to,Grupo Frontera and Bad Bunny
Until I Found You,Stephen Sanchez
Shirt,SZA
Paint the Town Red,Doja Cat
Made You Look,Meghan Trainor
Wait in the Truck,Hardy featuring Lainey Wilson
All I Want for Christmas Is You,Mariah Carey
Everything I Love,Morgan Wallen
Chemical,Post Malone
Heart Like a Truck,Lainey Wilson
"Going, Going, Gone",Luke Combs
Rockin' Around the Christmas Tree,Brenda Lee
Dancin' in the Country,Tyler Hubbard
Daylight,David Kushner
Lift Me Up,Rihanna
Eyes Closed,Ed Sheeran
TQG,Karol G and Shakira
Try That in a Small Town,Jason Aldean
Tennessee Orange,Megan Moroney
Jingle Bell Rock,Bobby Helms
Princess Diana,Ice Spice and Nicki Minaj
Tomorrow 2,GloRilla and Cardi B
A Holly Jolly Christmas,Burl Ives
Where She Goes,Bad Bunny
Bebe Dame,Fuerza Regida and Grupo Frontera
I Remember Everything,Zach Bryan featuring Kacey Musgraves
I Like You (A Happier Song),Post Malone featuring Doja Cat
What It Is (Block Boy),Doechii featuring Kodak Black
Nobody Gets Me,SZA
Rich Men North of Richmond,Oliver Anthony Music
Super Freaky Girl,Nicki Minaj
Dial Drunk,Noah Kahan and Post Malone
What Was I Made For?,Billie Eilish
Seven,Jung Kook featuring Latto
Wait for U,Future featuring Drake and Tems
Last Christmas,Wham!
Handle on You,Parker McCollum
Por Las Noches,Peso Pluma
Memory Lane,Old Dominion
Area Codes,Kaliii
Bury Me in Georgia,Kane Brown
PRC,Peso Pluma and Natanael Cano
What My World Spins Around,Jordan Davis
Ain't That Some,Morgan Wallen
Wild as Her,Corey Kent
Peaches & Eggplants,Young Nudy featuring 21 Savage
I Wrote the Book,Morgan Wallen
"Bzrp Music Sessions, Vol. 53",Bizarrap and Shakira
Meltdown,Travis Scott featuring Drake
Put It on da Floor Again,Latto featuring Cardi B
Bloody Mary,Lady Gaga
Watermelon Moonshine,Lainey Wilson
