Song Name,Artist Name
Hold On,Wilson Phillips
It Must Have Been Love,Roxette
Nothing Compares 2 U,Sinéad O'Connor
Poison,Bell Biv DeVoe
Vogue,Madonna
Vision of Love,Mariah Carey
Another Day in Paradise,Phil Collins
Hold On,En Vogue
Cradle of Love,Billy Idol
Blaze of Glory,Jon Bon Jovi
Do Me!,Bell Biv DeVoe
How Am I Supposed to Live Without You,Michael Bolton
Pump Up the Jam,Technotronic
Opposites Attract,Paula Abdul
Escapade,Janet Jackson
All I Wanna Do Is Make Love to You,Heart
Close to You,Maxi Priest
Black Velvet,Alannah Myles
Release Me,Wilson Phillips
Don't Know Much,Linda Ronstadt featuring Aaron Neville
All Around the World,Lisa Stansfield
I Wanna Be Rich,Calloway
Rub You the Right Way,Johnny Gill
She Ain't Worth It,Glenn Medeiros featuring Bobby Brown
If Wishes Came True,Sweet Sensation
The Power,Snap!
(Can't Live Without Your) Love and Affection,Nelson
Love Will Lead You Back,Taylor Dayne
Don't Wanna Fall in Love,Jane Child
Two to Make It Right,Seduction
Sending All My Love,Linear
Unskinny Bop,Poison
Step by Step,New Kids on the Block
Dangerous,Roxette
We Didn't Start the Fire,Billy Joel
I Don't Have the Heart,James Ingram
Downtown Train,Rod Stewart
Rhythm Nation,Janet Jackson
I'll Be Your Everything,Tommy Page
Roam,The B-52's
Everything,Jody Watley
Back to Life (However Do You Want Me),Soul II Soul featuring Caron Wheeler
Here and Now,Luther Vandross
Alright,Janet Jackson
Ice Ice Baby,Vanilla Ice
Blame It on the Rain,Milli Vanilli
Have You Seen Her,MC Hammer
With Every Beat of My Heart,Taylor Dayne
Come Back to Me,Janet Jackson
No More Lies,Michel'le
Praying for Time,George Michael
How Can We Be Lovers,Michael Bolton
Do You Remember?,Phil Collins
Ready or Not,After 7
U Can't Touch This,MC Hammer
I Wish It Would Rain Down,Phil Collins
Just Between You and Me,Lou Gramm
Something Happened on the Way to Heaven,Phil Collins
Black Cat,Janet Jackson
Can't Stop,After 7
Janie's Got a Gun,Aerosmith
The Humpty Dance,Digital Underground
I'll Be Your Shelter,Taylor Dayne
Free Fallin',Tom Petty
Giving You the Benefit,Pebbles
Enjoy the Silence,Depeche Mode
Love Song,Tesla
Price of Love,Bad English
Girls Nite Out,Tyler Collins
King of Wishful Thinking,Go West
What Kind of Man Would I Be?,Chicago
I Remember You,Skid Row
Get Up! (Before the Night Is Over),Technotronic featuring Ya Kid K
Here We Are,Gloria Estefan
Epic,Faith No More
Love Takes Time,Mariah Carey
Just Like Jesse James,Cher
Love Shack,The B-52's
All or Nothing,Milli Vanilli
Romeo,Dino
Everybody Everybody,Black Box
I Go to Extremes,Billy Joel
Whip Appeal,Babyface
Oh Girl,Paul Young
C'mon and Get My Love,D Mob with Cathy Dennis
(It's Just) The Way That You Love Me,Paula Abdul
We Can't Go Wrong,The Cover Girls
When I'm Back on My Feet Again,Michael Bolton
Make You Sweat,Keith Sweat
This One's for the Children,New Kids on the Block
What It Takes,Aerosmith
Forever,Kiss
Jerk Out,The Time
Just a Friend,Biz Markie
Whole Wide World,A'me Lorain
Without You,Mötley Crüe
Swing the Mood,Jive Bunny and the Mastermixers
Thieves in the Temple,Prince
Mentirosa,Mellow Man Ace
Tic-Tac-Toe,Kyper
