Song Name,Artist Name
The Sign,Ace of Base
I Swear,All-4-One
I'll Make Love to You,Boyz II Men
The Power of Love,Celine Dion
Hero,Mariah Carey
Stay (I Missed You),Lisa Loeb and Nine Stories
Breathe Again,Toni Braxton
All for Love,"Bryan Adams, Rod Stewart and Sting"
All That She Wants,Ace of Base
Don't Turn Around,Ace of Base
Bump n' Grind,R. Kelly
Again,Janet Jackson
I'll Remember,Madonna
Whatta Man,Salt-n-Pepa featuring En Vogue
Wild Night,John Mellencamp with Meshell Ndegeocello
Without You / Never Forget You,Mariah Carey
You Mean the World to Me,Toni Braxton
Can You Feel the Love Tonight,Elton John
The Most Beautiful Girl in the World,Prince
Fantastic Voyage,Coolio
"Baby, I Love Your Way",Big Mountain
Regulate,Warren G and Nate Dogg
If You Go,Jon Secada
Back & Forth,Aaliyah
Now and Forever,Richard Marx
When Can I See You,Babyface
Please Forgive Me,Bryan Adams
So Much in Love,All-4-One
Shoop,Salt-n-Pepa
"Any Time, Any Place / And On and On",Janet Jackson
Shine,Collective Soul
Said I Loved You...But I Lied,Michael Bolton
Return to Innocence,Enigma
All I Wanna Do,Sheryl Crow
Mmm Mmm Mmm Mmm,Crash Test Dummies
Can We Talk,Tevin Campbell
Funkdafied,Da Brat
I'd Do Anything for Love (But I Won't Do That),Meat Loaf
Gangsta Lean,DRS
Because the Night,"10,000 Maniacs"
Cantaloop (Flip Fantasia),Us3
Whoomp! (There It Is),Tag Team
Come to My Window,Melissa Etheridge
Stroke You Up,Changing Faces
I'm Ready,Tevin Campbell
100% Pure Love,Crystal Waters
Anytime You Need a Friend,Mariah Carey
Because of Love,Janet Jackson
Linger,The Cranberries
Loser,Beck
Found Out About You,Gin Blossoms
Gin and Juice,Snoop Doggy Dogg
Never Lie,Immature
Streets of Philadelphia,Bruce Springsteen
Getto Jam,Domino
Endless Love,Luther Vandross & Mariah Carey
I Miss You,Aaron Hall
Understanding,Xscape
This D.J.,Warren G
Cry for You,Jodeci
Keep Ya Head Up,2Pac
What's My Name?,Snoop Doggy Dogg
Another Night,Real McCoy
Your Body's Callin',R. Kelly
Tootsee Roll,69 Boyz
I Can See Clearly Now (from Cool Runnings),Jimmy Cliff
Never Keeping Secrets,Babyface
Crazy,Aerosmith
Just Kickin' It,Xscape
(At Your Best) You Are Love,Aaliyah
Rock and Roll Dreams Come Through,Meat Loaf
Amazing,Aerosmith
Always,Erasure
Groove Thang,Zhané
Dreams,Gabrielle
Mr. Vain,Culture Beat
Mary Jane's Last Dance,Tom Petty and the Heartbreakers
Anything,SWV
Beautiful in My Eyes,Joshua Kadison
Stay,Eternal
Flava in Ya Ear,Craig Mack
U.N.I.T.Y.,Queen Latifah
Prayer for the Dying,Seal
Secret,Madonna
Here Comes the Hotstepper,Ini Kamoze
Everyday,Phil Collins
Don't Take the Girl,Tim McGraw
Got Me Waiting,Heavy D & the Boyz
"December, 1963 (Oh, What a Night)",The Four Seasons
Indian Outlaw,Tim McGraw
Always,Bon Jovi
I'm the Only One,Melissa Etheridge
Back in the Day,Ahmad
Love Sneakin' Up On You,Bonnie Raitt
I'll Take You There (from Threesome),General Public
Always in My Heart,Tevin Campbell
What Is Love,Haddaway
And Our Feelings,Babyface
Bop Gun (One Nation),Ice Cube featuring George Clinton
I Wanna Be Down,Brandy
