Song Name,Artist Name
Somebody That I Used to Know,Gotye featuring Kimbra
Call Me Maybe,Carly Rae Jepsen
We Are Young,Fun featuring Janelle Monáe
Payphone,Maroon 5 featuring Wiz Khalifa
Lights,Ellie Goulding
Glad You Came,The Wanted
Stronger (What Doesn't Kill You),Kelly Clarkson
We Found Love,Rihanna featuring Calvin Harris
Starships,Nicki Minaj
What Makes You Beautiful,One Direction
Wild Ones,Flo Rida featuring Sia
Set Fire to the Rain,Adele
Sexy and I Know It,LMFAO
Some Nights,Fun
Wide Awake,Katy Perry
Good Feeling,Flo Rida
Whistle,Flo Rida
One More Night,Maroon 5
Drive By,Train
The Motto,Drake featuring Lil Wayne
Where Have You Been,Rihanna
Everybody Talks,Neon Trees
Take Care,Drake featuring Rihanna
Titanium,David Guetta featuring Sia
I Won't Give Up,Jason Mraz
It Will Rain,Bruno Mars
Mercy,"Kanye West, Big Sean, Pusha T and 2 Chainz"
Boyfriend,Justin Bieber
Party Rock Anthem,LMFAO featuring Lauren Bennett and GoonRock
Too Close,Alex Clare
Part of Me,Katy Perry
"Young, Wild & Free",Snoop Dogg and Wiz Khalifa featuring Bruno Mars
We Are Never Ever Getting Back Together,Taylor Swift
As Long as You Love Me,Justin Bieber featuring Big Sean
Turn Me On,David Guetta featuring Nicki Minaj
Moves like Jagger,Maroon 5 featuring Christina Aguilera
Blow Me (One Last Kiss),Pink
Good Time,Owl City and Carly Rae Jepsen
Give Your Heart a Break,Demi Lovato
Niggas in Paris,Jay-Z and Kanye West
The One That Got Away,Katy Perry
Feel So Close,Calvin Harris
Someone like You,Adele
Scream,Usher
Rack City,Tyga
Domino,Jessie J
Gangnam Style,Psy
International Love,Pitbull featuring Chris Brown
Home,Phillip Phillips
Without You,David Guetta featuring Usher
Ass Back Home,Gym Class Heroes featuring Neon Hitch
Wanted,Hunter Hayes
Drunk on You,Luke Bryan
No Lie,2 Chainz featuring Drake
Want U Back,Cher Lloyd
Don't Wake Me Up,Chris Brown
Dance (A$$),Big Sean featuring Nicki Minaj
Springsteen,Eric Church
Brokenhearted,Karmin
Not Over You,Gavin DeGraw
Stereo Hearts,Gym Class Heroes featuring Adam Levine
Back in Time,Pitbull
Work Out,J. Cole
Rumour Has It,Adele
Let's Go,Calvin Harris featuring Ne-Yo
Good Girl,Carrie Underwood
Pontoon,Little Big Town
Ho Hey,The Lumineers
Paradise,Coldplay
Blown Away,Carrie Underwood
Rolling in the Deep,Adele
Climax,Usher
"Work Hard, Play Hard",Wiz Khalifa
Let Me Love You (Until You Learn to Love Yourself),Ne-Yo
Pound the Alarm,Nicki Minaj
Come Over,Kenny Chesney
Heart Attack,Trey Songz
Drank in My Cup,Kirko Bangz
Birthday Cake,Rihanna featuring Chris Brown
So Good,B.o.B
50 Ways to Say Goodbye,Train
Red Solo Cup,Toby Keith
Love You Like a Love Song,Selena Gomez & the Scene
Turn Up the Music,Chris Brown
Die Young,Kesha
5 O'Clock,T-Pain featuring Wiz Khalifa and Lily Allen
A Thousand Years,Christina Perri
Take a Little Ride,Jason Aldean
You da One,Rihanna
We Run the Night,Havana Brown featuring Pitbull
It's Time,Imagine Dragons
Cashin' Out,Cash Out
I Don't Want This Night to End,Luke Bryan
Diamonds,Rihanna
Hard to Love,Lee Brice
Somethin' 'Bout a Truck,Kip Moore
Adorn,Miguel
Fly Over States,Jason Aldean
Even If It Breaks Your Heart,Eli Young Band
Burn It Down,Linkin Park
