Song Name,Artist Name
Uptown Funk,Mark Ronson featuring Bruno Mars
Thinking Out Loud,Ed Sheeran
See You Again,Wiz Khalifa featuring Charlie Puth
Trap Queen,Fetty Wap
Sugar,Maroon 5
Shut Up and Dance,Walk the Moon
Blank Space,Taylor Swift
Watch Me,Silentó
Earned It,The Weeknd
The Hills,The Weeknd
Cheerleader (Felix Jaehn Remix),OMI
Can't Feel My Face,The Weeknd
Love Me Like You Do,Ellie Goulding
Take Me to Church,Hozier
Bad Blood,Taylor Swift featuring Kendrick Lamar
Lean On,Major Lazer and DJ Snake featuring MØ
Want to Want Me,Jason Derulo
Shake It Off,Taylor Swift
Where Are Ü Now,Jack Ü featuring Justin Bieber
Fight Song,Rachel Platten
679,Fetty Wap featuring Remy Boyz
Lips Are Movin,Meghan Trainor
Worth It,Fifth Harmony featuring Kid Ink
Post to Be,Omarion featuring Chris Brown and Jhené Aiko
"Honey, I'm Good.",Andy Grammer
I'm Not the Only One,Sam Smith
Good for You,Selena Gomez featuring ASAP Rocky
All About That Bass,Meghan Trainor
Style,Taylor Swift
Hotline Bling,Drake
Hey Mama,"David Guetta featuring Nicki Minaj, Bebe Rexha and Afrojack"
G.D.F.R.,Flo Rida featuring Sage the Gemini and Lookas
What Do You Mean?,Justin Bieber
Photograph,Ed Sheeran
Hello,Adele
Stitches,Shawn Mendes
Talking Body,Tove Lo
Jealous,Nick Jonas
Time of Our Lives,Pitbull and Ne-Yo
Locked Away,R. City featuring Adam Levine
Somebody,Natalie La Rose featuring Jeremih
FourFiveSeconds,"Rihanna, Kanye West and Paul McCartney"
Centuries,Fall Out Boy
My Way,Fetty Wap featuring Monty
Take Your Time,Sam Hunt
Animals,Maroon 5
I Don't Fuck with You,Big Sean featuring E-40
Bitch Better Have My Money,Rihanna
"Flex (Ooh, Ooh, Ooh)",Rich Homie Quan
Nasty Freestyle,T-Wayne
Only,"Nicki Minaj featuring Drake, Lil Wayne and Chris Brown"
Elastic Heart,Sia
Cool for the Summer,Demi Lovato
Renegades,X Ambassadors
I Don't Mind,Usher featuring Juicy J
Love Me Harder,Ariana Grande and The Weeknd
Wildest Dreams,Taylor Swift
Stay with Me,Sam Smith
You Know You Like It,DJ Snake and AlunaGeorge
Uma Thurman,Fall Out Boy
7/11,Beyoncé
The Heart Wants What It Wants,Selena Gomez
Girl Crush,Little Big Town
Slow Motion,Trey Songz
Drag Me Down,One Direction
Truffle Butter,Nicki Minaj featuring Drake and Lil Wayne
One Last Time,Ariana Grande
Chains,Nick Jonas
All Eyes on You,Meek Mill featuring Chris Brown and Nicki Minaj
No Type,Rae Sremmurd
Riptide,Vance Joy
Classic Man,Jidenna featuring Roman GianArthur
Ex's & Oh's,Elle King
Dear Future Husband,Meghan Trainor
Marvin Gaye,Charlie Puth featuring Meghan Trainor
Like I'm Gonna Lose You,Meghan Trainor featuring John Legend
Habits (Stay High),Tove Lo
The Hanging Tree,James Newton Howard featuring Jennifer Lawrence
CoCo,O.T. Genasis
Bang Bang,"Jessie J, Ariana Grande and Nicki Minaj"
Lay Me Down,Sam Smith
Tuesday,ILoveMakonnen featuring Drake
Hit the Quan,iLoveMemphis
Downtown,"Macklemore & Ryan Lewis featuring Eric Nally, Melle Mel, Kool Moe Dee and Grandmaster Caz"
House Party,Sam Hunt
Ayo,Chris Brown and Tyga
Kick the Dust Up,Luke Bryan
Blessings,Big Sean featuring Drake and Kanye West
Budapest,George Ezra
Chandelier,Sia
Heartbeat Song,Kelly Clarkson
Don't,Ed Sheeran
Ghost,Ella Henderson
Here,Alessia Cara
Waves (Robin Schulz Remix),Mr Probz
El Perdón,Nicky Jam and Enrique Iglesias
She Knows,Ne-Yo featuring Juicy J
Night Changes,One Direction
Back to Back,Drake
How Deep Is Your Love,Calvin Harris and Disciples
