Song Name,Artist Name
Heat Waves,Glass Animals
As It Was,Harry Styles
Stay,The Kid Laroi and Justin Bieber
Easy on Me,Adele
Shivers,Ed Sheeran
First Class,Jack Harlow
Big Energy,Latto
Ghost,Justin Bieber
Super Gremlin,Kodak Black
Cold Heart (Pnau Remix),Elton John and Dua Lipa
Wait for U,Future featuring Drake and Tems
About Damn Time,Lizzo
Bad Habits,Ed Sheeran
Thats What I Want,Lil Nas X
Enemy,Imagine Dragons and JID
Industry Baby,Lil Nas X and Jack Harlow
ABCDEFU,Gayle
Need to Know,Doja Cat
Wasted on You,Morgan Wallen
Me Porto Bonito,Bad Bunny and Chencho Corleone
Woman,Doja Cat
Tití Me Preguntó,Bad Bunny
Running Up That Hill (A Deal with God),Kate Bush
We Don't Talk About Bruno,"Carolina Gaitán, Mauro Castillo, Adassa, Rhenzy Feliz, Diane Guerrero, Stephanie Beatriz and the Encanto cast"
Late Night Talking,Harry Styles
I Like You (A Happier Song),Post Malone featuring Doja Cat
You Proof,Morgan Wallen
Bad Habit,Steve Lacy
Sunroof,Nicky Youre and Dazy
One Right Now,Post Malone and the Weeknd
Good 4 U,Olivia Rodrigo
Numb Little Bug,Em Beihold
Jimmy Cooks,Drake featuring 21 Savage
'Til You Can't,Cody Johnson
Fancy Like,Walker Hayes
The Kind of Love We Make,Luke Combs
I Ain't Worried,OneRepublic
Break My Soul,Beyoncé
Something in the Orange,Zach Bryan
Save Your Tears,The Weeknd and Ariana Grande
Smokin out the Window,Silk Sonic (Bruno Mars and Anderson .Paak)
Levitating,Dua Lipa
In a Minute,Lil Baby
Moscow Mule,Bad Bunny
You Right,Doja Cat and the Weeknd
She Had Me at Heads Carolina,Cole Swindell
Vegas,Doja Cat
Pushin P,Gunna and Future featuring Young Thug
Buy Dirt,Jordan Davis and Luke Bryan
I Hate U,SZA
Boyfriend,Dove Cameron
Glimpse of Us,Joji
Surface Pressure,Jessica Darrow
Fall in Love,Bailey Zimmerman
Love Nwantiti (Ah Ah Ah),CKay
Super Freaky Girl,Nicki Minaj
Hrs and Hrs,Muni Long
Sand in My Boots,Morgan Wallen
Mamiii,Becky G and Karol G
Knife Talk,Drake featuring 21 Savage and Project Pat
AA,Walker Hayes
Sweetest Pie,Megan Thee Stallion and Dua Lipa
Provenza,Karol G
Essence,Wizkid featuring Justin Bieber and Tems
All I Want for Christmas Is You,Mariah Carey
Bam Bam,Camila Cabello featuring Ed Sheeran
5 Foot 9,Tyler Hubbard
Get Into It (Yuh),Doja Cat
Efecto,Bad Bunny
Rock and a Hard Place,Bailey Zimmerman
Doin' This,Luke Combs
Oh My God,Adele
Better Days,"Neiked, Mae Muller and Polo G"
Meet Me at Our Spot,The Anxiety: Willow and Tyler Cole
Fingers Crossed,Lauren Spencer-Smith
All Too Well (Taylor's Version),Taylor Swift
Party,Bad Bunny and Rauw Alejandro
Después de la Playa,Bad Bunny
You Should Probably Leave,Chris Stapleton
Rockin' Around the Christmas Tree,Brenda Lee
Broadway Girls,Lil Durk featuring Morgan Wallen
Take My Name,Parmalee
What Happened to Virgil,Lil Durk featuring Gunna
Puffin on Zootiez,Future
Like I Love Country Music,Kane Brown
Jingle Bell Rock,Bobby Helms
Ojitos Lindos,Bad Bunny and Bomba Estéreo
Trouble with a Heartbreak,Jason Aldean
A Holly Jolly Christmas,Burl Ives
Kiss Me More,Doja Cat featuring SZA
She Likes It,Russell Dickerson featuring Jake Scott
Never Say Never,Cole Swindell and Lainey Wilson
Damn Strait,Scotty McCreery
She's All I Wanna Be,Tate McRae
Last Night Lonely,Jon Pardi
Flower Shops,Ernest featuring Morgan Wallen
To the Moon,Jnr Choi and Sam Tompkins
Unholy,Sam Smith and Kim Petras
One Mississippi,Kane Brown
Circles Around This Town,Maren Morris
