Song Name,Artist Name
Old Town Road,Lil Nas X featuring Billy Ray Cyrus
Sunflower,Post Malone and Swae Lee
Without Me,Halsey
Bad Guy,Billie Eilish
Wow,Post Malone
Happier,Marshmello and Bastille
7 Rings,Ariana Grande
Talk,Khalid
Sicko Mode,Travis Scott
Sucker,Jonas Brothers
High Hopes,Panic! at the Disco
"Thank U, Next",Ariana Grande
Truth Hurts,Lizzo
Dancing with a Stranger,Sam Smith and Normani
Señorita,Shawn Mendes and Camila Cabello
I Don't Care,Ed Sheeran and Justin Bieber
Eastside,"Benny Blanco, Halsey and Khalid"
Going Bad,Meek Mill featuring Drake
Shallow,Lady Gaga and Bradley Cooper
Better,Khalid
No Guidance,Chris Brown featuring Drake
Girls Like You,Maroon 5 featuring Cardi B
Sweet but Psycho,Ava Max
Suge,DaBaby
Middle Child,J. Cole
Drip Too Hard,Lil Baby and Gunna
Someone You Loved,Lewis Capaldi
Ransom,Lil Tecca
If I Can't Have You,Shawn Mendes
Goodbyes,Post Malone featuring Young Thug
Zeze,Kodak Black featuring Travis Scott and Offset
Better Now,Post Malone
Youngblood,5 Seconds of Summer
Money in the Grave,Drake featuring Rick Ross
Speechless,Dan + Shay
"Break Up with Your Girlfriend, I'm Bored",Ariana Grande
Please Me,Cardi B and Bruno Mars
Money,Cardi B
You Need to Calm Down,Taylor Swift
Panini,Lil Nas X
Look Back at It,A Boogie wit da Hoodie
A Lot,21 Savage
Me!,Taylor Swift featuring Brendon Urie
Mia,Bad Bunny featuring Drake
Pop Out,Polo G featuring Lil Tjay
Beautiful Crazy,Luke Combs
Thotiana,Blueface
Lucid Dreams,Juice Wrld
Mo Bamba,Sheck Wes
Beautiful People,Ed Sheeran featuring Khalid
Wake Up in the Sky,"Gucci Mane, Bruno Mars and Kodak Black"
Whiskey Glasses,Morgan Wallen
God's Country,Blake Shelton
Be Alright,Dean Lewis
Pure Water,Mustard and Migos
The Git Up,Blanco Brown
Taki Taki,"DJ Snake featuring Selena Gomez, Ozuna and Cardi B"
Close to Me,Ellie Goulding and Diplo featuring Swae Lee
Envy Me,Calboy
You Say,Lauren Daigle
"Hey Look Ma, I Made It",Panic! at the Disco
Circles,Post Malone
Beer Never Broke My Heart,Luke Combs
The London,"Young Thug, J. Cole and Travis Scott"
Con Calma,Daddy Yankee and Katy Perry featuring Snow
Murder on My Mind,YNW Melly
When the Party's Over,Billie Eilish
Act Up,City Girls
I Like It,"Cardi B, Bad Bunny and J Balvin"
Trampoline,Shaed
Leave Me Alone,Flipp Dinero
Breathin,Ariana Grande
Bury a Friend,Billie Eilish
Close Friends,Lil Baby
Baby Shark,Pinkfong
My Type,Saweetie
Worth It,YK Osiris
Only Human,Jonas Brothers
Knockin' Boots,Luke Bryan
Trip,Ella Mai
Rumor,Lee Brice
Swervin,A Boogie wit da Hoodie featuring 6ix9ine
How Do You Sleep?,Sam Smith
Baby,Lil Baby and DaBaby
Look What God Gave Her,Thomas Rhett
Good as You,Kane Brown
Clout,Offset featuring Cardi B
Love Lies,Khalid and Normani
One Thing Right,Marshmello and Kane Brown
Cash Shit,Megan Thee Stallion featuring DaBaby
Tequila,Dan + Shay
Shotta Flow,NLE Choppa
Hot Girl Summer,Megan Thee Stallion featuring Nicki Minaj and Ty Dolla Sign
Talk You Out of It,Florida Georgia Line
Beautiful,Bazzi featuring Camila Cabello
Eyes on You,Chase Rice
All to Myself,Dan + Shay
Boyfriend,Ariana Grande and Social House
Walk Me Home,Pink
Robbery,Juice Wrld
