Song Name,Artist Name
Levitating,Dua Lipa
Save Your Tears,The Weeknd and Ariana Grande
Blinding Lights,The Weeknd
Mood,24kGoldn featuring Iann Dior
Good 4 U,Olivia Rodrigo
Kiss Me More,Doja Cat featuring SZA
Leave the Door Open,Silk Sonic (Bruno Mars and Anderson .Paak)
Drivers License,Olivia Rodrigo
Montero (Call Me by Your Name),Lil Nas X
Peaches,Justin Bieber featuring Daniel Caesar and Giveon
Butter,BTS
Stay,The Kid Laroi and Justin Bieber
Deja Vu,Olivia Rodrigo
Positions,Ariana Grande
Bad Habits,Ed Sheeran
Heat Waves,Glass Animals
Without You,The Kid Laroi
Forever After All,Luke Combs
Go Crazy,Chris Brown and Young Thug
Astronaut in the Ocean,Masked Wolf
34+35,Ariana Grande featuring Doja Cat and Megan Thee Stallion
What You Know Bout Love,Pop Smoke
My Ex's Best Friend,Machine Gun Kelly featuring Blackbear
Industry Baby,Lil Nas X and Jack Harlow
Therefore I Am,Billie Eilish
Up,Cardi B
Fancy Like,Walker Hayes
Dakiti,Bad Bunny and Jhay Cortez
Best Friend,Saweetie featuring Doja Cat
Rapstar,Polo G
Heartbreak Anniversary,Giveon
For the Night,Pop Smoke featuring Lil Baby and DaBaby
Calling My Phone,Lil Tjay and 6lack
Beautiful Mistakes,Maroon 5 featuring Megan Thee Stallion
Holy,Justin Bieber featuring Chance the Rapper
On Me,Lil Baby
You Broke Me First,Tate McRae
Traitor,Olivia Rodrigo
Back in Blood,Pooh Shiesty featuring Lil Durk
I Hope,Gabby Barrett featuring Charlie Puth
Dynamite,BTS
Wockesha,Moneybagg Yo
You Right,Doja Cat and the Weeknd
Beat Box 2 / Beat Box 3,SpotemGottem featuring Pooh Shiesty / SpotemGottem featuring DaBaby
Laugh Now Cry Later,Drake featuring Lil Durk
Need to Know,Doja Cat
Wants and Needs,Drake featuring Lil Baby
Way 2 Sexy,Drake featuring Future and Young Thug
Telepatía,Kali Uchis
Whoopty,CJ
Lemonade,Internet Money and Gunna featuring Don Toliver and Nav
Good Days,SZA
Starting Over,Chris Stapleton
Body,Megan Thee Stallion
Willow,Taylor Swift
Bang!,AJR
Better Together,Luke Combs
You're Mines Still,Yung Bleu featuring Drake
Every Chance I Get,DJ Khaled featuring Lil Baby and Lil Durk
Essence,Wizkid featuring Justin Bieber and Tems
Chasing After You,Ryan Hurd and Maren Morris
The Good Ones,Gabby Barrett
Leave Before You Love Me,Marshmello and Jonas Brothers
Glad You Exist,Dan + Shay
Lonely,Justin Bieber and Benny Blanco
Beggin',Måneskin
Streets,Doja Cat
What's Next,Drake
Famous Friends,Chris Young and Kane Brown
Lil Bit,Nelly and Florida Georgia Line
Thot Shit,Megan Thee Stallion
Late at Night,Roddy Ricch
Kings & Queens,Ava Max
Anyone,Justin Bieber
Track Star,Mooski
Time Today,Moneybagg Yo
Cry Baby,Megan Thee Stallion featuring DaBaby
All I Want for Christmas Is You,Mariah Carey
No More Parties,Coi Leray featuring Lil Durk
What's Your Country Song,Thomas Rhett
One Too Many,Keith Urban and Pink
Arcade,Duncan Laurence
Yonaguni,Bad Bunny
Good Time,Niko Moon
If I Didn't Love You,Jason Aldean and Carrie Underwood
Knife Talk,Drake featuring 21 Savage and Project Pat
POV,Ariana Grande
Just the Way,Parmalee and Blanco Brown
Take My Breath,The Weeknd
We're Good,Dua Lipa
Hell of a View,Eric Church
Rockin' Around the Christmas Tree,Brenda Lee
Put Your Records On,Ritt Momney
Happier Than Ever,Billie Eilish
Single Saturday Night,Cole Swindell
Things a Man Oughta Know,Lainey Wilson
Throat Baby (Go Baby),BRS Kash
Tombstone,Rod Wave
Drinkin' Beer. Talkin' God. Amen.,Chase Rice featuring Florida Georgia Line
Todo de Ti,Rauw Alejandro
